result,player1,player2,player1_url,player2_url,weightclass,method,round,time,time_format,referee,details,player1_nickname,player2_nickname,event_date,event_location,event_url,p1_rd1_KD,p1_rd2_KD,p1_rd3_KD,p1_rd4_KD,p1_rd5_KD,p1_rd1_Sig_str,p1_rd2_Sig_str,p1_rd3_Sig_str,p1_rd4_Sig_str,p1_rd5_Sig_str,p1_rd1_Total_str,p1_rd2_Total_str,p1_rd3_Total_str,p1_rd4_Total_str,p1_rd5_Total_str,p1_rd1_Td,p1_rd2_Td,p1_rd3_Td,p1_rd4_Td,p1_rd5_Td,p1_rd1_Sub_att,p1_rd2_Sub_att,p1_rd3_Sub_att,p1_rd4_Sub_att,p1_rd5_Sub_att,p1_rd1_Rev,p1_rd2_Rev,p1_rd3_Rev,p1_rd4_Rev,p1_rd5_Rev,p1_rd1_Ctrl,p1_rd2_Ctrl,p1_rd3_Ctrl,p1_rd4_Ctrl,p1_rd5_Ctrl,p2_rd1_KD,p2_rd2_KD,p2_rd3_KD,p2_rd4_KD,p2_rd5_KD,p2_rd1_Sig_str,p2_rd2_Sig_str,p2_rd3_Sig_str,p2_rd4_Sig_str,p2_rd5_Sig_str,p2_rd1_Total_str,p2_rd2_Total_str,p2_rd3_Total_str,p2_rd4_Total_str,p2_rd5_Total_str,p2_rd1_Td,p2_rd2_Td,p2_rd3_Td,p2_rd4_Td,p2_rd5_Td,p2_rd1_Sub_att,p2_rd2_Sub_att,p2_rd3_Sub_att,p2_rd4_Sub_att,p2_rd5_Sub_att,p2_rd1_Rev,p2_rd2_Rev,p2_rd3_Rev,p2_rd4_Rev,p2_rd5_Rev,p2_rd1_Ctrl,p2_rd2_Ctrl,p2_rd3_Ctrl,p2_rd4_Ctrl,p2_rd5_Ctrl,p1_rd1_Head,p1_rd2_Head,p1_rd3_Head,p1_rd4_Head,p1_rd5_Head,p1_rd1_Body,p1_rd2_Body,p1_rd3_Body,p1_rd4_Body,p1_rd5_Body,p1_rd1_Leg,p1_rd2_Leg,p1_rd3_Leg,p1_rd4_Leg,p1_rd5_Leg,p1_rd1_Distance,p1_rd2_Distance,p1_rd3_Distance,p1_rd4_Distance,p1_rd5_Distance,p1_rd1_Clinch,p1_rd2_Clinch,p1_rd3_Clinch,p1_rd4_Clinch,p1_rd5_Clinch,p1_rd1_Ground,p1_rd2_Ground,p1_rd3_Ground,p1_rd4_Ground,p1_rd5_Ground,p2_rd1_Head,p2_rd2_Head,p2_rd3_Head,p2_rd4_Head,p2_rd5_Head,p2_rd1_Body,p2_rd2_Body,p2_rd3_Body,p2_rd4_Body,p2_rd5_Body,p2_rd1_Leg,p2_rd2_Leg,p2_rd3_Leg,p2_rd4_Leg,p2_rd5_Leg,p2_rd1_Distance,p2_rd2_Distance,p2_rd3_Distance,p2_rd4_Distance,p2_rd5_Distance,p2_rd1_Clinch,p2_rd2_Clinch,p2_rd3_Clinch,p2_rd4_Clinch,p2_rd5_Clinch,p2_rd1_Ground,p2_rd2_Ground,p2_rd3_Ground,p2_rd4_Ground,p2_rd5_Ground,division,result_norm,u1,u2,r1,r2,reach_diff,reach_gap,longer_is_p1,p1_won,longer_won,pair_key
L,Tai Tuivasa,Marcin Tybura,http://ufcstats.com/fighter-details/c62fbc117d57b943,http://ufcstats.com/fighter-details/c9cf753cfdf77fc2,Heavyweight Bout,Submission,1,4:08,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke,Bam Bam,Tybur,2024-03-16,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c398235fcaf8d71d,0,,,,,15 of 24,,,,,18 of 27,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,0,,,,,27 of 41,,,,,73 of 96,,,,,1 of 4,,,,,1,,,,,0,,,,,2:48,,,,,9 of 17,,,,,1 of 2,,,,,5 of 5,,,,,8 of 17,,,,,7 of 7,,,,,0 of 0,,,,,23 of 34,,,,,4 of 7,,,,,0 of 0,,,,,8 of 20,,,,,0 of 0,,,,,19 of 21,,,,,Heavyweight,L,http://ufcstats.com/fighter-details/c62fbc117d57b943,http://ufcstats.com/fighter-details/c9cf753cfdf77fc2,75.0,78.0,-3.0,3.0,False,False,True,http://ufcstats.com/fighter-details/c62fbc117d57b943|http://ufcstats.com/fighter-details/c9cf753cfdf77fc2
W,Joanne Wood,Maryna Moroz,http://ufcstats.com/fighter-details/12f91bfa8f1f723b,http://ufcstats.com/fighter-details/b4192a975027aab6,Women's Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mike Beltran,Eliseo Rodriguez 28 - 29. Jason Grenier 29 - 28. Chris Lee 28 - 29.,JoJo,Iron Lady,2024-03-09,"Miami, Florida, USA",http://ufcstats.com/event-details/a9df5ae20a97b090,0,0.0,0.0,,,4 of 9,58 of 109,74 of 131,,,21 of 27,75 of 129,77 of 134,,,0 of 0,0 of 0,1 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:04,0:08,,,0,0.0,0.0,,,5 of 7,45 of 81,52 of 107,,,50 of 58,52 of 88,54 of 109,,,1 of 1,0 of 0,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,4:35,1:29,0:07,,,2 of 4,30 of 76,42 of 95,,,1 of 2,21 of 24,17 of 19,,,1 of 3,7 of 9,15 of 17,,,3 of 8,45 of 90,64 of 118,,,0 of 0,13 of 19,10 of 12,,,1 of 1,0 of 0,0 of 1,,,4 of 6,34 of 67,41 of 87,,,1 of 1,11 of 14,11 of 18,,,0 of 0,0 of 0,0 of 2,,,1 of 3,34 of 67,44 of 99,,,0 of 0,11 of 14,8 of 8,,,4 of 4,0 of 0,0 of 0,,,Women's Flyweight,W,http://ufcstats.com/fighter-details/12f91bfa8f1f723b,http://ufcstats.com/fighter-details/b4192a975027aab6,65.0,67.0,-2.0,2.0,False,True,False,http://ufcstats.com/fighter-details/12f91bfa8f1f723b|http://ufcstats.com/fighter-details/b4192a975027aab6
W,Curtis Blaydes,Jailton Almeida,http://ufcstats.com/fighter-details/fa6796c55d6c5440,http://ufcstats.com/fighter-details/41e83a89929d1327,Heavyweight Bout,KO/TKO,2,0:36,3 Rnd (5-5-5),Mike Beltran,Punches to Head On Ground,Razor,Malhadinho,2024-03-09,"Miami, Florida, USA",http://ufcstats.com/event-details/a9df5ae20a97b090,0,0.0,,,,0 of 2,16 of 23,,,,3 of 5,16 of 23,,,,0 of 0,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:02,0:07,,,,0,0.0,,,,0 of 0,1 of 3,,,,8 of 8,1 of 3,,,,9 of 12,0 of 1,,,,0,0.0,,,,0,0.0,,,,4:39,0:00,,,,0 of 2,16 of 23,,,,0 of 0,0 of 0,,,,0 of 0,0 of 0,,,,0 of 2,0 of 3,,,,0 of 0,0 of 0,,,,0 of 0,16 of 20,,,,0 of 0,1 of 3,,,,0 of 0,0 of 0,,,,0 of 0,0 of 0,,,,0 of 0,1 of 3,,,,0 of 0,0 of 0,,,,0 of 0,0 of 0,,,,Heavyweight,W,http://ufcstats.com/fighter-details/fa6796c55d6c5440,http://ufcstats.com/fighter-details/41e83a89929d1327,80.0,79.0,1.0,1.0,True,True,True,http://ufcstats.com/fighter-details/41e83a89929d1327|http://ufcstats.com/fighter-details/fa6796c55d6c5440
L,Gilbert Burns,Jack Della Maddalena,http://ufcstats.com/fighter-details/23024fdfc966410a,http://ufcstats.com/fighter-details/6b453bc35a823c3f,Welterweight Bout,KO/TKO,3,3:43,3 Rnd (5-5-5),Dan Miragliotta,Elbows to Head On Ground,Durinho,--,2024-03-09,"Miami, Florida, USA",http://ufcstats.com/event-details/a9df5ae20a97b090,0,0.0,0.0,,,18 of 35,9 of 20,0 of 3,,,20 of 37,11 of 23,0 of 3,,,3 of 3,2 of 2,2 of 6,,,0,0.0,0.0,,,0,0.0,0.0,,,1:15,1:39,2:13,,,0,0.0,1.0,,,18 of 38,21 of 48,28 of 37,,,23 of 46,27 of 55,35 of 45,,,0 of 1,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:16,,,9 of 23,7 of 17,0 of 3,,,7 of 9,1 of 2,0 of 0,,,2 of 3,1 of 1,0 of 0,,,14 of 29,9 of 20,0 of 3,,,3 of 5,0 of 0,0 of 0,,,1 of 1,0 of 0,0 of 0,,,13 of 33,15 of 36,26 of 35,,,3 of 3,5 of 11,1 of 1,,,2 of 2,1 of 1,1 of 1,,,15 of 34,21 of 48,11 of 18,,,3 of 4,0 of 0,1 of 2,,,0 of 0,0 of 0,16 of 17,,,Welterweight,L,http://ufcstats.com/fighter-details/23024fdfc966410a,http://ufcstats.com/fighter-details/6b453bc35a823c3f,71.0,73.0,-2.0,2.0,False,False,True,http://ufcstats.com/fighter-details/23024fdfc966410a|http://ufcstats.com/fighter-details/6b453bc35a823c3f
L,CJ Vergara,Asu Almabayev,http://ufcstats.com/fighter-details/077e3ace32b72be9,http://ufcstats.com/fighter-details/8d3273573b85be09,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,David Tirelli 27 - 30. Michael  Tate 27 - 30. Sal D'amato 27 - 30.,--,Zulfikar,2024-03-09,"Miami, Florida, USA",http://ufcstats.com/event-details/a9df5ae20a97b090,0,0.0,0.0,,,7 of 14,8 of 12,14 of 27,,,13 of 20,25 of 30,28 of 42,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:14,0:00,0:00,,,0,0.0,0.0,,,16 of 25,12 of 21,16 of 31,,,23 of 34,36 of 55,26 of 43,,,4 of 6,2 of 2,3 of 6,,,0,0.0,0.0,,,0,0.0,0.0,,,3:14,3:35,2:43,,,3 of 9,5 of 8,5 of 15,,,3 of 3,2 of 3,9 of 11,,,1 of 2,1 of 1,0 of 1,,,4 of 11,5 of 9,13 of 26,,,3 of 3,0 of 0,1 of 1,,,0 of 0,3 of 3,0 of 0,,,7 of 15,10 of 19,5 of 19,,,3 of 4,1 of 1,5 of 6,,,6 of 6,1 of 1,6 of 6,,,10 of 19,4 of 9,9 of 23,,,2 of 2,1 of 2,5 of 6,,,4 of 4,7 of 10,2 of 2,,,Flyweight,L,http://ufcstats.com/fighter-details/077e3ace32b72be9,http://ufcstats.com/fighter-details/8d3273573b85be09,68.0,65.0,3.0,3.0,True,False,False,http://ufcstats.com/fighter-details/077e3ace32b72be9|http://ufcstats.com/fighter-details/8d3273573b85be09
L,Pedro Munhoz,Kyler Phillips,http://ufcstats.com/fighter-details/6bd02119599741a4,http://ufcstats.com/fighter-details/60425d07ef4b91a7,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,David Tirelli 27 - 30. Sal D'amato 27 - 30. Eliseo Rodriguez 27 - 30.,The Young Punisher,The Matrix,2024-03-09,"Miami, Florida, USA",http://ufcstats.com/event-details/a9df5ae20a97b090,0,0.0,0.0,,,19 of 54,20 of 42,13 of 44,,,19 of 54,20 of 42,13 of 44,,,1 of 4,0 of 2,0 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,0:24,0:00,0:00,,,0,0.0,0.0,,,55 of 120,32 of 75,27 of 80,,,56 of 121,32 of 75,27 of 80,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:02,0:00,0:00,,,11 of 44,7 of 22,5 of 33,,,5 of 5,7 of 12,5 of 7,,,3 of 5,6 of 8,3 of 4,,,17 of 50,20 of 42,11 of 42,,,1 of 3,0 of 0,2 of 2,,,1 of 1,0 of 0,0 of 0,,,41 of 104,16 of 56,17 of 64,,,6 of 8,8 of 9,3 of 7,,,8 of 8,8 of 10,7 of 9,,,52 of 114,32 of 75,27 of 80,,,2 of 5,0 of 0,0 of 0,,,1 of 1,0 of 0,0 of 0,,,Bantamweight,L,http://ufcstats.com/fighter-details/6bd02119599741a4,http://ufcstats.com/fighter-details/60425d07ef4b91a7,65.0,72.0,-7.0,7.0,False,False,True,http://ufcstats.com/fighter-details/60425d07ef4b91a7|http://ufcstats.com/fighter-details/6bd02119599741a4
L,Ion Cutelaba,Philipe Lins,http://ufcstats.com/fighter-details/cd13728ae1151f46,http://ufcstats.com/fighter-details/53c943c873cffe90,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Chris Lee 28 - 29. David Tirelli 28 - 29. Sal D'amato 28 - 29.,The Hulk,Monstro,2024-03-09,"Miami, Florida, USA",http://ufcstats.com/event-details/a9df5ae20a97b090,0,0.0,0.0,,,23 of 42,13 of 20,11 of 35,,,24 of 43,27 of 35,68 of 93,,,0 of 0,0 of 1,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:01,0:13,0:02,,,0,0.0,0.0,,,33 of 50,19 of 29,15 of 36,,,34 of 51,22 of 32,17 of 38,,,0 of 2,1 of 2,1 of 3,,,0,0.0,0.0,,,0,0.0,0.0,,,0:22,2:26,2:46,,,14 of 32,8 of 15,11 of 35,,,5 of 5,4 of 4,0 of 0,,,4 of 5,1 of 1,0 of 0,,,22 of 39,11 of 18,9 of 33,,,1 of 3,2 of 2,2 of 2,,,0 of 0,0 of 0,0 of 0,,,16 of 31,11 of 21,10 of 30,,,3 of 4,1 of 1,3 of 4,,,14 of 15,7 of 7,2 of 2,,,32 of 47,13 of 21,12 of 32,,,1 of 3,1 of 1,3 of 4,,,0 of 0,5 of 7,0 of 0,,,Light Heavyweight,L,http://ufcstats.com/fighter-details/cd13728ae1151f46,http://ufcstats.com/fighter-details/53c943c873cffe90,75.0,78.0,-3.0,3.0,False,False,True,http://ufcstats.com/fighter-details/53c943c873cffe90|http://ufcstats.com/fighter-details/cd13728ae1151f46
W,Dustin Poirier,Benoit Saint Denis,http://ufcstats.com/fighter-details/029eaff01e6bb8f0,http://ufcstats.com/fighter-details/c2299ec916bc7c56,Lightweight Bout,KO/TKO,2,2:32,5 Rnd (5-5-5-5-5),Mike Beltran,Punch to Head At Distance,The Diamond,God of War,2024-03-09,"Miami, Florida, USA",http://ufcstats.com/event-details/a9df5ae20a97b090,0,1.0,,,,12 of 13,16 of 21,,,,14 of 16,16 of 21,,,,0 of 1,0 of 0,,,,3,1.0,,,,0,0.0,,,,0:23,0:08,,,,0,0.0,,,,38 of 49,12 of 25,,,,53 of 68,16 of 29,,,,2 of 4,1 of 3,,,,1,0.0,,,,0,0.0,,,,3:20,1:33,,,,11 of 12,13 of 18,,,,0 of 0,3 of 3,,,,1 of 1,0 of 0,,,,9 of 10,14 of 15,,,,3 of 3,1 of 5,,,,0 of 0,1 of 1,,,,21 of 31,4 of 15,,,,10 of 10,8 of 10,,,,7 of 8,0 of 0,,,,13 of 22,4 of 15,,,,23 of 25,8 of 10,,,,2 of 2,0 of 0,,,,Lightweight,W,http://ufcstats.com/fighter-details/029eaff01e6bb8f0,http://ufcstats.com/fighter-details/c2299ec916bc7c56,72.0,73.0,-1.0,1.0,False,True,False,http://ufcstats.com/fighter-details/029eaff01e6bb8f0|http://ufcstats.com/fighter-details/c2299ec916bc7c56
W,Michel Pereira,Michal Oleksiejczuk,http://ufcstats.com/fighter-details/595db60957de51d3,http://ufcstats.com/fighter-details/0d65c432720accb9,Middleweight Bout,Submission,1,1:01,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke,Demolidor,Hussar,2024-03-09,"Miami, Florida, USA",http://ufcstats.com/event-details/a9df5ae20a97b090,0,,,,,11 of 15,,,,,11 of 15,,,,,0 of 0,,,,,1,,,,,0,,,,,0:18,,,,,0,,,,,1 of 4,,,,,1 of 4,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,5 of 9,,,,,6 of 6,,,,,0 of 0,,,,,9 of 13,,,,,2 of 2,,,,,0 of 0,,,,,0 of 3,,,,,1 of 1,,,,,0 of 0,,,,,1 of 4,,,,,0 of 0,,,,,0 of 0,,,,,Middleweight,W,http://ufcstats.com/fighter-details/595db60957de51d3,http://ufcstats.com/fighter-details/0d65c432720accb9,73.0,74.0,-1.0,1.0,False,True,False,http://ufcstats.com/fighter-details/0d65c432720accb9|http://ufcstats.com/fighter-details/595db60957de51d3
L,Katlyn Cerminara,Maycee Barber,http://ufcstats.com/fighter-details/e872e9a9a902c045,http://ufcstats.com/fighter-details/6a740daf1b279661,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Andrew Glenn,Michael  Tate 27 - 30. Sal D'amato 27 - 30. Chris Lee 28 - 29.,Blonde Fighter,The Future,2024-03-09,"Miami, Florida, USA",http://ufcstats.com/event-details/a9df5ae20a97b090,0,0.0,0.0,,,22 of 32,24 of 56,20 of 64,,,29 of 40,40 of 72,30 of 74,,,0 of 5,0 of 0,1 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,1:50,0:22,0:40,,,0,0.0,0.0,,,31 of 48,22 of 48,31 of 54,,,46 of 63,35 of 62,41 of 64,,,0 of 0,2 of 2,2 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,1:39,1:52,1:14,,,9 of 18,20 of 50,15 of 54,,,13 of 14,4 of 5,4 of 8,,,0 of 0,0 of 1,1 of 2,,,6 of 15,21 of 53,16 of 56,,,16 of 17,3 of 3,4 of 8,,,0 of 0,0 of 0,0 of 0,,,26 of 43,12 of 37,21 of 41,,,4 of 4,6 of 7,8 of 11,,,1 of 1,4 of 4,2 of 2,,,9 of 24,16 of 42,19 of 41,,,20 of 22,5 of 5,11 of 12,,,2 of 2,1 of 1,1 of 1,,,Women's Flyweight,L,http://ufcstats.com/fighter-details/e872e9a9a902c045,http://ufcstats.com/fighter-details/6a740daf1b279661,68.0,65.0,3.0,3.0,True,False,False,http://ufcstats.com/fighter-details/6a740daf1b279661|http://ufcstats.com/fighter-details/e872e9a9a902c045
L,Sodiq Yusuff,Diego Lopes,http://ufcstats.com/fighter-details/94426bb170c88115,http://ufcstats.com/fighter-details/f166e93d04a8c274,Featherweight Bout,KO/TKO,1,1:29,3 Rnd (5-5-5),Mark Smith,Punches to Head From Back Control,Super,--,2024-04-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6750e338922a099d,0,,,,,2 of 5,,,,,2 of 5,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,2,,,,,26 of 32,,,,,29 of 35,,,,,0 of 0,,,,,0,,,,,0,,,,,0:34,,,,,1 of 1,,,,,0 of 0,,,,,1 of 4,,,,,2 of 5,,,,,0 of 0,,,,,0 of 0,,,,,21 of 27,,,,,2 of 2,,,,,3 of 3,,,,,3 of 4,,,,,5 of 7,,,,,18 of 21,,,,,Featherweight,L,http://ufcstats.com/fighter-details/94426bb170c88115,http://ufcstats.com/fighter-details/f166e93d04a8c274,71.0,72.0,-1.0,1.0,False,False,True,http://ufcstats.com/fighter-details/94426bb170c88115|http://ufcstats.com/fighter-details/f166e93d04a8c274
L,Jalin Turner,Renato Moicano,http://ufcstats.com/fighter-details/4d8fa64202cee4c1,http://ufcstats.com/fighter-details/b6452706b373eea1,Lightweight Bout,KO/TKO,2,4:11,3 Rnd (5-5-5),Herb Dean,Punches to Head From Mount,The Tarantula,--,2024-04-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6750e338922a099d,1,0.0,,,,9 of 25,7 of 15,,,,9 of 25,7 of 15,,,,0 of 0,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:02,0:00,,,,0,0.0,,,,8 of 16,28 of 51,,,,32 of 45,55 of 83,,,,1 of 3,1 of 3,,,,0,0.0,,,,0,0.0,,,,2:52,2:58,,,,4 of 18,6 of 14,,,,2 of 4,1 of 1,,,,3 of 3,0 of 0,,,,9 of 25,6 of 14,,,,0 of 0,1 of 1,,,,0 of 0,0 of 0,,,,6 of 13,26 of 47,,,,2 of 2,1 of 3,,,,0 of 1,1 of 1,,,,4 of 11,7 of 12,,,,0 of 0,1 of 1,,,,4 of 5,20 of 38,,,,Lightweight,L,http://ufcstats.com/fighter-details/4d8fa64202cee4c1,http://ufcstats.com/fighter-details/b6452706b373eea1,77.0,72.0,5.0,5.0,True,False,False,http://ufcstats.com/fighter-details/4d8fa64202cee4c1|http://ufcstats.com/fighter-details/b6452706b373eea1
W,Deiveson Figueiredo,Cody Garbrandt,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5,http://ufcstats.com/fighter-details/d8c7c61b176e3994,Bantamweight Bout,Submission,2,4:02,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke,Deus da Guerra,No Love,2024-04-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6750e338922a099d,0,0.0,,,,9 of 15,4 of 4,,,,9 of 15,12 of 12,,,,0 of 3,1 of 2,,,,0,2.0,,,,0,0.0,,,,0:04,3:39,,,,0,0.0,,,,14 of 26,2 of 5,,,,15 of 27,3 of 6,,,,0 of 0,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:02,0:00,,,,5 of 10,4 of 4,,,,2 of 3,0 of 0,,,,2 of 2,0 of 0,,,,7 of 12,1 of 1,,,,2 of 3,0 of 0,,,,0 of 0,3 of 3,,,,4 of 15,2 of 4,,,,0 of 0,0 of 1,,,,10 of 11,0 of 0,,,,14 of 26,2 of 5,,,,0 of 0,0 of 0,,,,0 of 0,0 of 0,,,,Bantamweight,W,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5,http://ufcstats.com/fighter-details/d8c7c61b176e3994,68.0,65.0,3.0,3.0,True,True,True,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5|http://ufcstats.com/fighter-details/d8c7c61b176e3994
W,Jessica Andrade,Marina Rodriguez,http://ufcstats.com/fighter-details/6a1901c62ab3870f,http://ufcstats.com/fighter-details/cd2c4d30c6e13b47,Women's Strawweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary 29 - 28. Adalaide Byrd 28 - 29. David Lethaby 28 - 29.,Bate Estaca,--,2024-04-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6750e338922a099d,0,0.0,0.0,,,14 of 23,42 of 86,33 of 71,,,49 of 63,42 of 86,33 of 71,,,0 of 0,0 of 0,1 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,2:44,0:23,0:46,,,0,0.0,0.0,,,16 of 36,35 of 107,31 of 85,,,27 of 48,35 of 107,32 of 86,,,0 of 0,0 of 0,0 of 0,,,0,0.0,1.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,2 of 7,21 of 59,12 of 44,,,1 of 2,8 of 11,5 of 5,,,11 of 14,13 of 16,16 of 22,,,11 of 19,35 of 75,33 of 71,,,0 of 0,7 of 11,0 of 0,,,3 of 4,0 of 0,0 of 0,,,9 of 28,34 of 104,27 of 75,,,4 of 5,1 of 3,4 of 9,,,3 of 3,0 of 0,0 of 1,,,16 of 35,33 of 104,28 of 81,,,0 of 0,2 of 3,3 of 3,,,0 of 1,0 of 0,0 of 1,,,Women's Strawweight,W,http://ufcstats.com/fighter-details/6a1901c62ab3870f,http://ufcstats.com/fighter-details/cd2c4d30c6e13b47,62.0,65.0,-3.0,3.0,False,True,False,http://ufcstats.com/fighter-details/6a1901c62ab3870f|http://ufcstats.com/fighter-details/cd2c4d30c6e13b47
L,Calvin Kattar,Aljamain Sterling,http://ufcstats.com/fighter-details/751de04455cfaac0,http://ufcstats.com/fighter-details/cb696ebfb6598724,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ben Cartlidge 27 - 30. Sal D'amato 27 - 30. Ron McCarthy 27 - 30.,--,Funk Master,2024-04-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6750e338922a099d,0,0.0,0.0,,,6 of 23,2 of 5,0 of 1,,,10 of 27,4 of 7,5 of 6,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:05,,,0,0.0,0.0,,,15 of 33,14 of 20,10 of 18,,,16 of 35,30 of 37,43 of 56,,,4 of 7,2 of 3,2 of 3,,,0,0.0,0.0,,,0,0.0,0.0,,,1:51,4:10,4:42,,,6 of 21,1 of 4,0 of 1,,,0 of 2,1 of 1,0 of 0,,,0 of 0,0 of 0,0 of 0,,,5 of 20,2 of 5,0 of 1,,,1 of 2,0 of 0,0 of 0,,,0 of 1,0 of 0,0 of 0,,,4 of 20,4 of 9,4 of 11,,,3 of 4,7 of 8,5 of 5,,,8 of 9,3 of 3,1 of 2,,,12 of 27,9 of 15,2 of 4,,,1 of 1,4 of 4,0 of 0,,,2 of 5,1 of 1,8 of 14,,,Featherweight,L,http://ufcstats.com/fighter-details/751de04455cfaac0,http://ufcstats.com/fighter-details/cb696ebfb6598724,72.0,71.0,1.0,1.0,True,False,False,http://ufcstats.com/fighter-details/751de04455cfaac0|http://ufcstats.com/fighter-details/cb696ebfb6598724
W,Bo Nickal,Cody Brundage,http://ufcstats.com/fighter-details/35673bf5204524ee,http://ufcstats.com/fighter-details/f14f644d41ade29f,Middleweight Bout,Submission,2,3:38,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,--,--,2024-04-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6750e338922a099d,0,0.0,,,,5 of 7,3 of 6,,,,24 of 28,21 of 31,,,,2 of 4,1 of 2,,,,0,2.0,,,,0,0.0,,,,4:25,3:00,,,,0,0.0,,,,2 of 6,2 of 6,,,,16 of 20,17 of 21,,,,0 of 0,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:03,0:00,,,,5 of 7,1 of 4,,,,0 of 0,2 of 2,,,,0 of 0,0 of 0,,,,1 of 3,2 of 2,,,,0 of 0,0 of 0,,,,4 of 4,1 of 4,,,,0 of 4,1 of 5,,,,2 of 2,1 of 1,,,,0 of 0,0 of 0,,,,1 of 5,1 of 5,,,,1 of 1,1 of 1,,,,0 of 0,0 of 0,,,,Middleweight,W,http://ufcstats.com/fighter-details/35673bf5204524ee,http://ufcstats.com/fighter-details/f14f644d41ade29f,76.0,72.0,4.0,4.0,True,True,True,http://ufcstats.com/fighter-details/35673bf5204524ee|http://ufcstats.com/fighter-details/f14f644d41ade29f
L,Charles Oliveira,Arman Tsarukyan,http://ufcstats.com/fighter-details/07225ba28ae309b6,http://ufcstats.com/fighter-details/eae48ff31db420c2,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 29 - 28. Adalaide Byrd 28 - 29. Ron McCarthy 28 - 29.,Do Bronxs,Ahalkalakets,2024-04-13,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/6750e338922a099d,0,0.0,0.0,,,9 of 11,5 of 9,5 of 17,,,12 of 14,14 of 20,7 of 19,,,0 of 0,0 of 0,0 of 0,,,1,1.0,2.0,,,0,0.0,1.0,,,1:44,0:00,0:48,,,0,0.0,0.0,,,9 of 16,22 of 36,18 of 31,,,19 of 32,38 of 54,18 of 31,,,0 of 0,1 of 2,1 of 2,,,0,0.0,0.0,,,1,0.0,0.0,,,2:42,3:49,2:10,,,5 of 6,4 of 6,2 of 10,,,1 of 1,1 of 2,3 of 6,,,3 of 4,0 of 1,0 of 1,,,3 of 4,2 of 6,2 of 14,,,2 of 2,1 of 1,3 of 3,,,4 of 5,2 of 2,0 of 0,,,6 of 12,19 of 32,12 of 25,,,2 of 3,3 of 3,5 of 5,,,1 of 1,0 of 1,1 of 1,,,3 of 8,9 of 18,11 of 24,,,1 of 1,1 of 2,1 of 1,,,5 of 7,12 of 16,6 of 6,,,Lightweight,L,http://ufcstats.com/fighter-details/07225ba28ae309b6,http://ufcstats.com/fighter-details/eae48ff31db420c2,74.0,72.0,2.0,2.0,True,False,False,http://ufcstats.com/fighter-details/07225ba28ae309b6|http://ufcstats.com/fighter-details/eae48ff31db420c2
