method_id,track,rank_preholdout,feature,op,threshold,family,pre_score,train_base_roi,validation_base_roi,holdout_base_n,holdout_base_roi,holdout_base_loss_rate,holdout_removed_n,holdout_removed_wins,holdout_removed_losses,holdout_safe_n,holdout_safe_wins,holdout_safe_losses,holdout_safe_roi,holdout_safe_loss_rate,roi_change,loss_rate_change,confirmed
NFL-H015,LONG,1,adv_road_games_last5_including_current,<=,-1.0,TRAVEL_FATIGUE,0.9408299695244667,0.4123636363636364,0.32303030303030306,30,0.3353333333333333,0.4666666666666667,15,7,8,15,9,6,0.5153333333333333,0.4,0.18,-0.06666666666666665,True
NFL-H006,LONG,2,adv_prior_tz_hours_last2,<=,-1.0,TRAVEL_FATIGUE,0.6512243892665398,0.25680412371134015,0.2967088607594937,76,0.26815789473684204,0.48684210526315785,23,8,15,53,31,22,0.44056603773584907,0.41509433962264153,0.17240814299900703,-0.07174776564051633,True
NFL-H093,LONG,1,adv_prior_road_miles_last4,<=,-225.30596019570322,TRAVEL_FATIGUE,1.3330690019362788,0.31052631578947376,0.4042307692307692,28,0.13178571428571426,0.5,7,2,5,21,12,9,0.2833333333333333,0.4285714285714286,0.15154761904761907,-0.0714285714285714,True
NFL-H058,LONG,1,adv_tz_hours_last4_including_current,<=,-1.0,TRAVEL_FATIGUE,0.5458994238425727,0.23349397590361445,0.1391869918699187,130,0.1383846153846154,0.5461538461538462,58,22,36,72,37,35,0.28444444444444444,0.48611111111111116,0.14605982905982903,-0.06004273504273505,True
NFL-H092,MODERN,2,extra_rest_ge8,>=,1.0,TRAVEL_FATIGUE,1.0382524822695036,0.3646808510638298,0.3004,50,0.12760000000000005,0.54,13,4,9,37,19,18,0.2670270270270271,0.4864864864864865,0.13942702702702703,-0.05351351351351352,True
NFL-H004,LONG,1,prior_road_miles_last2,<=,261.4567710056425,TRAVEL_FATIGUE,1.7989620297373694,0.6791228070175438,0.2948648648648649,34,0.4758823529411765,0.4117647058823529,17,9,8,17,11,6,0.6129411764705882,0.3529411764705882,0.13705882352941173,-0.05882352941176472,True
NFL-H079,LONG,1,fatigue_load_index,>=,1.6136372871199014,TRAVEL_FATIGUE,0.8757381564891854,0.22380530973451326,0.175625,93,0.1241935483870968,0.5483870967741935,36,13,23,57,29,28,0.2612280701754386,0.49122807017543857,0.1370345217883418,-0.057159026598754936,True
NFL-H010,LONG,1,abs_tz_shift_hours,<=,0.0,TRAVEL_FATIGUE,0.7586070059027756,0.36375,0.2689655172413793,40,0.3217499999999999,0.44999999999999996,18,9,9,22,13,9,0.4577272727272728,0.40909090909090906,0.1359772727272729,-0.040909090909090895,True
NFL-H010,LONG,2,adv_abs_tz_shift_hours,>=,0.0,TRAVEL_FATIGUE,0.7586070059027756,0.36375,0.2689655172413793,40,0.3217499999999999,0.44999999999999996,18,9,9,22,13,9,0.4577272727272728,0.40909090909090906,0.1359772727272729,-0.040909090909090895,True
NFL-H062,LONG,2,adv_prior_road_miles_last5,<=,-305.33290256477216,TRAVEL_FATIGUE,0.6094032786921924,0.40787234042553194,0.2413157894736842,86,0.11976744186046508,0.5116279069767442,25,9,16,61,33,28,0.24655737704918038,0.4590163934426229,0.12678993518871529,-0.0526115135341213,True
