method_id,k,stack,train_n,train_win_pct,train_roi,validation_n,validation_win_pct,validation_roi,retain_train,retain_validation,pre_avg_roi,robust_score
RS003,1,rank_edge_def_allowed_giveaway_rate >= 9.4,63,0.5873015873015873,0.4601587301587302,31,0.6774193548387096,0.5422580645161291,0.7974683544303798,0.7948717948717948,0.5012083973374297,0.621057111347434
RS003,1,W5-6,68,0.5735294117647058,0.4430882352941176,32,0.65625,0.4909375,0.8607594936708861,0.8205128205128205,0.46701286764705885,0.5836925904977376
RS003,1,injury_listed >= 12.4,71,0.5915492957746479,0.4749295774647887,32,0.625,0.4334375,0.8987341772151899,0.8205128205128205,0.45418353873239437,0.5687346627843987
RS003,1,opp_coachq_staff_quality_mean >= 0.708888,68,0.5735294117647058,0.4279411764705882,34,0.6470588235294118,0.4638235294117646,0.8607594936708861,0.8717948717948718,0.4458823529411764,0.5606021965748323
RS003,1,recent_edge_def_allowed_rush_epa_per_carry >= 0.112239,63,0.6031746031746031,0.48253968253968255,34,0.6176470588235294,0.40411764705882347,0.7974683544303798,0.8717948717948718,0.44332866479925304,0.5513885697739012
RS003,1,W5-5,72,0.5694444444444444,0.4222222222222222,35,0.6285714285714286,0.42771428571428566,0.9113924050632911,0.8974358974358975,0.42496825396825394,0.5393060134310135
RS003,2,recent_edge_def_allowed_giveaway_rate >= 0.00871904 | opp_coachq_staff_quality_mean >= 0.708888,47,0.6382978723404256,0.58,27,0.7777777777777778,0.7599999999999999,0.5949367088607594,0.6923076923076923,0.6699999999999999,0.7950892360175957
RS003,2,recent_edge_def_allowed_giveaway_rate >= 0.00871904 | injury_listed >= 12.4,46,0.6304347826086957,0.5654347826086957,25,0.76,0.7448,0.5822784810126582,0.6410256410256411,0.6551173913043479,0.7765292239955972
RS003,2,rank_edge_def_allowed_giveaway_rate >= 9.4 | adv_road_miles_last5_including_current <= -908.14,51,0.6470588235294118,0.6125490196078431,22,0.7272727272727273,0.6518181818181819,0.6455696202531646,0.5641025641025641,0.6321836007130125,0.7622314548196901
RS003,2,injury_listed >= 12.4 | adv_road_miles_last5_including_current <= -908.14,59,0.6440677966101694,0.596271186440678,22,0.7272727272727273,0.6618181818181819,0.7468354430379747,0.5641025641025641,0.6290446841294299,0.7557921061988858
RS003,2,recent_edge_def_allowed_giveaway_rate >= 0.00871904 | W5-5,46,0.6304347826086957,0.5626086956521739,28,0.75,0.7042857142857144,0.5822784810126582,0.717948717948718,0.6334472049689441,0.754143820268889
RS003,2,rank_edge_def_allowed_giveaway_rate >= 9.4 | W5-6,55,0.6181818181818182,0.5472727272727272,26,0.7307692307692307,0.6692307692307692,0.6962025316455697,0.6666666666666666,0.6082517482517482,0.7279405594405595
