method,flag,base_n,base_win_pct,base_roi,risk_n,risk_win_pct,risk_roi,safe_n,safe_win_pct,safe_roi,old_risk_n,old_risk_win_pct,old_safe_roi,old_loss_lift,recent_risk_n,recent_risk_win_pct,recent_safe_roi,recent_loss_lift,confirmed,score
late_road_protection_rest_v1,opp_hc_changed_season,105,0.8,0.0775767372268913,33,0.7575757575757576,0.027548369845712364,72,0.8194444444444444,0.10050640560993163,23,0.7391304347826086,0.04687075236350513,0.01844532279314892,10,0.8,0.18003513283739164,0.07179487179487176,False,0.113169862971061
late_road_protection_rest_v1,team_dc_changed_season,105,0.8,0.0775767372268913,38,0.7631578947368421,0.03118763372184825,67,0.8208955223880597,0.10388697503572168,25,0.72,0.061243632633601136,0.037575757575757596,13,0.8461538461538461,0.17113224574675792,0.02564102564102566,False,0.08952702102561363
late_road_protection_rest_v1,opp_both_coords_changed,105,0.8,0.0775767372268913,19,0.7894736842105263,0.06678078074248484,86,0.8023255813953488,0.07996189040367878,12,0.8333333333333334,0.01196572555501227,-0.0757575757575758,7,0.7142857142857143,0.1947054185858035,0.1575091575091575,False,0.08413673492836918
late_road_protection_rest_v1,opp_oc_changed_season,105,0.8,0.0775767372268913,35,0.8285714285714286,0.12657196657869438,70,0.7857142857142857,0.05307912255098975,27,0.8518518518518519,-0.05681111842491381,-0.09427609427609429,8,0.75,0.19132813539164265,0.1217948717948718,False,0.0030211628428759643
late_road_protection_rest_v1,team_hc_changed_season,105,0.8,0.0775767372268913,25,0.8,0.07517627193219455,80,0.8,0.07832688263148405,15,0.7333333333333333,0.04336470263471686,0.024242424242424288,10,0.9,0.13981209572924702,-0.028205128205128216,False,-0.0032125585581111865
late_road_protection_rest_v1,opp_qb_prior_starts_le16,105,0.8,0.0775767372268913,39,0.8205128205128205,0.10005206065968889,66,0.7878787878787878,0.0642958642893291,24,0.7916666666666666,0.015622865401871664,-0.03409090909090906,15,0.8666666666666667,0.14947361234237957,0.00512820512820511,False,-0.04224357690026616
late_road_protection_rest_v1,opp_dc_changed_season,105,0.8,0.0775767372268913,35,0.8285714285714286,0.11253585144064907,70,0.7857142857142857,0.06009718012001242,19,0.7894736842105263,0.01696679634117243,-0.03189792663476876,16,0.875,0.14823318175503328,-0.0032051282051281937,False,-0.05258261194677584
late_road_protection_rest_v1,team_staff_changes_ge3,105,0.8,0.0775767372268913,11,0.8181818181818182,0.09812859331903567,94,0.7978723404255319,0.07517173279057654,7,0.7142857142857143,0.0400304901086706,0.04329004329004327,4,1.0,0.134409827597218,-0.1282051282051282,False,-0.08732008935139969
late_road_protection_rest_v1,team_qb_prior_starts_le16,105,0.8,0.0775767372268913,10,0.9,0.2448394846869389,95,0.7894736842105263,0.05997013223109682,5,0.8,0.024973060291304455,-0.042424242424242475,5,1.0,0.12275899659366546,-0.1282051282051282,False,-0.18823597562516514
late_road_protection_rest_v1,team_new_dc_low_def_continuity,105,0.8,0.0775767372268913,9,0.8888888888888888,0.20350120804155974,96,0.7916666666666666,0.06577131808801613,3,1.0,0.015682989366984007,-0.24242424242424243,6,0.8333333333333334,0.16139449110089568,0.038461538461538436,False,-0.21576812310157917
late_road_protection_rest_v1,team_new_oc_low_off_continuity,105,0.8,0.0775767372268913,7,1.0,0.3457806018045596,98,0.7857142857142857,0.05841931832848641,5,1.0,0.007611784549981791,-0.24242424242424243,2,1.0,0.14218309023358866,-0.1282051282051282,False,-0.3897867895277755
