method_id,season,n,wins,win_rate,roi,units,active_seasons,positive_seasons,negative_seasons,max_negative_streak,roi_se
NFL-U367,2016,18,12,0.6666666666666666,0.6633333333333334,11.940000000000001,1,1,0,0,0.28953873616247294
NFL-U367,2017,12,5,0.4166666666666667,-0.03333333333333329,-0.39999999999999947,1,0,1,1,0.34669288945111004
NFL-U367,2018,12,2,0.16666666666666666,-0.5766666666666667,-6.92,1,0,1,1,0.28558110171467177
NFL-U367,2019,12,7,0.5833333333333334,0.3641666666666667,4.37,1,1,0,0,0.35242763781943937
NFL-U367,2020,11,8,0.7272727272727273,0.7381818181818183,8.120000000000001,1,1,0,0,0.3434419844663941
NFL-U367,2021,16,10,0.625,0.458125,7.33,1,1,0,0,0.2945253508472007
NFL-U367,2022,19,12,0.631578947368421,0.5157894736842105,9.799999999999999,1,1,0,0,0.2770123773170194
NFL-U367,2023,17,2,0.11764705882352941,-0.7476470588235294,-12.71,1,0,1,1,0.1729661846664321
NFL-U367,2024,13,5,0.38461538461538464,-0.13846153846153852,-1.8000000000000007,1,0,1,1,0.31517566561718985
NFL-U367,2025,14,6,0.42857142857142855,-0.03857142857142854,-0.5399999999999996,1,0,1,1,0.3117847544765761
NFL-U368,2006,11,7,0.6363636363636364,0.5381818181818182,5.92,1,1,0,0,0.3720259477309667
NFL-U368,2007,5,3,0.6,0.516,2.58,1,1,0,0,0.6224997991967547
NFL-U368,2008,5,3,0.6,0.5439999999999999,2.7199999999999998,1,1,0,0,0.6362279465726101
NFL-U368,2009,9,4,0.4444444444444444,0.1111111111111111,1.0,1,1,0,0,0.4404021030214082
NFL-U368,2010,8,5,0.625,0.4575,3.66,1,1,0,0,0.43389329662619
NFL-U368,2011,6,3,0.5,0.20666666666666667,1.24,1,1,0,0,0.5424737576858237
NFL-U368,2012,15,10,0.6666666666666666,0.5113333333333333,7.67,1,1,0,0,0.2893504493510983
NFL-U368,2013,7,1,0.14285714285714285,-0.6842857142857143,-4.79,1,0,1,1,0.3157142857142857
NFL-U368,2014,17,6,0.35294117647058826,-0.19176470588235292,-3.26,1,0,1,1,0.27564261187445027
