canonical_id,method_id,origin,track,family,feature1,op1,threshold1,feature2,op2,threshold2,price_band,venue,full_n,full_wins,full_win_rate,full_roi,full_units,full_active_seasons,full_positive_seasons,full_negative_seasons,full_max_negative_streak,full_roi_se,train_n,train_wins,train_win_rate,train_roi,train_units,train_active_seasons,train_positive_seasons,train_negative_seasons,train_max_negative_streak,train_roi_se,validation_n,validation_wins,validation_win_rate,validation_roi,validation_units,validation_active_seasons,validation_positive_seasons,validation_negative_seasons,validation_max_negative_streak,validation_roi_se,holdout_n,holdout_wins,holdout_win_rate,holdout_roi,holdout_units,holdout_active_seasons,holdout_positive_seasons,holdout_negative_seasons,holdout_max_negative_streak,holdout_roi_se,raw_id,semantic1,semantic2,semantic_signature,positive_season_ratio,robust_score,research_tier
NFL-C011,NFL-U017,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_off_epa_per_play,<=,-10.0,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,172,99,0.5755813953488372,0.3772093023255813,64.88,20,15,5,1,0.0914814271040953,67,42,0.6268656716417911,0.5253731343283582,35.2,9,8,1,1,0.1462676506117383,48,24,0.5,0.2002083333333333,9.61,5,3,2,1,0.1775082381424916,57,33,0.5789473684210527,0.3521052631578947,20.07,6,4,2,1,0.1557624824210133,E0072,EFFICIENCY,THIRD_DOWN,EFFICIENCY+THIRD_DOWN,0.75,4.635032165088278,A
NFL-C012,NFL-U018,EXISTING_1859,LONG,PAIR,rank_edge_off_epa_per_play,>=,10.0,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,151,86,0.5695364238410596,0.3456291390728476,52.19,19,16,3,1,0.0966619276980555,77,43,0.5584415584415584,0.3063636363636364,23.590000000000003,9,7,2,1,0.134697822501203,40,22,0.55,0.343,13.72,5,5,0,0,0.1972107424129753,34,21,0.6176470588235294,0.4376470588235294,14.88,5,4,1,1,0.1988752055533151,E0041,EFFICIENCY,THIRD_DOWN,EFFICIENCY+THIRD_DOWN,0.8421052631578947,4.634041055260327,A
NFL-C013,NFL-U019,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,-9.0,rank_edge_rush_epa_per_carry,>=,6.0,DOG35_49,AWAY,278,146,0.5251798561151079,0.2424460431654675,67.39999999999999,20,15,5,2,0.0717288062332461,114,59,0.5175438596491229,0.2292105263157894,26.129999999999995,9,5,4,2,0.1127143299634775,76,36,0.4736842105263157,0.1568421052631579,11.92,5,4,1,1,0.142344554863082,88,51,0.5795454545454546,0.3335227272727273,29.35,6,6,0,0,0.1229523018963341,E0014,SPECIAL_TEAMS,RUSHING,RUSHING+SPECIAL_TEAMS,0.75,4.629301746948881,A
NFL-C014,NFL-U024,CONTEXT_CORE_PAIR,LONG,PAIR,qb_prior_starts,<=,41.45000000000027,recent_edge_sack_or_hit_rate,>=,-0.0236181155150866,DOG35_49,AWAY,193,107,0.5544041450777202,0.3280310880829015,63.31,19,14,5,2,0.0868446112425795,102,55,0.5392156862745098,0.3103921568627451,31.660000000000004,8,6,2,1,0.1217328551105609,43,26,0.6046511627906976,0.4134883720930233,17.78,5,4,1,1,0.1784599069722924,48,26,0.5416666666666666,0.2889583333333333,13.87,6,4,2,2,0.1747278125362409,P00066,QB_CONTEXT,PASS_PROTECTION_RUSH,PASS_PROTECTION_RUSH+QB_CONTEXT,0.7368421052631579,4.548089816014977,A
NFL-C015,NFL-U026,CONTEXT_CORE_PAIR,LONG,PAIR,qb_prior_starts,<=,41.45000000000027,recent_edge_third_down_success,>=,0.0484393846893847,DOG35_49,AWAY,154,90,0.5844155844155844,0.3899350649350649,60.05,19,14,5,1,0.0958220034822689,77,44,0.5714285714285714,0.3827272727272727,29.47,8,5,3,1,0.1388734624157925,35,25,0.7142857142857143,0.6582857142857144,23.040000000000003,5,4,1,1,0.1823591827921463,42,21,0.5,0.1795238095238095,7.539999999999999,6,5,1,1,0.185922989434095,P00062,QB_CONTEXT,THIRD_DOWN,QB_CONTEXT+THIRD_DOWN,0.7368421052631579,4.534457829543409,A
NFL-C016,NFL-U027,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,224,124,0.5535714285714286,0.3161160714285714,70.81,20,16,4,1,0.0800094986781346,93,53,0.5698924731182796,0.3661290322580644,34.04999999999999,9,8,1,1,0.1250070621902227,61,34,0.5573770491803278,0.3350819672131148,20.44,5,4,1,1,0.1558610181920036,70,37,0.5285714285714286,0.2331428571428571,16.32,6,4,2,1,0.1412884430336442,E0132,PASSING,THIRD_DOWN,PASSING+THIRD_DOWN,0.8,4.534416207361461,A
NFL-C017,NFL-U028,CONTEXT_CORE_PAIR,LONG,PAIR,rest_days,>=,7.0,rank_edge_punt_return_average,>=,-5.0,DOG35_49,ANY,322,177,0.5496894409937888,0.2872670807453416,92.5,20,15,5,2,0.0657401559670172,140,82,0.5857142857142857,0.3729285714285715,52.21000000000001,9,6,3,1,0.0991830191569664,84,45,0.5357142857142857,0.2569047619047619,21.58,5,5,0,0,0.1297676523963017,98,50,0.5102040816326531,0.1909183673469388,18.71,6,4,2,2,0.1195461019743364,P00313,REST_SCHEDULING,SPECIAL_TEAMS,REST_SCHEDULING+SPECIAL_TEAMS,0.75,4.523604175011716,A
NFL-C018,NFL-U030,EXISTING_1859,LONG,PAIR,recent_edge_sack_or_hit_rate,>=,-0.0236181155150866,recent_edge_third_down_success,>=,0.0,DOG35_49,AWAY,386,199,0.5155440414507773,0.2321243523316062,89.6,20,15,5,2,0.0614975756184882,179,94,0.5251396648044693,0.2558100558659217,45.79,9,7,2,1,0.0903961454257697,101,50,0.495049504950495,0.1871287128712871,18.90000000000001,5,3,2,2,0.1211720270167982,106,55,0.5188679245283019,0.235,24.910000000000004,6,5,1,1,0.1172751619562294,E0082,PASS_PROTECTION_RUSH,THIRD_DOWN,PASS_PROTECTION_RUSH+THIRD_DOWN,0.75,4.497502593732697,A
NFL-C019,NFL-U032,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,-9.0,rank_edge_def_allowed_explosive_rate,<=,-6.0,DOG35_49,AWAY,294,150,0.5102040816326531,0.2193877551020408,64.5,20,15,5,2,0.0704171269966651,131,64,0.4885496183206106,0.176793893129771,23.160000000000004,9,6,3,2,0.1063599549351441,72,35,0.4861111111111111,0.1754166666666667,12.630000000000004,5,4,1,1,0.1448088343083398,91,51,0.5604395604395604,0.3154945054945055,28.71,6,5,1,1,0.1240723590264561,E0018,SPECIAL_TEAMS,EXPLOSIVENESS,EXPLOSIVENESS+SPECIAL_TEAMS,0.75,4.482999268393862,A
NFL-C020,NFL-U033,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_yards_per_play,<=,-1.0,recent_edge_sack_rate_allowed,>=,2.1354823695116792e-05,DOG35_49,AWAY,280,144,0.5142857142857142,0.2300357142857142,64.41,20,15,5,1,0.072260312307681,122,60,0.4918032786885246,0.1945901639344262,23.74,9,7,2,1,0.1112302737179474,68,34,0.5,0.1961764705882353,13.340000000000002,5,3,2,1,0.1478714990118353,90,50,0.5555555555555556,0.3036666666666666,27.33,6,5,1,1,0.1248865102780848,E0024,EFFICIENCY,PASS_PROTECTION_RUSH,EFFICIENCY+PASS_PROTECTION_RUSH,0.75,4.469677803520763,A
NFL-C021,NFL-U034,EXISTING_1859,LONG,PAIR,rank_edge_off_epa_per_play,>=,10.0,rank_edge_sack_rate_allowed,>=,1.0,DOG35_49,AWAY,135,76,0.562962962962963,0.3277777777777777,44.24999999999999,17,14,3,2,0.1021126025548068,72,39,0.5416666666666666,0.2594444444444444,18.68,8,6,2,2,0.1387388548004259,31,17,0.5483870967741935,0.3393548387096774,10.52,5,4,1,1,0.2246076318296002,32,20,0.625,0.4703125,15.05,4,4,0,0,0.2065419411710406,E0039,EFFICIENCY,PASS_PROTECTION_RUSH,EFFICIENCY+PASS_PROTECTION_RUSH,0.8235294117647058,4.438995097497002,A
NFL-C022,NFL-U035,EXISTING_1859,LONG,PAIR,recent_edge_sack_rate_allowed,>=,2.1354823695116792e-05,rank_edge_redzone_epa,>=,6.0,DOG35_49,AWAY,205,107,0.5219512195121951,0.2355609756097561,48.290000000000006,20,15,5,2,0.0836249313092994,100,47,0.47,0.1261,12.610000000000005,9,7,2,1,0.1210783947563217,44,25,0.5681818181818182,0.354090909090909,15.579999999999998,5,4,1,1,0.1825487042027739,61,35,0.5737704918032787,0.3295081967213114,20.1,6,4,2,2,0.1496033784117643,E0029,PASS_PROTECTION_RUSH,RED_ZONE,PASS_PROTECTION_RUSH+RED_ZONE,0.75,4.415493979920714,A
NFL-C023,NFL-U036,CONTEXT_CORE_PAIR,LONG,PAIR,rest_days,>=,7.0,rank_edge_third_down_success,>=,0.0,DOG35_49,ANY,367,193,0.5258855585831063,0.2392643051771117,87.81,20,17,3,1,0.0621732417428983,156,84,0.5384615384615384,0.2666025641025641,41.59,9,7,2,1,0.0952479892736267,108,57,0.5277777777777778,0.2506481481481482,27.07,5,5,0,0,0.1156785236027719,103,52,0.5048543689320388,0.1859223300970873,19.15,6,5,1,1,0.1173983017688041,P00311,REST_SCHEDULING,THIRD_DOWN,REST_SCHEDULING+THIRD_DOWN,0.85,4.4124995841998285,A
NFL-C024,NFL-U041,EXISTING_1859,LONG,PAIR,recent_edge_punt_return_average,>=,0.0,recent_edge_kick_return_average,<=,-3.912500000000001,DOG35_49,AWAY,128,74,0.578125,0.3752343749999999,48.03,20,17,3,1,0.10538922777612,55,31,0.5636363636363636,0.3450909090909091,18.980000000000004,9,7,2,1,0.1626211794173887,34,22,0.6470588235294118,0.5723529411764706,19.46,5,5,0,0,0.2050655557211683,39,21,0.5384615384615384,0.2458974358974358,9.589999999999998,6,5,1,1,0.1887603275628524,E0181,SPECIAL_TEAMS,SPECIAL_TEAMS,SPECIAL_TEAMS,0.85,4.344730267935997,A
NFL-C025,NFL-U042,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_yards_per_play,<=,-10.0,rank_edge_redzone_epa,>=,1.0,DOG35_49,AWAY,172,92,0.5348837209302325,0.3021511627906976,51.97,20,15,5,2,0.0938755060571552,67,36,0.5373134328358209,0.3301492537313432,22.12,9,6,3,2,0.1534378381415599,49,23,0.4693877551020408,0.1620408163265306,7.940000000000001,5,4,1,1,0.180006608814768,56,33,0.5892857142857143,0.39125,21.91,6,5,1,1,0.1585437099179448,E0038,EFFICIENCY,RED_ZONE,EFFICIENCY+RED_ZONE,0.75,4.340729646726691,A
NFL-C026,NFL-U045,CONTEXT_CORE_PAIR,LONG,PAIR,qb_prior_starts,<=,41.45000000000027,recent_edge_punt_return_average,>=,2.472222222222221,DOG35_49,AWAY,134,78,0.582089552238806,0.4123134328358208,55.24999999999999,18,13,5,2,0.1048266715332571,70,41,0.5857142857142857,0.4334285714285714,30.34,8,7,1,1,0.146713462191338,31,20,0.6451612903225806,0.5196774193548386,16.109999999999996,4,3,1,1,0.2082799418230174,33,17,0.5151515151515151,0.2666666666666666,8.8,6,3,3,2,0.2185565883775465,P00069,QB_CONTEXT,SPECIAL_TEAMS,QB_CONTEXT+SPECIAL_TEAMS,0.7222222222222222,4.319201192763652,A
NFL-C027,NFL-U046,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,recent_edge_rush_epa_per_carry,>=,0.0657297309599617,DOG35_49,AWAY,164,90,0.5487804878048781,0.3118292682926829,51.14,18,13,5,2,0.0942405977251614,68,37,0.5441176470588235,0.2948529411764706,20.050000000000004,8,5,3,2,0.1463144671398817,45,24,0.5333333333333333,0.3322222222222222,14.95,5,4,1,1,0.1898909545903682,51,29,0.5686274509803921,0.316470588235294,16.139999999999997,5,4,1,1,0.1638324882261916,E0093,PASSING,RUSHING,PASSING+RUSHING,0.7222222222222222,4.316506337292131,A
NFL-C028,NFL-U048,EXISTING_1859,LONG,PAIR,rank_edge_punt_return_average,>=,1.0,rank_edge_sack_rate_allowed,>=,-6.0,DOG35_49,AWAY,369,184,0.4986449864498645,0.1942818428184281,71.69,20,14,6,2,0.0630278017248739,174,84,0.4827586206896552,0.1556321839080459,27.08,9,6,3,1,0.0916890358352523,93,47,0.5053763440860215,0.2126881720430107,19.78,5,4,1,1,0.1263867573390925,102,53,0.5196078431372549,0.2434313725490196,24.83,6,4,2,2,0.1203285716457271,E0062,SPECIAL_TEAMS,PASS_PROTECTION_RUSH,PASS_PROTECTION_RUSH+SPECIAL_TEAMS,0.7,4.304977518628908,A
NFL-C029,NFL-U050,EXISTING_1859,LONG,PAIR,recent_edge_explosive_rate,<=,-1.7047830334765424e-05,recent_edge_sack_rate_allowed,>=,2.1354823695116792e-05,DOG35_49,AWAY,263,135,0.5133079847908745,0.2170342205323193,57.08,20,14,6,1,0.0739099313225457,126,61,0.4841269841269841,0.156031746031746,19.660000000000007,9,6,3,1,0.1076059878764102,64,34,0.53125,0.23234375,14.870000000000005,5,3,2,1,0.1476738856311292,73,40,0.547945205479452,0.3089041095890411,22.55,6,5,1,1,0.1413494382198863,E0045,EXPLOSIVENESS,PASS_PROTECTION_RUSH,EXPLOSIVENESS+PASS_PROTECTION_RUSH,0.7,4.285328370605932,A
NFL-C030,NFL-U051,EXISTING_1859,LONG,PAIR,rank_edge_sack_rate_allowed,>=,1.0,rank_edge_redzone_epa,>=,1.0,DOG35_49,AWAY,296,152,0.5135135135135135,0.2251689189189189,66.65,20,15,5,2,0.0701539593095299,140,71,0.5071428571428571,0.2090714285714285,29.27,9,7,2,1,0.1020253730018277,69,33,0.4782608695652174,0.1727536231884058,11.920000000000002,5,4,1,1,0.1499736953431623,87,48,0.5517241379310345,0.2926436781609195,25.46,6,4,2,2,0.1271879837362776,E0052,PASS_PROTECTION_RUSH,RED_ZONE,PASS_PROTECTION_RUSH+RED_ZONE,0.75,4.280789729303158,A
NFL-C031,NFL-U060,EXISTING_1859,LONG,PAIR,recent_edge_explosive_rate,<=,-1.7047830334765424e-05,rank_edge_def_allowed_explosive_rate,<=,-10.0,DOG35_49,AWAY,129,70,0.5426356589147286,0.3042635658914728,39.25,19,14,5,1,0.1068650560445895,52,26,0.5,0.2086538461538461,10.849999999999998,9,7,2,1,0.1704737938588243,32,18,0.5625,0.379375,12.14,5,3,2,1,0.2204458173042425,45,26,0.5777777777777777,0.3613333333333333,16.259999999999998,5,4,1,1,0.177651230212345,E0063,EXPLOSIVENESS,EXPLOSIVENESS,EXPLOSIVENESS,0.7368421052631579,4.194998660760767,A
NFL-C032,NFL-U061,EXISTING_1859,LONG,PAIR,rank_edge_third_down_success,>=,0.0,recent_edge_sack_or_hit_rate,>=,-0.0236181155150866,DOG35_49,AWAY,378,198,0.5238095238095238,0.2553703703703703,96.53,20,17,3,1,0.062269856013872,179,99,0.553072625698324,0.326145251396648,58.38,9,8,1,1,0.0902558524125538,100,50,0.5,0.2086,20.860000000000003,5,4,1,1,0.1227080809535913,99,49,0.494949494949495,0.1746464646464646,17.29,6,5,1,1,0.1210621168639716,E0261,THIRD_DOWN,PASS_PROTECTION_RUSH,PASS_PROTECTION_RUSH+THIRD_DOWN,0.85,4.184491900454628,A
NFL-C033,NFL-U062,EXISTING_1859,LONG,PAIR,rank_edge_third_down_success,>=,0.0,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,DOG35_49,AWAY,238,130,0.5462184873949579,0.3161764705882353,75.25,20,17,3,1,0.0787153778360501,104,62,0.5961538461538461,0.4333653846153846,45.07,9,8,1,1,0.1174173322859637,64,32,0.5,0.2165625,13.86,5,4,1,1,0.1551295891251021,70,36,0.5142857142857142,0.2331428571428571,16.32,6,5,1,1,0.1454887590169624,E0233,THIRD_DOWN,PASSING,PASSING+THIRD_DOWN,0.85,4.181607366768475,A
NFL-C034,NFL-U065,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,recent_edge_explosive_rate,<=,-1.7047830334765424e-05,DOG35_49,AWAY,175,95,0.5428571428571428,0.3173714285714285,55.53999999999999,20,15,5,2,0.0926868398126433,70,39,0.5571428571428572,0.3737142857142858,26.160000000000004,9,7,2,1,0.1487921238688617,47,25,0.5319148936170213,0.2753191489361702,12.94,5,4,1,1,0.1792803093778122,58,31,0.5344827586206896,0.2834482758620689,16.439999999999998,6,4,2,2,0.160155050350279,E0141,PASSING,EXPLOSIVENESS,EXPLOSIVENESS+PASSING,0.75,4.167227710207323,A
NFL-C035,NFL-U080,EXISTING_1859,LONG,PAIR,recent_edge_explosive_rate,<=,-1.7047830334765424e-05,rank_edge_def_allowed_explosive_rate,<=,-6.0,DOG35_49,AWAY,194,101,0.520618556701031,0.2489175257731958,48.29,20,14,6,2,0.0870733660622507,81,39,0.4814814814814814,0.1754320987654321,14.21,9,6,3,1,0.1373898042588363,49,28,0.5714285714285714,0.3622448979591836,17.749999999999996,5,4,1,1,0.1721122935982885,64,34,0.53125,0.25515625,16.330000000000002,6,4,2,2,0.1500816563765511,E0118,EXPLOSIVENESS,EXPLOSIVENESS,EXPLOSIVENESS,0.7,4.084186507936508,A
NFL-C036,NFL-U082,EXISTING_1859,LONG,PAIR,recent_edge_giveaway_rate,>=,0.0,rank_edge_def_allowed_yards_per_play,<=,-1.0,DOG35_49,AWAY,298,150,0.5033557046979866,0.205234899328859,61.16,20,14,6,2,0.0700767270434253,117,57,0.4871794871794871,0.1785470085470085,20.890000000000004,9,6,3,1,0.1130490834506989,78,38,0.4871794871794871,0.196025641025641,15.29,5,4,1,1,0.1412898268676011,103,55,0.5339805825242718,0.2425242718446601,24.98,6,4,2,2,0.1158688873540468,E0086,TURNOVERS,EFFICIENCY,EFFICIENCY+TURNOVERS,0.7,4.06948636303672,A
NFL-C037,NFL-U083,EXISTING_1859,LONG,PAIR,recent_edge_third_down_success,>=,0.0,rank_edge_def_allowed_explosive_rate,<=,-10.0,DOG35_49,ANY,277,140,0.5054151624548736,0.211913357400722,58.7,20,14,6,2,0.0728497626860271,116,56,0.4827586206896552,0.1599137931034483,18.550000000000004,9,6,3,2,0.1130002119970982,76,40,0.5263157894736842,0.2782894736842105,21.15,5,4,1,1,0.1413064838976084,85,44,0.5176470588235295,0.2235294117647058,18.999999999999996,6,4,2,1,0.1301386575648565,E0121,THIRD_DOWN,EXPLOSIVENESS,EXPLOSIVENESS+THIRD_DOWN,0.7,4.068366815368046,A
NFL-C038,NFL-U087,EXISTING_1859,LONG,PAIR,rank_edge_third_down_success,>=,0.0,recent_edge_punt_return_average,>=,2.472222222222221,DOG35_49,ANY,293,153,0.5221843003412969,0.2425255972696245,71.06,20,16,4,2,0.0702907451406256,121,65,0.5371900826446281,0.2692561983471074,32.58,9,8,1,1,0.108734782684368,85,45,0.5294117647058824,0.2624705882352941,22.31,5,4,1,1,0.1313346598650129,87,43,0.4942528735632184,0.1858620689655172,16.17,6,4,2,2,0.1305328613782856,E0222,THIRD_DOWN,SPECIAL_TEAMS,SPECIAL_TEAMS+THIRD_DOWN,0.8,4.046969031315881,A
NFL-C039,NFL-U090,EXISTING_1859,LONG,PAIR,rank_edge_off_epa_per_play,>=,10.0,recent_edge_giveaway_rate,>=,-0.0071892476066567,DOG35_49,AWAY,153,80,0.5228758169934641,0.2460130718954248,37.64,19,15,4,1,0.0976225090931469,75,37,0.4933333333333333,0.1625333333333333,12.189999999999998,9,6,3,1,0.1383563870945243,41,20,0.4878048780487805,0.1970731707317073,8.08,5,4,1,1,0.1963263969374566,37,23,0.6216216216216216,0.4694594594594595,17.37,5,5,0,0,0.1931872490748211,E0043,EFFICIENCY,TURNOVERS,EFFICIENCY+TURNOVERS,0.7894736842105263,4.027729996004092,A
NFL-C040,NFL-U097,EXISTING_1859,LONG,PAIR,rank_edge_def_allowed_yards_per_play,<=,-1.0,recent_edge_explosive_rate,<=,-1.7047830334765424e-05,DOG35_49,AWAY,256,127,0.49609375,0.2021875,51.76,20,14,6,2,0.0765687422425296,103,48,0.4660194174757281,0.1480582524271844,15.249999999999996,9,6,3,1,0.1224716160974562,64,31,0.484375,0.16171875,10.35,5,3,2,2,0.1528835851538647,89,48,0.5393258426966292,0.2939325842696629,26.160000000000004,6,5,1,1,0.1287074917656581,E0054,EFFICIENCY,EXPLOSIVENESS,EFFICIENCY+EXPLOSIVENESS,0.7,3.9895487413967743,A
