result,player1,player2,player1_url,player2_url,weightclass,method,round,time,time_format,referee,details,player1_nickname,player2_nickname,event_date,event_location,event_url,p1_rd1_KD,p1_rd2_KD,p1_rd3_KD,p1_rd4_KD,p1_rd5_KD,p1_rd1_Sig_str,p1_rd2_Sig_str,p1_rd3_Sig_str,p1_rd4_Sig_str,p1_rd5_Sig_str,p1_rd1_Total_str,p1_rd2_Total_str,p1_rd3_Total_str,p1_rd4_Total_str,p1_rd5_Total_str,p1_rd1_Td,p1_rd2_Td,p1_rd3_Td,p1_rd4_Td,p1_rd5_Td,p1_rd1_Sub_att,p1_rd2_Sub_att,p1_rd3_Sub_att,p1_rd4_Sub_att,p1_rd5_Sub_att,p1_rd1_Rev,p1_rd2_Rev,p1_rd3_Rev,p1_rd4_Rev,p1_rd5_Rev,p1_rd1_Ctrl,p1_rd2_Ctrl,p1_rd3_Ctrl,p1_rd4_Ctrl,p1_rd5_Ctrl,p2_rd1_KD,p2_rd2_KD,p2_rd3_KD,p2_rd4_KD,p2_rd5_KD,p2_rd1_Sig_str,p2_rd2_Sig_str,p2_rd3_Sig_str,p2_rd4_Sig_str,p2_rd5_Sig_str,p2_rd1_Total_str,p2_rd2_Total_str,p2_rd3_Total_str,p2_rd4_Total_str,p2_rd5_Total_str,p2_rd1_Td,p2_rd2_Td,p2_rd3_Td,p2_rd4_Td,p2_rd5_Td,p2_rd1_Sub_att,p2_rd2_Sub_att,p2_rd3_Sub_att,p2_rd4_Sub_att,p2_rd5_Sub_att,p2_rd1_Rev,p2_rd2_Rev,p2_rd3_Rev,p2_rd4_Rev,p2_rd5_Rev,p2_rd1_Ctrl,p2_rd2_Ctrl,p2_rd3_Ctrl,p2_rd4_Ctrl,p2_rd5_Ctrl,p1_rd1_Head,p1_rd2_Head,p1_rd3_Head,p1_rd4_Head,p1_rd5_Head,p1_rd1_Body,p1_rd2_Body,p1_rd3_Body,p1_rd4_Body,p1_rd5_Body,p1_rd1_Leg,p1_rd2_Leg,p1_rd3_Leg,p1_rd4_Leg,p1_rd5_Leg,p1_rd1_Distance,p1_rd2_Distance,p1_rd3_Distance,p1_rd4_Distance,p1_rd5_Distance,p1_rd1_Clinch,p1_rd2_Clinch,p1_rd3_Clinch,p1_rd4_Clinch,p1_rd5_Clinch,p1_rd1_Ground,p1_rd2_Ground,p1_rd3_Ground,p1_rd4_Ground,p1_rd5_Ground,p2_rd1_Head,p2_rd2_Head,p2_rd3_Head,p2_rd4_Head,p2_rd5_Head,p2_rd1_Body,p2_rd2_Body,p2_rd3_Body,p2_rd4_Body,p2_rd5_Body,p2_rd1_Leg,p2_rd2_Leg,p2_rd3_Leg,p2_rd4_Leg,p2_rd5_Leg,p2_rd1_Distance,p2_rd2_Distance,p2_rd3_Distance,p2_rd4_Distance,p2_rd5_Distance,p2_rd1_Clinch,p2_rd2_Clinch,p2_rd3_Clinch,p2_rd4_Clinch,p2_rd5_Clinch,p2_rd1_Ground,p2_rd2_Ground,p2_rd3_Ground,p2_rd4_Ground,p2_rd5_Ground,division,result_norm,h1,h2,height_diff,height_gap,taller_is_p1,p1_won,taller_won,shorter_won,pair_key,market_prob,favorite_decimal_odds,market_fav_won,market_fav_taller,american_odds
W,Patrick Walsh,Daniel Spohn,http://ufcstats.com/fighter-details/b4c96c3d9139bf0e,http://ufcstats.com/fighter-details/87f3bbf52e6c9dc9,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29. Chris Lee 28 - 29. Roy Silbert 28 - 29.,The Beast of the East,Dragon,2014-07-06,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/1c5879330d42255f,0,0.0,0.0,,,5 of 11,2 of 4,4 of 9,,,41 of 47,27 of 30,42 of 50,,,1 of 1,2 of 4,2 of 2,,,2,1.0,0.0,,,0,0.0,0.0,,,4:11,3:06,3:47,,,0,0.0,0.0,,,6 of 11,4 of 13,14 of 27,,,9 of 14,17 of 27,26 of 39,,,0 of 0,0 of 1,0 of 0,,,1,0.0,1.0,,,0,0.0,0.0,,,0:00,1:01,0:03,,,5 of 11,2 of 4,4 of 9,,,0 of 0,0 of 0,0 of 0,,,0 of 0,0 of 0,0 of 0,,,1 of 4,1 of 3,2 of 5,,,0 of 0,1 of 1,0 of 0,,,4 of 7,0 of 0,2 of 4,,,3 of 8,4 of 12,13 of 26,,,0 of 0,0 of 0,1 of 1,,,3 of 3,0 of 1,0 of 0,,,6 of 11,3 of 10,8 of 19,,,0 of 0,1 of 3,5 of 7,,,0 of 0,0 of 0,1 of 1,,,Light Heavyweight,W,71.0,76.0,-5.0,5.0,False,True,False,True,http://ufcstats.com/fighter-details/87f3bbf52e6c9dc9|http://ufcstats.com/fighter-details/b4c96c3d9139bf0e,0.6836049856184084,1.434782608695652,False,True,-230.00000000000003
L,Chris Camozzi,Bruno Santos,http://ufcstats.com/fighter-details/6c2030e0a143a94b,http://ufcstats.com/fighter-details/da1d8d76404bb6b5,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Chris Lee 28 - 29. Doug Crosby 29 - 28. Glenn Trowbridge 28 - 29.,--,Carioca,2014-07-05,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/53adf5b845d91e4a,0,0.0,0.0,,,12 of 30,12 of 15,18 of 40,,,16 of 34,20 of 23,31 of 54,,,0 of 0,0 of 1,0 of 0,,,0,0.0,1.0,,,0,0.0,0.0,,,0:02,0:00,0:00,,,0,0.0,0.0,,,12 of 22,5 of 9,8 of 20,,,13 of 23,19 of 33,13 of 26,,,0 of 2,2 of 2,2 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,1:58,4:23,2:44,,,5 of 21,11 of 13,9 of 31,,,5 of 6,1 of 2,3 of 3,,,2 of 3,0 of 0,6 of 6,,,9 of 26,1 of 3,17 of 37,,,3 of 4,0 of 0,1 of 2,,,0 of 0,11 of 12,0 of 1,,,4 of 11,4 of 8,5 of 17,,,0 of 3,1 of 1,3 of 3,,,8 of 8,0 of 0,0 of 0,,,4 of 14,1 of 2,6 of 17,,,8 of 8,2 of 2,1 of 1,,,0 of 0,2 of 5,1 of 2,,,Middleweight,L,74.0,69.0,5.0,5.0,True,False,False,True,http://ufcstats.com/fighter-details/6c2030e0a143a94b|http://ufcstats.com/fighter-details/da1d8d76404bb6b5,0.6931407942238267,1.4166666666666667,False,True,-239.99999999999997
W,Neil Magny,Rodrigo de Lima,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,http://ufcstats.com/fighter-details/a4dc47001f202bcd,Welterweight Bout,KO/TKO,2,2:32,3 Rnd (5-5-5),John Sharp,Punch to Head In Clinch,The Haitian Sensation,Monstro,2014-06-28,"Auckland, New Zealand",http://ufcstats.com/event-details/ac9521250dc1a14c,0,1.0,,,,1 of 8,29 of 47,,,,1 of 8,30 of 49,,,,2 of 2,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:37,0:01,,,,0,0.0,,,,5 of 6,0 of 8,,,,30 of 33,0 of 8,,,,1 of 3,0 of 0,,,,2,0.0,,,,1,0.0,,,,3:42,0:00,,,,1 of 8,28 of 46,,,,0 of 0,1 of 1,,,,0 of 0,0 of 0,,,,1 of 8,29 of 47,,,,0 of 0,0 of 0,,,,0 of 0,0 of 0,,,,0 of 0,0 of 8,,,,1 of 2,0 of 0,,,,4 of 4,0 of 0,,,,3 of 4,0 of 8,,,,0 of 0,0 of 0,,,,2 of 2,0 of 0,,,,Welterweight,W,75.0,67.0,8.0,8.0,True,True,True,False,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5|http://ufcstats.com/fighter-details/a4dc47001f202bcd,0.7280334728033474,1.3448275862068966,True,True,-290.0
W,Chris Holdsworth,Chico Camus,http://ufcstats.com/fighter-details/fc60ecf0671b9489,http://ufcstats.com/fighter-details/32be4b7f7de1c905,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Dave Hagen 27 - 30. Roy Silbert 27 - 30. Glenn Trowbridge 27 - 30.,--,The King,2014-05-24,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9ca265dfe8323db3,0,0.0,0.0,,,13 of 50,6 of 21,7 of 17,,,39 of 79,69 of 92,32 of 54,,,1 of 2,2 of 3,1 of 1,,,0,1.0,1.0,,,0,0.0,0.0,,,2:33,3:47,3:56,,,0,0.0,0.0,,,10 of 27,6 of 11,9 of 21,,,12 of 29,6 of 11,15 of 27,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:07,0:00,,,11 of 45,4 of 16,5 of 15,,,2 of 5,2 of 4,1 of 1,,,0 of 0,0 of 1,1 of 1,,,12 of 49,6 of 20,6 of 16,,,1 of 1,0 of 0,0 of 0,,,0 of 0,0 of 1,1 of 1,,,8 of 23,5 of 9,8 of 19,,,1 of 3,0 of 1,0 of 0,,,1 of 1,1 of 1,1 of 2,,,10 of 26,6 of 11,9 of 21,,,0 of 0,0 of 0,0 of 0,,,0 of 1,0 of 0,0 of 0,,,Bantamweight,W,71.0,66.0,5.0,5.0,True,True,True,False,http://ufcstats.com/fighter-details/32be4b7f7de1c905|http://ufcstats.com/fighter-details/fc60ecf0671b9489,0.7661870503597122,1.2816901408450705,True,True,-354.9999999999999
L,John Howard,Ryan LaFlare,http://ufcstats.com/fighter-details/fc31f896cde2bc2e,http://ufcstats.com/fighter-details/4c7781da8c6cae93,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,Ben Cartlidge 28 - 29. Mark Collett 28 - 29. Dean Weir 28 - 29.,Doomsday,--,2014-04-11,"Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/d632d156c0549e07,0,1.0,0.0,,,15 of 22,14 of 21,6 of 10,,,26 of 33,37 of 45,10 of 14,,,0 of 1,1 of 1,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:23,1:24,0:00,,,0,0.0,0.0,,,27 of 42,20 of 29,17 of 26,,,32 of 47,33 of 45,32 of 43,,,1 of 2,1 of 3,2 of 2,,,0,0.0,0.0,,,0,1.0,0.0,,,2:41,1:56,3:52,,,6 of 13,7 of 13,4 of 8,,,7 of 7,3 of 4,0 of 0,,,2 of 2,4 of 4,2 of 2,,,13 of 17,6 of 11,6 of 10,,,1 of 4,8 of 10,0 of 0,,,1 of 1,0 of 0,0 of 0,,,9 of 23,7 of 15,11 of 18,,,17 of 18,11 of 12,4 of 6,,,1 of 1,2 of 2,2 of 2,,,12 of 24,9 of 18,7 of 14,,,10 of 13,10 of 10,0 of 1,,,5 of 5,1 of 1,10 of 11,,,Welterweight,L,67.0,73.0,-6.0,6.0,False,False,True,False,http://ufcstats.com/fighter-details/4c7781da8c6cae93|http://ufcstats.com/fighter-details/fc31f896cde2bc2e,0.7889509621353197,1.2439024390243902,True,True,-410.0
L,Carlos Condit,Tyron Woodley,http://ufcstats.com/fighter-details/f9f07bb5a43535ed,http://ufcstats.com/fighter-details/effd9de9937996f8,Welterweight Bout,KO/TKO,2,2:00,3 Rnd (5-5-5),Jacob Montalvo,"to    
      Knee Injury",The Natural Born Killer,The Chosen One,2014-03-15,"Dallas, Texas, USA",http://ufcstats.com/event-details/179f1948dc234f1f,0,0.0,,,,8 of 29,5 of 14,,,,29 of 51,23 of 33,,,,0 of 0,0 of 0,,,,1,0.0,,,,0,0.0,,,,0:03,0:00,,,,0,1.0,,,,11 of 23,3 of 6,,,,18 of 30,16 of 19,,,,2 of 2,1 of 1,,,,0,0.0,,,,0,0.0,,,,2:10,0:53,,,,4 of 22,2 of 10,,,,2 of 3,1 of 2,,,,2 of 4,2 of 2,,,,5 of 25,5 of 14,,,,3 of 4,0 of 0,,,,0 of 0,0 of 0,,,,8 of 18,2 of 5,,,,3 of 4,0 of 0,,,,0 of 1,1 of 1,,,,5 of 14,3 of 6,,,,6 of 9,0 of 0,,,,0 of 0,0 of 0,,,,Welterweight,L,74.0,69.0,5.0,5.0,True,False,False,True,http://ufcstats.com/fighter-details/effd9de9937996f8|http://ufcstats.com/fighter-details/f9f07bb5a43535ed,0.6551724137931034,1.5,False,True,-200.0
W,James Vick,Nick Hein,http://ufcstats.com/fighter-details/6256b2b1562cb8e1,http://ufcstats.com/fighter-details/2816ced060a21be3,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Jennie Cardenas 27 - 30. Anthony Townsend 28 - 29. Nick Wright 28 - 29.,The Texecutioner,Sergeant,2014-11-22,"Austin, Texas, USA",http://ufcstats.com/event-details/155a02a8b4311057,0,0.0,0.0,,,11 of 40,15 of 47,14 of 53,,,14 of 43,15 of 47,14 of 53,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,1,0.0,0.0,,,0:15,0:00,0:00,,,2,0.0,0.0,,,6 of 10,5 of 35,14 of 40,,,10 of 15,5 of 35,14 of 40,,,0 of 0,0 of 1,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:59,0:01,0:00,,,8 of 32,12 of 36,12 of 48,,,1 of 6,0 of 5,2 of 5,,,2 of 2,3 of 6,0 of 0,,,11 of 38,15 of 47,14 of 53,,,0 of 1,0 of 0,0 of 0,,,0 of 1,0 of 0,0 of 0,,,5 of 8,2 of 29,4 of 20,,,1 of 2,1 of 4,2 of 10,,,0 of 0,2 of 2,8 of 10,,,4 of 7,5 of 35,13 of 37,,,0 of 1,0 of 0,1 of 3,,,2 of 2,0 of 0,0 of 0,,,Lightweight,W,75.0,66.0,9.0,9.0,True,True,True,False,http://ufcstats.com/fighter-details/2816ced060a21be3|http://ufcstats.com/fighter-details/6256b2b1562cb8e1,0.7234352256186317,1.3571428571428572,True,True,-279.99999999999994
W,Corey Anderson,Justin Jones,http://ufcstats.com/fighter-details/5e4eec08896c9423,http://ufcstats.com/fighter-details/9b75954db8db2a08,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Junichiro Kamijo 27 - 30. Tony Weeks 27 - 30. Lester Griffin 26 - 30.,Overtime,Black Dynamite,2014-12-06,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dfdd0c5dd0d4bc23,0,0.0,0.0,,,20 of 43,16 of 34,9 of 12,,,32 of 61,35 of 53,28 of 31,,,2 of 5,2 of 3,3 of 5,,,0,0.0,0.0,,,0,0.0,0.0,,,1:28,2:44,4:36,,,0,0.0,0.0,,,15 of 39,11 of 21,2 of 9,,,15 of 39,12 of 22,5 of 12,,,0 of 1,0 of 0,0 of 0,,,1,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,16 of 37,10 of 27,5 of 8,,,3 of 5,6 of 7,4 of 4,,,1 of 1,0 of 0,0 of 0,,,10 of 26,8 of 24,0 of 3,,,10 of 17,8 of 10,6 of 6,,,0 of 0,0 of 0,3 of 3,,,9 of 32,2 of 9,1 of 6,,,6 of 6,2 of 5,1 of 2,,,0 of 1,7 of 7,0 of 1,,,11 of 33,9 of 16,0 of 5,,,4 of 6,2 of 5,2 of 4,,,0 of 0,0 of 0,0 of 0,,,Light Heavyweight,W,75.0,71.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/5e4eec08896c9423|http://ufcstats.com/fighter-details/9b75954db8db2a08,0.8167938931297709,1.2,True,True,-500.0000000000001
W,Dhiego Lima,Jorge de Oliveira,http://ufcstats.com/fighter-details/e9213f53ddeca978,http://ufcstats.com/fighter-details/ddf3e0ea10ea6d8c,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Wernei Cardoso,Marco Borges 27 - 30. Fernando Moura 27 - 30. Roy Silbert 27 - 30.,--,Blade,2014-11-08,"Uberlandia, Minas Gerais, Brazil",http://ufcstats.com/event-details/6ca68b636fbc1f18,0,0.0,0.0,,,18 of 26,31 of 55,21 of 56,,,26 of 35,50 of 80,40 of 80,,,1 of 1,2 of 3,3 of 4,,,1,3.0,0.0,,,0,0.0,0.0,,,2:49,4:20,2:32,,,0,0.0,0.0,,,9 of 23,7 of 13,7 of 32,,,30 of 44,20 of 31,12 of 39,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,15 of 23,31 of 55,18 of 51,,,2 of 2,0 of 0,3 of 4,,,1 of 1,0 of 0,0 of 1,,,10 of 17,2 of 6,7 of 23,,,1 of 1,0 of 0,0 of 0,,,7 of 8,29 of 49,14 of 33,,,2 of 13,5 of 11,3 of 24,,,6 of 6,1 of 1,1 of 4,,,1 of 4,1 of 1,3 of 4,,,4 of 18,5 of 11,7 of 31,,,5 of 5,2 of 2,0 of 1,,,0 of 0,0 of 0,0 of 0,,,Welterweight,W,74.0,68.0,6.0,6.0,True,True,True,False,http://ufcstats.com/fighter-details/ddf3e0ea10ea6d8c|http://ufcstats.com/fighter-details/e9213f53ddeca978,0.7997032640949555,1.2272727272727273,True,True,-439.99999999999994
W,Augusto Montano,Chris Heatherly,http://ufcstats.com/fighter-details/94508d80e1f885fc,http://ufcstats.com/fighter-details/bad8be5827ea1bf1,Welterweight Bout,KO/TKO,1,4:50,3 Rnd (5-5-5),John McCarthy,Knees to Body In Clinch,Dodger,Stump,2014-11-15,"Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/59851163aaf1aed8,0,,,,,30 of 52,,,,,32 of 54,,,,,0 of 0,,,,,0,,,,,0,,,,,1:27,,,,,0,,,,,8 of 20,,,,,10 of 22,,,,,1 of 3,,,,,0,,,,,0,,,,,0:48,,,,,20 of 39,,,,,8 of 8,,,,,2 of 5,,,,,4 of 17,,,,,22 of 28,,,,,4 of 7,,,,,7 of 18,,,,,0 of 0,,,,,1 of 2,,,,,6 of 13,,,,,2 of 7,,,,,0 of 0,,,,,Welterweight,W,73.0,69.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/94508d80e1f885fc|http://ufcstats.com/fighter-details/bad8be5827ea1bf1,0.706429605127145,1.392156862745098,True,True,-255.00000000000003
W,Elias Theodorou,Bruno Santos,http://ufcstats.com/fighter-details/34f88592c0ab7a54,http://ufcstats.com/fighter-details/da1d8d76404bb6b5,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Brad Jardine,Ian Bridgeman 28 - 29. Robert MacAvoy 28 - 29. Don Robinson 28 - 29.,The Spartan,Carioca,2014-10-04,"Halifax, Nova Scotia, Canada",http://ufcstats.com/event-details/0313bf497de9c470,0,0.0,0.0,,,14 of 43,15 of 39,14 of 24,,,21 of 50,30 of 57,53 of 71,,,0 of 2,0 of 0,3 of 5,,,0,0.0,0.0,,,0,0.0,0.0,,,1:41,1:08,3:44,,,0,0.0,0.0,,,12 of 24,4 of 12,0 of 4,,,16 of 28,11 of 20,2 of 6,,,2 of 2,1 of 3,1 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:37,1:23,0:30,,,2 of 30,5 of 25,11 of 20,,,10 of 11,8 of 12,3 of 4,,,2 of 2,2 of 2,0 of 0,,,6 of 30,9 of 31,6 of 15,,,8 of 13,6 of 8,2 of 3,,,0 of 0,0 of 0,6 of 6,,,7 of 19,3 of 11,0 of 4,,,3 of 3,1 of 1,0 of 0,,,2 of 2,0 of 0,0 of 0,,,7 of 18,2 of 10,0 of 3,,,5 of 6,2 of 2,0 of 1,,,0 of 0,0 of 0,0 of 0,,,Middleweight,W,73.0,69.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/34f88592c0ab7a54|http://ufcstats.com/fighter-details/da1d8d76404bb6b5,0.745958429561201,1.2941176470588236,True,True,-339.99999999999994
L,Niklas Backstrom,Mike Wilkinson,http://ufcstats.com/fighter-details/39cc64bf0a269db9,http://ufcstats.com/fighter-details/cfaf010d5b389c09,Featherweight Bout,KO/TKO,1,1:19,3 Rnd (5-5-5),Bobby Rehman,Punch to Head At Distance,--,The Warrior,2014-10-04,"Stockholm, Sweden",http://ufcstats.com/event-details/8dc4f34c1f50d00d,0,,,,,7 of 12,,,,,7 of 12,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,1,,,,,6 of 15,,,,,7 of 16,,,,,0 of 1,,,,,0,,,,,0,,,,,0:02,,,,,4 of 9,,,,,0 of 0,,,,,3 of 3,,,,,5 of 10,,,,,2 of 2,,,,,0 of 0,,,,,4 of 12,,,,,0 of 1,,,,,2 of 2,,,,,3 of 10,,,,,0 of 0,,,,,3 of 5,,,,,Featherweight,L,73.0,67.0,6.0,6.0,True,False,False,True,http://ufcstats.com/fighter-details/39cc64bf0a269db9|http://ufcstats.com/fighter-details/cfaf010d5b389c09,0.8720930232558138,1.1,False,True,-999.9999999999991
W,Hyun Gyu Lim,Takenori Sato,http://ufcstats.com/fighter-details/203c957eac95dd87,http://ufcstats.com/fighter-details/276c60b14b571dd4,Welterweight Bout,KO/TKO,1,1:18,3 Rnd (5-5-5),Leon Roberts,Elbows to Head In Clinch,The Ace,--,2014-09-20,"Saitama, Japan",http://ufcstats.com/event-details/2dea80c069847321,1,,,,,10 of 13,,,,,15 of 18,,,,,0 of 0,,,,,0,,,,,0,,,,,0:12,,,,,0,,,,,1 of 3,,,,,2 of 4,,,,,0 of 2,,,,,0,,,,,0,,,,,0:02,,,,,10 of 13,,,,,0 of 0,,,,,0 of 0,,,,,0 of 3,,,,,3 of 3,,,,,7 of 7,,,,,0 of 0,,,,,0 of 1,,,,,1 of 2,,,,,1 of 3,,,,,0 of 0,,,,,0 of 0,,,,,Welterweight,W,75.0,70.0,5.0,5.0,True,True,True,False,http://ufcstats.com/fighter-details/203c957eac95dd87|http://ufcstats.com/fighter-details/276c60b14b571dd4,0.8475120385232746,1.1515151515151516,True,True,-659.9999999999997
W,Miesha Tate,Rin Nakai,http://ufcstats.com/fighter-details/b96619b3acd7d9da,http://ufcstats.com/fighter-details/f9ae6914f604aa9f,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,28 - 29. 27 - 30. 27 - 30.,Cupcake,--,2014-09-20,"Saitama, Japan",http://ufcstats.com/event-details/2dea80c069847321,0,0.0,0.0,,,31 of 58,13 of 34,11 of 24,,,37 of 64,35 of 56,16 of 30,,,1 of 1,0 of 0,0 of 3,,,0,0.0,0.0,,,0,0.0,0.0,,,0:54,1:23,0:26,,,0,0.0,0.0,,,10 of 27,2 of 8,4 of 12,,,31 of 50,10 of 17,11 of 19,,,0 of 6,1 of 5,2 of 8,,,0,0.0,0.0,,,0,0.0,0.0,,,0:26,1:10,2:20,,,16 of 39,11 of 29,6 of 19,,,12 of 15,2 of 5,4 of 4,,,3 of 4,0 of 0,1 of 1,,,17 of 38,9 of 29,2 of 12,,,14 of 18,2 of 3,9 of 12,,,0 of 2,2 of 2,0 of 0,,,5 of 18,0 of 4,2 of 6,,,3 of 7,1 of 3,2 of 6,,,2 of 2,1 of 1,0 of 0,,,5 of 15,1 of 5,1 of 4,,,5 of 10,1 of 3,3 of 8,,,0 of 2,0 of 0,0 of 0,,,Women's Bantamweight,W,66.0,61.0,5.0,5.0,True,True,True,False,http://ufcstats.com/fighter-details/b96619b3acd7d9da|http://ufcstats.com/fighter-details/f9ae6914f604aa9f,0.7418136020151133,1.3225806451612905,True,True,-309.99999999999983
W,Alberto Mina,Shinsho Anzai,http://ufcstats.com/fighter-details/4b1d46a1b5c0fd11,http://ufcstats.com/fighter-details/4665f9f909cd7214,Welterweight Bout,KO/TKO,1,4:17,3 Rnd (5-5-5),Thomas Fan,Punch to Head At Distance,Soldier of God,Animal,2014-08-23,"Macau, China",http://ufcstats.com/event-details/770b9d4813c25902,1,,,,,34 of 58,,,,,38 of 62,,,,,0 of 2,,,,,0,,,,,1,,,,,0:36,,,,,0,,,,,31 of 46,,,,,41 of 60,,,,,1 of 1,,,,,0,,,,,0,,,,,0:49,,,,,30 of 53,,,,,4 of 5,,,,,0 of 0,,,,,22 of 44,,,,,3 of 5,,,,,9 of 9,,,,,29 of 44,,,,,2 of 2,,,,,0 of 0,,,,,26 of 40,,,,,5 of 6,,,,,0 of 0,,,,,Welterweight,W,72.0,67.0,5.0,5.0,True,True,True,False,http://ufcstats.com/fighter-details/4665f9f909cd7214|http://ufcstats.com/fighter-details/4b1d46a1b5c0fd11,0.6786155747836835,1.4444444444444444,True,True,-225.0
W,Michael Bisping,Cung Le,http://ufcstats.com/fighter-details/2b93ebd9f5417ad2,http://ufcstats.com/fighter-details/d4f364dd076bb0e2,Middleweight Bout,KO/TKO,4,0:57,5 Rnd (5-5-5-5-5),John Sharp,Knee to Head In Clinch,The Count,--,2014-08-23,"Macau, China",http://ufcstats.com/event-details/770b9d4813c25902,0,0.0,0.0,1.0,,18 of 64,21 of 83,35 of 96,18 of 27,,18 of 64,21 of 83,35 of 96,18 of 27,,0 of 0,0 of 0,0 of 0,0 of 0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0:00,0:00,0:00,0:03,,0,0.0,0.0,0.0,,11 of 33,11 of 33,15 of 39,1 of 5,,11 of 33,11 of 33,15 of 39,1 of 5,,0 of 0,0 of 0,0 of 0,0 of 0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0:00,0:00,0:00,0:00,,11 of 54,15 of 74,29 of 86,13 of 22,,2 of 4,6 of 8,3 of 7,5 of 5,,5 of 6,0 of 1,3 of 3,0 of 0,,18 of 64,20 of 82,35 of 96,15 of 23,,0 of 0,1 of 1,0 of 0,1 of 1,,0 of 0,0 of 0,0 of 0,2 of 3,,1 of 17,2 of 19,6 of 27,0 of 4,,5 of 11,4 of 9,9 of 12,1 of 1,,5 of 5,5 of 5,0 of 0,0 of 0,,11 of 33,11 of 33,15 of 39,1 of 5,,0 of 0,0 of 0,0 of 0,0 of 0,,0 of 0,0 of 0,0 of 0,0 of 0,,Middleweight,W,73.0,69.0,4.0,4.0,True,True,True,False,http://ufcstats.com/fighter-details/2b93ebd9f5417ad2|http://ufcstats.com/fighter-details/d4f364dd076bb0e2,0.6884445477795862,1.425531914893617,True,True,-235.00000000000003
W,Ben Saunders,Chris Heatherly,http://ufcstats.com/fighter-details/484acc7b0f856ce9,http://ufcstats.com/fighter-details/bad8be5827ea1bf1,Welterweight Bout,Submission,1,2:18,3 Rnd (5-5-5),John McCarthy,Omoplata From Bottom Guard,Killa B,Stump,2014-08-23,"Tulsa, Oklahoma, USA",http://ufcstats.com/event-details/063649e21bc9d6d5,0,,,,,4 of 6,,,,,6 of 11,,,,,0 of 0,,,,,2,,,,,0,,,,,0:44,,,,,0,,,,,4 of 5,,,,,7 of 9,,,,,1 of 1,,,,,0,,,,,0,,,,,1:14,,,,,1 of 3,,,,,1 of 1,,,,,2 of 2,,,,,3 of 4,,,,,0 of 0,,,,,1 of 2,,,,,1 of 2,,,,,3 of 3,,,,,0 of 0,,,,,3 of 4,,,,,0 of 0,,,,,1 of 1,,,,,Welterweight,W,74.0,69.0,5.0,5.0,True,True,True,False,http://ufcstats.com/fighter-details/484acc7b0f856ce9|http://ufcstats.com/fighter-details/bad8be5827ea1bf1,0.7793699533720004,1.2597402597402598,True,True,-384.9999999999999
