method_id,split,week,n,wins,losses,win_pct,roi,units
CO061,ALL,5,3,1,2,0.3333333333333333,-0.0433333333333333,-0.1299999999999999
CO061,ALL,6,4,1,3,0.25,-0.0625,-0.25
CO061,ALL,7,9,3,6,0.3333333333333333,0.0011111111111110875,0.009999999999999787
CO061,ALL,8,6,2,4,0.3333333333333333,0.0016666666666666312,0.009999999999999787
CO061,ALL,9,7,3,4,0.42857142857142855,0.45428571428571424,3.1799999999999997
CO061,ALL,10,2,2,0,1.0,2.295,4.59
CO061,ALL,11,6,2,4,0.3333333333333333,0.29666666666666663,1.7799999999999998
CO061,ALL,12,4,0,4,0.0,-1.0,-4.0
CO061,ALL,13,7,2,5,0.2857142857142857,0.021428571428571415,0.1499999999999999
CO061,ALL,14,10,6,4,0.6,1.066,10.66
CO061,ALL,15,8,4,4,0.5,0.6375,5.1
CO061,ALL,16,12,6,6,0.5,1.01,12.120000000000001
CO061,ALL,17,11,2,9,0.18181818181818182,-0.3663636363636364,-4.03
CO061,ALL,18,1,0,1,0.0,-1.0,-1.0
CO061,TRAIN,4,2,0,2,0.0,-1.0,-2.0
CO061,TRAIN,5,0,0,0,,,0.0
CO061,TRAIN,6,3,1,2,0.3333333333333333,0.25,0.75
CO061,TRAIN,7,1,0,1,0.0,-1.0,-1.0
CO061,TRAIN,8,2,1,1,0.5,0.5249999999999999,1.0499999999999998
CO061,TRAIN,9,3,1,2,0.3333333333333333,0.06333333333333331,0.18999999999999995
CO061,TRAIN,10,1,1,0,1.0,2.38,2.38
CO061,TRAIN,11,3,1,2,0.3333333333333333,0.0033333333333332624,0.009999999999999787
CO061,TRAIN,12,0,0,0,,,0.0
CO061,TRAIN,13,2,1,1,0.5,0.8200000000000001,1.6400000000000001
CO061,TRAIN,14,6,4,2,0.6666666666666666,1.3766666666666667,8.26
CO061,TRAIN,15,0,0,0,,,0.0
CO061,TRAIN,16,3,2,1,0.6666666666666666,1.9533333333333331,5.859999999999999
CO061,TRAIN,17,4,0,4,0.0,-1.0,-4.0
CO061,TRAIN,18,0,0,0,,,0.0
CO061,VALIDATION,4,2,2,0,1.0,3.3200000000000003,6.640000000000001
CO061,VALIDATION,5,3,1,2,0.3333333333333333,-0.0433333333333333,-0.1299999999999999
CO061,VALIDATION,6,0,0,0,,,0.0
CO061,VALIDATION,7,7,3,4,0.42857142857142855,0.2871428571428571,2.01
CO061,VALIDATION,8,3,0,3,0.0,-1.0,-3.0
CO061,VALIDATION,9,1,1,0,1.0,2.03,2.03
CO061,VALIDATION,10,1,1,0,1.0,2.21,2.21
CO061,VALIDATION,11,1,0,1,0.0,-1.0,-1.0
CO061,VALIDATION,12,1,0,1,0.0,-1.0,-1.0
CO061,VALIDATION,13,5,1,4,0.2,-0.29800000000000004,-1.4900000000000002
CO061,VALIDATION,14,2,1,1,0.5,0.6000000000000001,1.2000000000000002
CO061,VALIDATION,15,4,1,3,0.25,-0.09750000000000003,-0.3900000000000001
CO061,VALIDATION,16,5,2,3,0.4,0.442,2.21
CO061,VALIDATION,17,6,2,4,0.3333333333333333,0.16166666666666663,0.9699999999999998
CO061,VALIDATION,18,0,0,0,,,0.0
CO061,HOLDOUT,4,3,0,3,0.0,-1.0,-3.0
CO061,HOLDOUT,5,0,0,0,,,0.0
CO061,HOLDOUT,6,1,0,1,0.0,-1.0,-1.0
