method_id,split,segment,n,wins,losses,win_pct,roi,units
CO009,VALIDATION,W7_10,23,7,16,0.30434782608695654,0.03869565217391299,0.8899999999999988
CO009,VALIDATION,W11_14,24,5,19,0.20833333333333334,-0.20333333333333334,-4.88
CO009,VALIDATION,W15_18,33,13,20,0.3939393939393939,0.5245454545454545,17.31
CO009,HOLDOUT,W4_6,21,10,11,0.47619047619047616,0.8309523809523809,17.45
CO009,HOLDOUT,W7_10,26,8,18,0.3076923076923077,0.061538461538461514,1.5999999999999994
CO009,HOLDOUT,W11_14,25,8,17,0.32,0.21720000000000006,5.4300000000000015
CO009,HOLDOUT,W15_18,18,7,11,0.3888888888888889,0.4033333333333333,7.26
CO048,ALL,W4_6,18,9,9,0.5,0.8033333333333333,14.46
CO048,ALL,W7_10,21,12,9,0.5714285714285714,0.8914285714285716,18.720000000000002
CO048,ALL,W11_14,27,12,15,0.4444444444444444,0.4837037037037038,13.060000000000002
CO048,ALL,W15_18,32,10,22,0.3125,0.18218749999999997,5.829999999999999
CO048,TRAIN,W4_6,4,2,2,0.5,1.1825,4.73
CO048,TRAIN,W7_10,5,3,2,0.6,0.976,4.88
CO048,TRAIN,W11_14,14,7,7,0.5,0.6742857142857144,9.440000000000001
CO048,TRAIN,W15_18,9,4,5,0.4444444444444444,0.7366666666666668,6.630000000000001
CO048,VALIDATION,W4_6,8,6,2,0.75,1.5975000000000001,12.780000000000001
CO048,VALIDATION,W7_10,12,5,7,0.4166666666666667,0.38916666666666666,4.67
CO048,VALIDATION,W11_14,5,3,2,0.6,1.0420000000000003,5.210000000000001
CO048,VALIDATION,W15_18,13,3,10,0.23076923076923078,-0.15000000000000002,-1.9500000000000002
CO048,HOLDOUT,W4_6,6,1,5,0.16666666666666666,-0.5083333333333333,-3.05
CO048,HOLDOUT,W7_10,4,4,0,1.0,2.2925000000000004,9.170000000000002
CO048,HOLDOUT,W11_14,8,2,6,0.25,-0.19874999999999998,-1.5899999999999999
CO048,HOLDOUT,W15_18,10,3,7,0.3,0.11499999999999999,1.15
CO043,ALL,W4_6,24,9,15,0.375,0.4429166666666667,10.63
CO043,ALL,W7_10,24,9,15,0.375,0.20874999999999996,5.009999999999999
CO043,ALL,W11_14,17,5,12,0.29411764705882354,0.16882352941176465,2.869999999999999
CO043,ALL,W15_18,29,12,17,0.41379310344827586,0.5179310344827586,15.02
CO043,TRAIN,W4_6,5,1,4,0.2,-0.0040000000000000036,-0.020000000000000018
CO043,TRAIN,W7_10,10,5,5,0.5,0.591,5.909999999999999
CO043,TRAIN,W11_14,6,2,4,0.3333333333333333,0.2333333333333333,1.4
CO043,TRAIN,W15_18,6,1,5,0.16666666666666666,-0.35833333333333334,-2.15
CO043,VALIDATION,W4_6,12,6,6,0.5,0.9058333333333334,10.870000000000001
CO043,VALIDATION,W7_10,9,3,6,0.3333333333333333,0.11111111111111116,1.0000000000000004
CO043,VALIDATION,W11_14,5,2,3,0.4,0.634,3.17
CO043,VALIDATION,W15_18,15,6,9,0.4,0.39599999999999996,5.9399999999999995
CO043,HOLDOUT,W4_6,7,2,5,0.2857142857142857,-0.03142857142857146,-0.2200000000000002
CO043,HOLDOUT,W7_10,5,1,4,0.2,-0.38,-1.9
CO043,HOLDOUT,W11_14,6,1,5,0.16666666666666666,-0.2833333333333334,-1.7000000000000002
CO043,HOLDOUT,W15_18,8,5,3,0.625,1.40375,11.23
CO061,ALL,W4_6,14,4,10,0.2857142857142857,0.09000000000000005,1.2600000000000007
CO061,ALL,W7_10,24,10,14,0.4166666666666667,0.3245833333333333,7.789999999999999
CO061,ALL,W11_14,27,10,17,0.37037037037037035,0.3181481481481481,8.59
