method_id,segment,selected_preholdout,confirmed_holdout,base_train_roi,segment_train_n,segment_train_win_pct,segment_train_roi,safe_train_roi,base_validation_roi,segment_validation_n,segment_validation_win_pct,segment_validation_roi,safe_validation_roi,base_holdout_roi,segment_holdout_n,segment_holdout_win_pct,segment_holdout_roi,safe_holdout_roi
CO026,W11_14,False,False,0.35333333333333333,9,0.2222222222222222,-0.46888888888888886,0.6616666666666667,0.5111904761904762,13,0.6153846153846154,0.6176923076923077,0.463448275862069,0.3241176470588236,9,0.6666666666666666,0.6711111111111112,0.19920000000000002
CO026,W15_18,True,False,0.35333333333333333,7,0.42857142857142855,0.11714285714285715,0.4169230769230769,0.5111904761904762,9,0.4444444444444444,0.1588888888888889,0.6072727272727274,0.3241176470588236,10,0.8,0.9850000000000001,0.04875000000000001
CO009,W4_6,False,False,0.17887323943661973,9,0.4444444444444444,0.6755555555555556,0.10677419354838709,0.3066346153846154,24,0.5,0.77375,0.16649999999999998,0.3526666666666667,21,0.47619047619047616,0.8309523809523809,0.2071014492753623
CO009,W7_10,False,False,0.17887323943661973,21,0.2857142857142857,-0.05047619047619048,0.27519999999999994,0.3066346153846154,23,0.30434782608695654,0.03869565217391299,0.3827160493827161,0.3526666666666667,26,0.3076923076923077,0.061538461538461514,0.4709375
CO009,W11_14,False,False,0.17887323943661973,24,0.3333333333333333,0.32958333333333334,0.10191489361702122,0.3066346153846154,24,0.20833333333333334,-0.20333333333333334,0.45962499999999995,0.3526666666666667,25,0.32,0.21720000000000006,0.40476923076923077
CO009,W15_18,False,False,0.17887323943661973,17,0.23529411764705882,-0.013529411764705894,0.23944444444444452,0.3066346153846154,33,0.3939393939393939,0.5245454545454545,0.20535211267605633,0.3526666666666667,18,0.3888888888888889,0.4033333333333333,0.33999999999999997
CO048,W7_10,False,False,0.8025,5,0.6,0.976,0.7703703703703704,0.5450000000000002,12,0.4166666666666667,0.38916666666666666,0.616923076923077,0.20285714285714285,4,1.0,2.2925000000000004,-0.1454166666666666
CO048,W11_14,False,False,0.8025,14,0.5,0.6742857142857144,0.9022222222222224,0.5450000000000002,5,0.6,1.0420000000000003,0.4696969696969697,0.20285714285714285,8,0.25,-0.19874999999999998,0.3635
CO048,W15_18,False,False,0.8025,9,0.4444444444444444,0.7366666666666668,0.8282608695652174,0.5450000000000002,13,0.23076923076923078,-0.15000000000000002,0.9064,0.20285714285714285,10,0.3,0.11499999999999999,0.2516666666666667
CO043,W4_6,False,False,0.19037037037037033,5,0.2,-0.0040000000000000036,0.23454545454545456,0.5117073170731707,12,0.5,0.9058333333333334,0.3486206896551724,0.28500000000000003,7,0.2857142857142857,-0.03142857142857146,0.40157894736842104
CO043,W7_10,False,False,0.19037037037037033,10,0.5,0.591,-0.045294117647058825,0.5117073170731707,9,0.3333333333333333,0.11111111111111116,0.624375,0.28500000000000003,5,0.2,-0.38,0.44333333333333325
CO043,W11_14,False,False,0.19037037037037033,6,0.3333333333333333,0.2333333333333333,0.1780952380952381,0.5117073170731707,5,0.4,0.634,0.4947222222222223,0.28500000000000003,6,0.16666666666666666,-0.2833333333333334,0.45549999999999996
CO043,W15_18,False,False,0.19037037037037033,6,0.16666666666666666,-0.35833333333333334,0.3471428571428571,0.5117073170731707,15,0.4,0.39599999999999996,0.5784615384615385,0.28500000000000003,8,0.625,1.40375,-0.21222222222222226
CO061,W4_6,False,False,0.43799999999999994,5,0.2,-0.25,0.5756,0.2502439024390244,5,0.6,1.302,0.10416666666666662,0.24730769230769234,4,0.0,-1.0,0.47409090909090906
CO061,W7_10,False,False,0.43799999999999994,7,0.42857142857142855,0.3742857142857142,0.45739130434782604,0.2502439024390244,12,0.4166666666666667,0.2708333333333333,0.24172413793103448,0.24730769230769234,5,0.4,0.384,0.2147619047619048
CO061,W11_14,False,False,0.43799999999999994,11,0.5454545454545454,0.9009090909090909,0.16999999999999998,0.2502439024390244,9,0.2222222222222222,-0.2544444444444445,0.3921874999999999,0.24730769230769234,7,0.2857142857142857,0.1385714285714286,0.2873684210526316
CO061,W15_18,False,False,0.43799999999999994,7,0.2857142857142857,0.2657142857142857,0.4904347826086956,0.2502439024390244,15,0.3333333333333333,0.186,0.28730769230769226,0.24730769230769234,10,0.5,0.754,-0.06937499999999999
CO017,W4_6,False,False,0.14350000000000002,8,0.625,0.5549999999999999,0.040624999999999994,0.1845454545454545,14,0.5714285714285714,0.43000000000000005,0.10073170731707319,0.21254901960784314,9,0.3333333333333333,-0.16888888888888884,0.29428571428571426
CO017,W7_10,False,False,0.14350000000000002,9,0.3333333333333333,-0.10222222222222221,0.21483870967741936,0.1845454545454545,14,0.5714285714285714,0.39142857142857146,0.11390243902439026,0.21254901960784314,16,0.5,0.20500000000000002,0.216
CO017,W11_14,False,False,0.14350000000000002,14,0.35714285714285715,-0.1307142857142857,0.29115384615384615,0.1845454545454545,14,0.42857142857142855,0.09785714285714286,0.21414634146341466,0.21254901960784314,13,0.7692307692307693,0.9184615384615384,-0.02894736842105264
CO017,W15_18,False,False,0.14350000000000002,9,0.5555555555555556,0.44999999999999996,0.054516129032258075,0.1845454545454545,13,0.3076923076923077,-0.20923076923076916,0.30642857142857144,0.21254901960784314,13,0.3076923076923077,-0.22000000000000003,0.36052631578947364
CO016,W7_10,False,False,0.12052457104942156,7,0.8571428571428571,0.21082336925516304,0.09524090755181394,0.09302802022956293,7,0.7142857142857143,0.041396468360681525,0.1171227444350409,0.15527915479981858,6,0.6666666666666666,-0.016470993089119146,0.20951604360685153
CO016,W15_18,False,False,0.12052457104942156,11,0.6363636363636364,-0.09780670736719389,0.2348885740295535,0.09302802022956293,9,0.8888888888888888,0.23790256058858075,-0.007269738480526349,0.15527915479981858,5,0.6,-0.13318078405070946,0.22739413951245066
CO018,W4_6,False,False,0.15620072013338396,8,0.625,0.06610607615341836,0.17568064315607917,0.17208751764500269,7,0.5714285714285714,-0.0058243026437528244,0.20982638861534486,0.15988122734717375,15,0.6666666666666666,0.09409748401632322,0.19071735703350995
CO018,W7_10,False,False,0.15620072013338396,11,0.7272727272727273,0.2126503809916451,0.1379375945615935,0.17208751764500269,10,0.7,0.16786902234917425,0.17349368274361227,0.15988122734717375,12,0.6666666666666666,0.10698566219620602,0.1780168496846484
CO018,W11_14,False,False,0.15620072013338396,16,0.8125,0.3567711777253164,0.04554115732404184,0.17208751764500269,15,0.6,-0.0017850134611851513,0.2764110363087155,0.15988122734717375,11,0.8181818181818182,0.33956243584426327,0.10497863586195194
CO018,W15_18,False,False,0.15620072013338396,10,0.5,-0.15473092377382303,0.24503833267830022,0.17208751764500269,8,1.0,0.6590444753415519,0.050348278220865475,0.15988122734717375,9,0.6666666666666666,0.12043785382566104,0.1692230789706899
