method_id,family,feature,op,threshold,confirmed,base_n,base_win_pct,base_roi,train_risk_n,train_risk_win_pct,train_risk_roi,train_safe_roi,train_loss_lift,validation_risk_n,validation_risk_win_pct,validation_risk_roi,validation_safe_roi,validation_loss_lift,holdout_risk_n,holdout_risk_win_pct,holdout_risk_roi,holdout_safe_roi,holdout_loss_lift,retained_share,veto_score
CO043,CONTEXT,recent_edge_def_allowed_early_down_epa,<=,-0.0973635786440692,True,94,0.3723404255319149,0.35670212765957443,10,0.0,-1.0,0.8905882352941176,0.33333333333333326,9,0.2222222222222222,-0.34111111111111114,0.7515625,0.19241192411924113,7,0.14285714285714285,-0.46714285714285714,0.5621052631578948,0.20329670329670335,0.7307692307692307,10.481776761871947
CO043,CONTEXT,recent_edge_penalty_yards,<=,-15.533333333333333,True,94,0.3723404255319149,0.35670212765957443,6,0.16666666666666666,-0.17,0.29333333333333333,0.16666666666666663,8,0.0,-1.0,0.8781818181818183,0.41463414634146334,7,0.14285714285714285,-0.4642857142857143,0.5610526315789474,0.20329670329670335,0.7307692307692307,10.480724130293
CO017,COACH,coachq_hc_prior_quality,<=,0.4166666666666667,True,146,0.4726027397260274,0.18308219178082194,8,0.25,-0.31375,0.2578125,0.19999999999999996,8,0.375,-0.08124999999999999,0.22978723404255316,0.09772727272727266,16,0.3125,-0.23312500000000003,0.41628571428571426,0.17769607843137258,0.6862745098039216,10.479527051916657
CO017,COACH,coachq_hc_prior_win_pct,<=,0.4166666666666667,True,146,0.4726027397260274,0.18308219178082194,8,0.25,-0.31375,0.2578125,0.19999999999999996,8,0.375,-0.08124999999999999,0.22978723404255316,0.09772727272727266,16,0.3125,-0.23312500000000003,0.41628571428571426,0.17769607843137258,0.6862745098039216,10.479527051916657
CO061,CONTEXT,rank_edge_rush_epa_per_carry,>=,5.700000000000003,True,97,0.3711340206185567,0.30752577319587626,11,0.18181818181818182,-0.3581818181818182,0.8989473684210527,0.21818181818181814,13,0.23076923076923078,-0.09076923076923081,0.40857142857142853,0.13508442776735452,7,0.14285714285714285,-0.4342857142857143,0.498421052631579,0.20329670329670335,0.7307692307692307,10.467268905809329
CO001,COACH,opp_coachq_hc_recent_quality,<=,0.5384615384615384,True,93,0.3655913978494624,0.36913978494623656,14,0.21428571428571427,-0.2585714285714286,0.7671428571428571,0.1071428571428571,14,0.21428571428571427,-0.1585714285714286,0.7265217391304348,0.1640926640926641,10,0.3,0.06000000000000001,0.6733333333333333,0.09285714285714275,0.6428571428571429,10.461336405529956
CO017,COACH,coachq_hc_quality_delta_vs_departed,<=,0.017032967032967083,True,146,0.4726027397260274,0.18308219178082194,14,0.35714285714285715,-0.08071428571428571,0.2642307692307693,0.09285714285714275,23,0.391304347826087,-0.053043478260869574,0.3553125000000001,0.08142292490118574,24,0.375,-0.07749999999999999,0.47037037037037027,0.11519607843137258,0.5294117647058824,10.45542543349151
CO018,CONTEXT,rank_edge_sack_rate_allowed,>=,18.200000000000003,True,132,0.696969696969697,0.16232538482666328,9,0.3333333333333333,-0.41185713489719733,0.2982151838910292,0.3555555555555556,6,0.3333333333333333,-0.4130015432098766,0.2753385283840991,0.3666666666666667,7,0.42857142857142855,-0.2850747136461422,0.237748517021004,0.2735562310030395,0.851063829787234,10.434085746176105
CO061,COACH,adv_staff_downgrade_count,<=,-1.0,True,97,0.3711340206185567,0.30752577319587626,7,0.2857142857142857,0.008571428571428516,0.568695652173913,0.11428571428571432,6,0.0,-1.0,0.4645714285714285,0.36585365853658536,6,0.16666666666666666,-0.5066666666666667,0.4734999999999999,0.17948717948717952,0.7692307692307693,10.42238448321438
CO001,COACH,opp_coachq_hc_recent_quality,<=,0.46153846153846156,True,93,0.3655913978494624,0.36913978494623656,10,0.2,-0.335,0.5816666666666667,0.12142857142857144,9,0.2222222222222222,-0.027777777777777776,0.5264285714285715,0.1561561561561562,7,0.2857142857142857,0.0,0.6057142857142858,0.1071428571428571,0.75,10.418717357910905
CO005,COACH,opp_coachq_dc_quality_delta_vs_departed,>=,0.05110119047619051,True,158,0.5063291139240507,0.2689873417721519,13,0.3076923076923077,-0.21769230769230768,0.29793103448275865,0.17118093174431204,8,0.375,-0.12125,0.2753488372093023,0.11519607843137258,4,0.5,0.24000000000000005,0.5068750000000001,0.08333333333333337,0.8888888888888888,10.41010988045007
CO005,COACH,adv_hc_quality_delta_vs_departed,<=,0.011799242424242434,True,158,0.5063291139240507,0.2689873417721519,13,0.38461538461538464,-0.036923076923076906,0.25741379310344825,0.09425785482123517,17,0.23529411764705882,-0.4505882352941177,0.545,0.2549019607843137,6,0.5,0.30666666666666664,0.5113333333333333,0.08333333333333337,0.8333333333333334,10.40901265822785
CO005,CONTEXT,prior_road_miles_last3,>=,1375.378719621327,True,158,0.5063291139240507,0.2689873417721519,26,0.38461538461538464,-0.03769230769230769,0.3428888888888889,0.09425785482123517,16,0.375,-0.09,0.3517142857142858,0.11519607843137258,15,0.5333333333333333,0.3486666666666666,0.569047619047619,0.050000000000000044,0.5833333333333334,10.408393610608801
CO061,CONTEXT,recent_edge_def_allowed_explosive_rate,<=,-0.033730461371670864,True,97,0.3711340206185567,0.30752577319587626,11,0.18181818181818182,-0.3054545454545454,0.868421052631579,0.21818181818181814,11,0.2727272727272727,-0.10272727272727274,0.37966666666666665,0.09312638580931265,6,0.16666666666666666,-0.45999999999999996,0.4595000000000001,0.17948717948717952,0.7692307692307693,10.408384483214379
CO017,CONTEXT,recent_edge_def_allowed_sack_or_hit_rate,<=,-0.001363829063747632,True,146,0.4726027397260274,0.18308219178082194,14,0.35714285714285715,-0.09285714285714287,0.2707692307692308,0.09285714285714275,32,0.375,-0.07531249999999999,0.5460869565217391,0.09772727272727266,19,0.3684210526315789,-0.10894736842105264,0.4034375,0.1217750257997936,0.6274509803921569,10.404875432058187
CO043,CONTEXT,rank_edge_def_allowed_early_down_epa,<=,-9.8,True,94,0.3723404255319149,0.35670212765957443,6,0.0,-1.0,0.5304761904761904,0.33333333333333326,11,0.2727272727272727,-0.1581818181818182,0.7573333333333334,0.14190687361419063,9,0.2222222222222222,-0.25222222222222224,0.5694117647058823,0.12393162393162394,0.6538461538461539,10.402025876362547
CO026,CONTEXT,rest_edge,<=,-3.0,True,109,0.5596330275229358,0.405045871559633,8,0.375,-0.06874999999999998,0.48840000000000006,0.17045454545454541,4,0.5,0.405,0.5223684210526317,0.09523809523809523,4,0.25,-0.44,0.42600000000000005,0.27941176470588236,0.8823529411764706,10.388601187263896
CO026,CONTEXT,rest_days_edge,<=,-3.0,True,109,0.5596330275229358,0.405045871559633,8,0.375,-0.06874999999999998,0.48840000000000006,0.17045454545454541,4,0.5,0.405,0.5223684210526317,0.09523809523809523,4,0.25,-0.44,0.42600000000000005,0.27941176470588236,0.8823529411764706,10.388601187263896
CO017,COACH,opp_coachq_dc_prior_win_pct,<=,0.6000000000000001,True,146,0.4726027397260274,0.18308219178082194,26,0.34615384615384615,-0.12038461538461537,0.6335714285714287,0.10384615384615381,29,0.3103448275862069,-0.21689655172413796,0.6323076923076922,0.1623824451410658,25,0.4,-0.01039999999999999,0.4269230769230769,0.09019607843137256,0.5098039215686274,10.38501735573049
CO043,CONTEXT,recent_edge_def_allowed_early_down_epa,<=,-0.1471129673249381,True,94,0.3723404255319149,0.35670212765957443,6,0.0,-1.0,0.5304761904761904,0.33333333333333326,5,0.0,-1.0,0.7216666666666668,0.41463414634146334,6,0.16666666666666666,-0.37833333333333335,0.484,0.17948717948717952,0.7692307692307693,10.383708128750682
CO026,COACH,adv_dc_prior_win_pct,>=,0.0,True,109,0.5596330275229358,0.405045871559633,13,0.38461538461538464,-0.04538461538461539,0.6125,0.16083916083916083,13,0.46153846153846156,0.15923076923076926,0.6689655172413794,0.13369963369963367,9,0.3333333333333333,-0.21666666666666667,0.5187999999999999,0.1960784313725491,0.7352941176470589,10.38336197157762
CO001,COACH,adv_dc_tenure_seasons,>=,0.0,True,93,0.3655913978494624,0.36913978494623656,15,0.13333333333333333,-0.35333333333333333,0.9553846153846154,0.1880952380952381,12,0.25,0.01999999999999998,0.57,0.1283783783783784,10,0.3,0.20099999999999998,0.5950000000000002,0.09285714285714275,0.6428571428571429,10.383003072196622
