family,rule,n,wins,losses,win_rate,roi,profit,old_n,old_roi,new_n,new_roi,b1,b2,b3,b4,pos_blocks,min_block,avg_line,avg_market
DEF_RUSH_EPA vs WEAK,week>=11 p>=0.52 ANY favRank<=5 oppRank >=18,159,125,34,0.7861635220125787,0.11204917054163124,1781.5818116119367,78,0.051622209467739884,81,0.1702380960201933,-0.0839216206709598,0.15636062366582595,0.2070500246670021,0.1422290198758823,3,-0.0839216206709598,-314.23899371069183,0.6859745628828892
SCORING vs ELITE,week>=6 p>=0.60 ANY favRank<=12 oppRank <=5,101,78,23,0.7722772277227723,0.11030770751121133,1114.1078458632344,58,0.08205507669724187,43,0.14841590721377476,0.05083171623988882,0.11550867718726301,0.19999916525588937,0.11127596142345228,4,0.05083171623988882,-244.92079207920793,0.6780821706312883
PASS_EPA vs ELITE,week>=11 p>=0.55 ANY favRank<=8 oppRank <=8,104,78,26,0.75,0.11010152964895913,1145.0559083491748,53,0.015224201190879291,51,0.20869953765441462,-0.07773140353680731,0.10473700574346637,0.1942566345717,0.22628220227684975,3,-0.07773140353680731,-235.73076923076923,0.6606435079439901
POINTS_ALLOWED vs WEAK,week>=6 p>=0.52 ANY favRank<=5 oppRank >=25,135,115,20,0.8518518518518519,0.10895843361304444,1470.9388537761,47,0.21560632886517217,88,0.0519987622852035,0.15346004511181213,0.27516318412880886,0.12928236126026574,0.00333871848609026,4,0.00333871848609026,-499.68888888888887,0.7551703338049481
SCORING vs ELITE,week>=5 p>=0.60 ANY favRank<=12 oppRank <=5,105,81,24,0.7714285714285715,0.10887197330422997,1143.1557196944148,60,0.09156862718660462,45,0.1319431014610638,0.05083171623988882,0.1323055381333204,0.1368413144529478,0.1283636381208409,4,0.05083171623988882,-245.26666666666668,0.6780118476320052
POINTS_ALLOWED vs WEAK,week>=4 p>=0.52 ANY favRank<=8 oppRank >=28,101,86,15,0.8514851485148515,0.10769842950630128,1087.754138013643,27,0.1027380357589579,74,0.10950830290060223,0.032820204722063845,0.2044366990853492,0.16207242066744126,0.07931189482177983,4,0.032820204722063845,-509.61386138613864,0.7556477641491874
DEF_RUSH_EPA vs WEAK,week>=9 p>=0.60 ANY favRank<=5 oppRank >=18,153,126,27,0.8235294117647058,0.10764819326195305,1647.0173569078815,75,0.07366032912457857,78,0.1403288318555824,-0.04952953466771921,0.20017964869504654,0.1749312975482285,0.11359056291126489,3,-0.04952953466771921,-367.4901960784314,0.7266805524426531
POINTS_ALLOWED vs WEAK,week>=4 p>=0.52 ANY favRank<=10 oppRank >=28,119,101,18,0.8487394957983193,0.10713720410756875,1274.932728880068,30,0.1249950609365141,89,0.10111770180567703,0.03793433850558457,0.23884369796157578,0.2005883952620773,0.04527450547927686,4,0.03793433850558457,-500.3613445378151,0.7514072775416771
DEF_PASS_EPA vs ELITE,week>=11 p>=0.52 ANY favRank<=5 oppRank <=10,103,78,25,0.7572815533980582,0.10677329227049609,1099.7649103861097,56,0.09434986996197764,47,0.12157566778702875,0.1166027677009131,0.0736316548257274,0.13262229026543765,0.11265339578523692,4,0.0736316548257274,-271.1067961165049,0.670531201843857
DEF_RUSH_EPA vs WEAK,week>=7 p>=0.65 ANY favRank<=5 oppRank >=18,136,116,20,0.8529411764705882,0.10668976565427256,1450.9808128981067,73,0.09970421871190353,63,0.11478412957162076,0.012576614396223061,0.17566161734608648,0.22839280659781622,0.02389718795066448,4,0.012576614396223061,-410.91911764705884,0.7529298885641851
