method_id,feature,op,threshold,pre_score,holdout_base_n,holdout_base_roi,removed_wins,removed_losses,safe_n,safe_roi,roi_change,loss_rate_change,confirmed
NFL-H010,adv_dc_prior_win_pct,<=,-0.10424710424710423,0.5046084850720967,40,0.32175,3,5,32,0.43125,0.10950000000000004,-0.043749999999999956,True
NFL-H020,oc_prior_games,>=,34.5,1.2763854641293668,34,0.26676470588235296,5,7,22,0.3704545454545455,0.10368983957219252,-0.045454545454545414,True
NFL-H066,adv_dc_changed_season,<=,-1.0,0.47813580970495867,29,0.2524137931034483,2,5,22,0.35318181818181815,0.10076802507836985,-0.029780564263322984,True
NFL-H081,adv_dc_prior_role_seasons,>=,1.0,0.9636923076923081,38,0.15868421052631582,4,7,27,0.2559259259259259,0.09724171539961007,-0.04483430799220278,True
NFL-H044,adv_oc_prior_role_seasons,>=,1.0,0.7613464901111959,40,0.16025000000000006,6,9,25,0.25720000000000004,0.09694999999999998,-0.04500000000000004,True
NFL-H035,oc_tenure_seasons,>=,3.0,0.3939692982456141,52,0.15423076923076923,4,7,41,0.2502439024390244,0.09601313320825516,-0.031425891181988685,True
NFL-H006,oc_prior_games,>=,64.44999999999997,0.9539796625879895,76,0.2681578947368421,2,7,67,0.3631343283582089,0.09497643362136682,-0.03908091123330715,True
NFL-H014,adv_dc_tenure_seasons,>=,1.25,1.0955921583590205,40,0.33275,3,5,32,0.42750000000000005,0.09475000000000006,-0.043749999999999956,True
NFL-H091,oc_prior_role_seasons,>=,3.0,1.0603242988895163,37,0.12810810810810808,2,5,30,0.22033333333333333,0.09222522522522525,-0.04054054054054057,True
NFL-H020,oc_tenure_seasons,>=,2.75,1.6644846810044456,34,0.26676470588235296,2,4,28,0.3553571428571428,0.08859243697478986,-0.0357142857142857,True
NFL-H005,adv_oc_prior_win_pct,<=,-0.11158824741493509,0.5406082870264983,41,0.3602439024390244,5,6,30,0.4476666666666667,0.08742276422764234,-0.03902439024390236,True
NFL-H091,dc_prior_games,>=,52.40000000000001,1.1193086913086912,37,0.12810810810810808,4,7,26,0.21538461538461534,0.08727650727650726,-0.04054054054054057,True
NFL-H009,adv_hc_prior_games_current_stint,<=,-13.0,0.5271282818532589,92,0.19532608695652173,20,24,48,0.2810416666666667,0.08571557971014496,-0.04166666666666663,True
NFL-H058,oc_tenure_seasons,>=,3.0,0.4979687032790985,130,0.13838461538461538,9,19,102,0.21970588235294117,0.08132126696832578,-0.036349924585218796,True
NFL-H058,oc_tenure_seasons,>=,2.5,0.4979687032790985,130,0.13838461538461538,9,19,102,0.21970588235294117,0.08132126696832578,-0.036349924585218796,True
