event_date,year,fighter_1,fighter_2,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,favorite_decimal_odds,won,profit,snapshot_mode,source_dataset,fight_key
2024-10-26,2024,Ilia Topuria,Max Holloway,Ilia Topuria,Max Holloway,27.762377050863467,32.89595268896692,5.133575638103455,0.7220792588780237,1.3278688524590163,True,16.393442622950815,historical_import_fallback,exact_id_ufcstats_mirror,2024-10-26|ilia topuria|max holloway
2024-10-26,2024,Farid Basharat,Victor Hugo,Farid Basharat,Victor Hugo,27.23396099851469,31.926733608492988,4.692772609978302,0.8172588832487311,1.1739130434782608,True,8.695652173913038,historical_import_fallback,exact_id_ufcstats_mirror,2024-10-26|farid basharat|victor hugo
2024-10-26,2024,Kennedy Nzechukwu,Chris Barnett,Kennedy Nzechukwu,Chris Barnett,32.37027454362512,38.36902879593695,5.9987542523118265,0.8524590163934427,1.125,True,6.25,historical_import_fallback,exact_id_ufcstats_mirror,2024-10-26|chris barnett|kennedy nzechukwu
2024-11-09,2024,Neil Magny,Carlos Prates,Carlos Prates,Neil Magny,31.231305228717908,37.27112808613455,6.039822857416645,0.8524590163934426,1.125,True,6.25,historical_import_fallback,exact_id_ufcstats_mirror,2024-11-09|carlos prates|neil magny
2024-11-16,2024,Viviane Araujo,Karine Silva,Karine Silva,Viviane Araujo,30.95751452801905,37.98845972196554,7.030945193946486,0.7135512302607419,1.3448275862068966,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2024-11-16|karine silva|viviane araujo
2024-11-16,2024,Jon Jones,Stipe Miocic,Jon Jones,Stipe Miocic,37.3313620402883,42.24590511783267,4.914543077544373,0.8118668596237336,1.181818181818182,True,9.090909090909104,historical_import_fallback,exact_id_ufcstats_mirror,2024-11-16|jon jones|stipe miocic
2024-11-16,2024,Bo Nickal,Paul Craig,Bo Nickal,Paul Craig,28.84111241161694,36.9726962223728,8.131583810755863,0.8933823529411764,1.074074074074074,True,3.703703703703698,historical_import_fallback,exact_id_ufcstats_mirror,2024-11-16|bo nickal|paul craig
2024-11-16,2024,Bassil Hafez,Oban Elliott,Oban Elliott,Bassil Hafez,26.91088797169004,32.794650129708344,5.883762158018303,0.725752508361204,1.3225806451612905,True,16.129032258064523,historical_import_fallback,exact_id_ufcstats_mirror,2024-11-16|bassil hafez|oban elliott
2024-11-23,2024,Shi Ming,Feng Xiaocan,Feng Xiaocan,Shi Ming,22.90806792747284,30.02662614564296,7.118558218170119,0.7994561522773623,1.2040816326530612,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2024-11-23|feng xiaocan|shi ming
2024-11-23,2024,Petr Yan,Deiveson Figueiredo,Petr Yan,Deiveson Figueiredo,31.7816245371226,36.934365524274966,5.15274098715237,0.7220792588780237,1.3278688524590163,True,16.393442622950815,historical_import_fallback,exact_id_ufcstats_mirror,2024-11-23|deiveson figueiredo|petr yan
2024-12-07,2024,Clay Guida,Chase Hooper,Chase Hooper,Clay Guida,25.235288883413077,42.998829544754514,17.76354066134144,0.88,1.0909090909090908,True,4.545454545454541,historical_import_fallback,exact_id_ufcstats_mirror,2024-12-07|chase hooper|clay guida
2024-12-07,2024,Bryce Mitchell,Kron Gracie,Bryce Mitchell,Kron Gracie,30.17721103102733,36.40868737893317,6.231476347905844,0.8677165354330708,1.1052631578947367,True,5.263157894736836,historical_import_fallback,exact_id_ufcstats_mirror,2024-12-07|bryce mitchell|kron gracie
2025-03-08,2025,King Green,Mauricio Ruffy,Mauricio Ruffy,King Green,28.723382410316432,38.494972518258415,9.771590107941982,0.7880910683012259,1.21,True,10.499999999999998,historical_import_fallback,exact_id_ufcstats_mirror,2025-03-08|king green|mauricio ruffy
2025-03-15,2025,Da'Mon Blackshear,Cody Gibson,Da'Mon Blackshear,Cody Gibson,30.590634989082595,37.50932599574256,6.918691006659962,0.7867132867132867,1.22,True,10.999999999999998,historical_import_fallback,exact_id_ufcstats_mirror,2025-03-15|cody gibson|da mon blackshear
2025-03-15,2025,Carlos Vera,Josias Musasa,Josias Musasa,Carlos Vera,25.42968028090926,37.35874111035819,11.929060829448929,0.8380681818181819,1.14,False,-50.0,historical_import_fallback,exact_id_ufcstats_mirror,2025-03-15|carlos vera|josias musasa
2025-03-15,2025,Daniel Barez,Andre Lima,Andre Lima,Daniel Barez,26.10868121864241,36.26084040055579,10.152159181913383,0.7677902621722846,1.24,True,12.0,historical_import_fallback,exact_id_ufcstats_mirror,2025-03-15|andre lima|daniel barez
2025-03-29,2025,Rafa Garcia,Vinc Pichel,Rafa Garcia,Vinc Pichel,30.648131036229355,42.34720767709125,11.699076640861891,0.7948717948717949,1.2,True,9.999999999999998,historical_import_fallback,exact_id_ufcstats_mirror,2025-03-29|rafa garcia|vinc pichel
2025-03-29,2025,David Martinez,Saimon Oliveira,David Martinez,Saimon Oliveira,26.65352471303312,33.93909525862954,7.285570545596421,0.778175313059034,1.24,True,12.0,historical_import_fallback,exact_id_ufcstats_mirror,2025-03-29|david martinez|saimon oliveira
2025-04-05,2025,Josh Emmett,Lerone Murphy,Lerone Murphy,Josh Emmett,33.706373163035515,40.08843439632573,6.382061233290216,0.7261410788381744,1.32,True,16.000000000000004,historical_import_fallback,exact_id_ufcstats_mirror,2025-04-05|josh emmett|lerone murphy
2025-04-12,2025,Jim Miller,Chase Hooper,Chase Hooper,Jim Miller,25.580265166293625,41.61892441323231,16.038659246938682,0.8519003931847968,1.13,True,6.499999999999995,historical_import_fallback,exact_id_ufcstats_mirror,2025-04-12|chase hooper|jim miller
2025-04-12,2025,Darren Elkins,Julian Erosa,Julian Erosa,Darren Elkins,35.69956946412315,40.90706859141529,5.207499127292138,0.7592592592592592,1.3,True,15.000000000000002,historical_import_fallback,exact_id_ufcstats_mirror,2025-04-12|darren elkins|julian erosa
2025-04-26,2025,Chelsea Chandler,Joselyne Edwards,Joselyne Edwards,Chelsea Chandler,29.57487148948986,34.4237047988665,4.848833309376644,0.7203389830508475,1.32,True,16.000000000000004,historical_import_fallback,exact_id_ufcstats_mirror,2025-04-26|chelsea chandler|joselyne edwards
