method,condition,era,risk_n,risk_wins,risk_losses,risk_win_pct,risk_roi,safe_n,safe_win_pct,safe_roi,roi_gap_safe_minus_risk
stricter,prior_current_negative_margin,holdout,5,4,1,0.8,0.09006085767020773,18,0.8333333333333334,0.1330127413085519,0.042951883638344165
stricter,prior_current_negative_margin,full,19,15,4,0.7894736842105263,0.0808375877028471,45,0.8888888888888888,0.20999007853109417,0.12915249082824706
stricter,prior_current_positive_margin,train,5,5,0,1.0,0.27267331322915467,15,0.8,-0.021783372922335748,-0.2944566861514904
stricter,prior_current_positive_margin,validation,4,4,0,1.0,0.4456535751894164,17,0.8823529411764706,0.3130413997223505,-0.13261217546706588
stricter,prior_current_positive_margin,holdout,9,6,3,0.6666666666666666,-0.07023945290547065,14,0.9285714285714286,0.24833490771815767,0.3185743606236283
stricter,prior_current_positive_margin,full,18,15,3,0.8333333333333334,0.13965698837523352,46,0.8695652173913043,0.18416612846737232,0.0445091400921388
stricter,prior_current_loss_and_2plus_staff_changes,train,0,0,0,,,20,0.85,0.051830798615536855,
stricter,prior_current_loss_and_2plus_staff_changes,validation,0,0,0,,,21,0.9047619047619048,0.3383008617160773,
stricter,prior_current_loss_and_2plus_staff_changes,holdout,0,0,0,,,23,0.8260869565217391,0.1236753753002162,
stricter,prior_current_loss_and_2plus_staff_changes,full,0,0,0,,,64,0.859375,0.17164793281645835,
stricter,prior_current_passing_epa_negative,train,6,4,2,0.6666666666666666,-0.22294574438970993,14,0.9285714285714286,0.16959217418921405,0.39253791857892395
stricter,prior_current_passing_epa_negative,validation,4,4,0,1.0,0.5261057692307692,17,0.8823529411764706,0.29411147171262036,-0.23199429751814887
stricter,prior_current_passing_epa_negative,holdout,6,3,3,0.5,-0.27680113712667875,17,0.9411764705882353,0.2650200267450026,0.5418211638716813
stricter,prior_current_passing_epa_negative,full,16,11,5,0.6875,-0.05587863826095346,48,0.9166666666666666,0.24749012317559557,0.303368761436549
stricter,prior_current_passing_epa_positive,train,7,6,1,0.8571428571428571,0.09331737694422022,13,0.8461538461538461,0.02949187182316889,-0.06382550512105134
stricter,prior_current_passing_epa_positive,validation,6,6,0,1.0,0.46860341595202276,15,0.8666666666666667,0.2861798400216992,-0.18242357593032354
stricter,prior_current_passing_epa_positive,holdout,8,7,1,0.875,0.18486950437023442,15,0.8,0.09103850646287315,-0.09383099790736127
stricter,prior_current_passing_epa_positive,full,21,19,2,0.9047619047619048,0.23541896044207394,43,0.8372093023255814,0.14050394258069254,-0.0949150178613814
stricter,prior_current_rushing_epa_negative,train,8,6,2,0.75,-0.10719604569281295,12,0.9166666666666666,0.1578486948211034,0.26504474051391635
stricter,prior_current_rushing_epa_negative,validation,5,5,0,1.0,0.6694476721816083,16,0.875,0.23481748344559888,-0.4346301887360094
stricter,prior_current_rushing_epa_negative,holdout,5,4,1,0.8,0.12505323503546642,18,0.8333333333333334,0.12329263648486886,-0.0017605985505975558
stricter,prior_current_rushing_epa_negative,full,18,15,3,0.8333333333333334,0.1730520094746039,46,0.8695652173913043,0.17109851151544483,-0.0019534979591590562
stricter,prior_current_rushing_epa_positive,train,5,4,1,0.8,0.034623107562757105,15,0.8666666666666667,0.05756669563313011,0.022943588070373007
stricter,prior_current_rushing_epa_positive,validation,5,5,0,1.0,0.31376104234543434,16,0.875,0.3459695552694033,0.03220851292396898
stricter,prior_current_rushing_epa_positive,holdout,9,6,3,0.6666666666666666,-0.08967966255283659,14,0.9285714285714286,0.26083218534860725,0.35051184790144385
