match_id,date,season,outcome,odds,market_prob,profit,method_id
MLS:20131005:COLORADORAPI:SEATTLESOUND:3894,2013-10-05 00:00:00+00:00,2013,AWAY,3.49,0.2797177609612551,-1.0,MLS-A05
MLS:20131009:HOUSTONDYNAM:SPORTINGKANS:3901,2013-10-09 00:00:00+00:00,2013,AWAY,3.59,0.27148168446623516,-1.0,MLS-A05
MLS:20131013:PORTLANDTIMB:SEATTLESOUND:3907,2013-10-13 00:00:00+00:00,2013,AWAY,3.77,0.25907741453844685,-1.0,MLS-A05
MLS:20131019:COLORADORAPI:VANCOUVERWHI:3912,2013-10-19 00:00:00+00:00,2013,AWAY,4.59,0.21148965384412272,-1.0,MLS-A06
MLS:20131020:LAGALAXY:SANJOSEEARTH:3917,2013-10-20 00:00:00+00:00,2013,HOME,1.76,0.554623854424574,-1.0,MLS-A02
MLS:20131027:VANCOUVERWHI:COLORADORAPI:3927,2013-10-27 00:00:00+00:00,2013,AWAY,2.94,0.33179282868525894,-1.0,MLS-A05
MLS:20140322:COLUMBUSCREW:PHILADELPHIA:3960,2014-03-22 00:00:00+00:00,2014,AWAY,3.63,0.2678520341019626,-1.0,MLS-A05
MLS:20140322:NEWENGLANDRE:VANCOUVERWHI:3962,2014-03-22 00:00:00+00:00,2014,AWAY,3.47,0.28145280572649417,-1.0,MLS-A05
MLS:20140323:CFMONTRÉAL:SEATTLESOUND:3966,2014-03-23 00:00:00+00:00,2014,AWAY,3.36,0.290682784408134,2.36,MLS-A05
MLS:20140329:COLORADORAPI:SPORTINGKANS:3968,2014-03-29 00:00:00+00:00,2014,AWAY,2.83,0.3430179387970454,1.83,MLS-A05
MLS:20140329:DCUNITED:CHICAGOFIREF:3969,2014-03-29 00:00:00+00:00,2014,AWAY,2.79,0.3474901224927448,-1.0,MLS-A05
MLS:20140329:PHILADELPHIA:CFMONTRÉAL:3971,2014-03-29 00:00:00+00:00,2014,AWAY,3.88,0.2510329859903449,-1.0,MLS-A05
