season,team,head_coach_espn,offensive_coordinator,defensive_coordinator,staff_source,staff_page,pdf_page
2023,NYJ,Robert Saleh,Nathaniel Hackett,Jeff Ulbrich,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,26
2023,PHI,Nick Sirianni,Brian Johnson,Sean Desai,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,27
2023,PIT,Mike Tomlin,Matt Canada,Teryl Austin,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,28
2023,SEA,Pete Carroll,Shane Waldron,Clint Hurtt,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,29
2023,SF,Kyle Shanahan,Kyle Shanahan,Steve Wilks,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,30
2023,TB,Todd Bowles,Dave Canales,Kacy Rodgers/Larry Foote,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,31
2023,TEN,Mike Vrabel,Tim Kelly,Shane Bowen,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,32
2023,WAS,Ron Rivera,Eric Bieniemy,Jack Del Rio,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/23/NFLDK2023_CS_ClayProjections2023.pdf,33
2024,ARI,Jonathan Gannon,Drew Petzing,Nick Rallis,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,2
2024,ATL,Raheem Morris,Zac Robinson,Jimmy Lake,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,3
2024,BAL,John Harbaugh,Todd Monken,Zach Orr,espn_mike_clay_projection_guide_team_page,https://g.espncdn.com/s/ffldraftkit/24/NFLDK2024_CS_ClayProjections2024.pdf,4
