result,player1,player2,player1_url,player2_url,weightclass,method,round,time,time_format,referee,details,player1_nickname,player2_nickname,event_date,event_location,event_url,p1_rd1_KD,p1_rd2_KD,p1_rd3_KD,p1_rd4_KD,p1_rd5_KD,p1_rd1_Sig_str,p1_rd2_Sig_str,p1_rd3_Sig_str,p1_rd4_Sig_str,p1_rd5_Sig_str,p1_rd1_Total_str,p1_rd2_Total_str,p1_rd3_Total_str,p1_rd4_Total_str,p1_rd5_Total_str,p1_rd1_Td,p1_rd2_Td,p1_rd3_Td,p1_rd4_Td,p1_rd5_Td,p1_rd1_Sub_att,p1_rd2_Sub_att,p1_rd3_Sub_att,p1_rd4_Sub_att,p1_rd5_Sub_att,p1_rd1_Rev,p1_rd2_Rev,p1_rd3_Rev,p1_rd4_Rev,p1_rd5_Rev,p1_rd1_Ctrl,p1_rd2_Ctrl,p1_rd3_Ctrl,p1_rd4_Ctrl,p1_rd5_Ctrl,p2_rd1_KD,p2_rd2_KD,p2_rd3_KD,p2_rd4_KD,p2_rd5_KD,p2_rd1_Sig_str,p2_rd2_Sig_str,p2_rd3_Sig_str,p2_rd4_Sig_str,p2_rd5_Sig_str,p2_rd1_Total_str,p2_rd2_Total_str,p2_rd3_Total_str,p2_rd4_Total_str,p2_rd5_Total_str,p2_rd1_Td,p2_rd2_Td,p2_rd3_Td,p2_rd4_Td,p2_rd5_Td,p2_rd1_Sub_att,p2_rd2_Sub_att,p2_rd3_Sub_att,p2_rd4_Sub_att,p2_rd5_Sub_att,p2_rd1_Rev,p2_rd2_Rev,p2_rd3_Rev,p2_rd4_Rev,p2_rd5_Rev,p2_rd1_Ctrl,p2_rd2_Ctrl,p2_rd3_Ctrl,p2_rd4_Ctrl,p2_rd5_Ctrl,p1_rd1_Head,p1_rd2_Head,p1_rd3_Head,p1_rd4_Head,p1_rd5_Head,p1_rd1_Body,p1_rd2_Body,p1_rd3_Body,p1_rd4_Body,p1_rd5_Body,p1_rd1_Leg,p1_rd2_Leg,p1_rd3_Leg,p1_rd4_Leg,p1_rd5_Leg,p1_rd1_Distance,p1_rd2_Distance,p1_rd3_Distance,p1_rd4_Distance,p1_rd5_Distance,p1_rd1_Clinch,p1_rd2_Clinch,p1_rd3_Clinch,p1_rd4_Clinch,p1_rd5_Clinch,p1_rd1_Ground,p1_rd2_Ground,p1_rd3_Ground,p1_rd4_Ground,p1_rd5_Ground,p2_rd1_Head,p2_rd2_Head,p2_rd3_Head,p2_rd4_Head,p2_rd5_Head,p2_rd1_Body,p2_rd2_Body,p2_rd3_Body,p2_rd4_Body,p2_rd5_Body,p2_rd1_Leg,p2_rd2_Leg,p2_rd3_Leg,p2_rd4_Leg,p2_rd5_Leg,p2_rd1_Distance,p2_rd2_Distance,p2_rd3_Distance,p2_rd4_Distance,p2_rd5_Distance,p2_rd1_Clinch,p2_rd2_Clinch,p2_rd3_Clinch,p2_rd4_Clinch,p2_rd5_Clinch,p2_rd1_Ground,p2_rd2_Ground,p2_rd3_Ground,p2_rd4_Ground,p2_rd5_Ground,division,result_norm,h1,h2,height_diff,height_gap,taller_is_p1,p1_won,taller_won,shorter_won,p1_norm,p2_norm,pair_key,market_prob,market_fav_is_p1,market_fav_taller,market_fav_won
W,Vladimir Matyushenko,Alexandre Ferreira,http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,http://ufcstats.com/fighter-details/28ba5f27e473420c,Light Heavyweight Bout,KO/TKO,1,2:20,3 Rnd (5-5-5),Kevin Mulhall,Elbows to Head From Mount,The Janitor,Cacareco,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",http://ufcstats.com/event-details/0ff11cc094e887bc,0,,,,,19 of 33,,,,,33 of 48,,,,,2 of 2,,,,,0,,,,,0,,,,,0:38,,,,,0,,,,,6 of 10,,,,,9 of 13,,,,,0 of 3,,,,,0,,,,,0,,,,,0:00,,,,,19 of 32,,,,,0 of 1,,,,,0 of 0,,,,,3 of 9,,,,,0 of 1,,,,,16 of 23,,,,,1 of 3,,,,,3 of 5,,,,,2 of 2,,,,,3 of 5,,,,,3 of 5,,,,,0 of 0,,,,,Light Heavyweight,W,72.0,67.0,5.0,5.0,True,True,True,False,vladimir matyushenko,alexandre ferreira,http://ufcstats.com/fighter-details/28ba5f27e473420c|http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,0.6581196581196581,True,True,True
W,Amir Sadollah,Peter Sobotta,http://ufcstats.com/fighter-details/2650e2f846a30f64,http://ufcstats.com/fighter-details/1fcfc3709fe58151,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,Richard Bertrand 27 - 30. Paul Sutherland 27 - 30. Howard Hughes 27 - 30.,--,--,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",http://ufcstats.com/event-details/0ff11cc094e887bc,0,0.0,0.0,,,21 of 52,32 of 82,37 of 75,,,31 of 62,33 of 83,40 of 78,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:21,0:26,0:00,,,0,0.0,0.0,,,11 of 35,9 of 47,14 of 44,,,12 of 36,9 of 47,14 of 44,,,0 of 3,0 of 1,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,2:35,0:07,0:42,,,5 of 32,9 of 54,13 of 42,,,4 of 7,4 of 6,6 of 14,,,12 of 13,19 of 22,18 of 19,,,13 of 42,29 of 77,33 of 70,,,8 of 10,1 of 3,4 of 5,,,0 of 0,2 of 2,0 of 0,,,10 of 34,5 of 41,10 of 35,,,0 of 0,2 of 3,2 of 7,,,1 of 1,2 of 3,2 of 2,,,8 of 29,9 of 46,14 of 43,,,3 of 6,0 of 1,0 of 1,,,0 of 0,0 of 0,0 of 0,,,Welterweight,W,70.0,72.0,-2.0,2.0,False,True,False,True,amir sadollah,peter sobotta,http://ufcstats.com/fighter-details/1fcfc3709fe58151|http://ufcstats.com/fighter-details/2650e2f846a30f64,0.7146765683017393,True,False,True
W,Dennis Siver,Andre Winner,http://ufcstats.com/fighter-details/5f87a5c00b3d17ed,http://ufcstats.com/fighter-details/b45d6b73f4ca4467,Lightweight Bout,Submission,1,3:37,3 Rnd (5-5-5),Kevin Mulhall,Rear Naked Choke,--,--,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",http://ufcstats.com/event-details/0ff11cc094e887bc,1,,,,,30 of 71,,,,,37 of 81,,,,,0 of 1,,,,,1,,,,,0,,,,,0:35,,,,,0,,,,,13 of 44,,,,,13 of 44,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,15 of 52,,,,,4 of 6,,,,,11 of 13,,,,,25 of 61,,,,,1 of 3,,,,,4 of 7,,,,,2 of 27,,,,,5 of 7,,,,,6 of 10,,,,,13 of 44,,,,,0 of 0,,,,,0 of 0,,,,,Lightweight,W,66.0,71.0,-5.0,5.0,False,True,False,True,dennis siver,andre winner,http://ufcstats.com/fighter-details/5f87a5c00b3d17ed|http://ufcstats.com/fighter-details/b45d6b73f4ca4467,0.5230171935662784,False,True,False
L,Nate Marquardt,Yushin Okami,http://ufcstats.com/fighter-details/a8e6a69796280f17,http://ufcstats.com/fighter-details/acff437707625fc7,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,Richard Bertrand 28 - 29. Paul Sutherland 28 - 29. Chris Lee 27 - 30.,The Great,Thunder,2010-11-13,"Oberhausen, North Rhine-Westphalia, Germany",http://ufcstats.com/event-details/0ff11cc094e887bc,0,0.0,0.0,,,2 of 9,6 of 17,13 of 35,,,5 of 13,8 of 19,14 of 36,,,0 of 0,2 of 3,1 of 1,,,2,0.0,0.0,,,0,0.0,0.0,,,1:32,0:52,0:28,,,0,0.0,0.0,,,3 of 5,6 of 19,16 of 59,,,14 of 16,7 of 20,19 of 62,,,1 of 4,0 of 5,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,2:25,1:40,0:04,,,0 of 6,4 of 13,8 of 27,,,1 of 2,1 of 3,3 of 5,,,1 of 1,1 of 1,2 of 3,,,1 of 6,4 of 12,11 of 33,,,1 of 2,2 of 4,2 of 2,,,0 of 1,0 of 1,0 of 0,,,3 of 5,5 of 17,15 of 58,,,0 of 0,1 of 2,1 of 1,,,0 of 0,0 of 0,0 of 0,,,2 of 4,5 of 18,15 of 58,,,0 of 0,1 of 1,1 of 1,,,1 of 1,0 of 0,0 of 0,,,Middleweight,L,72.0,74.0,-2.0,2.0,False,False,True,False,nate marquardt,yushin okami,http://ufcstats.com/fighter-details/a8e6a69796280f17|http://ufcstats.com/fighter-details/acff437707625fc7,0.6430769230769231,True,False,False
W,Sam Stout,Paul Taylor,http://ufcstats.com/fighter-details/501b07aec9b8fc2d,http://ufcstats.com/fighter-details/9b74de674c355425,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Beltran 28 - 29. Larry Landless 29 - 28. Cecil Peoples 27 - 30.,Hands of Stone,Relentless,2010-10-23,"Anaheim, California, USA",http://ufcstats.com/event-details/afdb76fbd86f6d11,0,0.0,0.0,,,38 of 99,30 of 83,39 of 113,,,38 of 99,31 of 84,39 of 113,,,1 of 1,0 of 0,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:07,0:19,0:01,,,0,0.0,0.0,,,50 of 84,38 of 89,52 of 123,,,50 of 84,38 of 89,52 of 123,,,0 of 1,0 of 1,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,19 of 74,19 of 71,20 of 90,,,5 of 6,5 of 5,6 of 8,,,14 of 19,6 of 7,13 of 15,,,38 of 99,28 of 80,39 of 113,,,0 of 0,2 of 3,0 of 0,,,0 of 0,0 of 0,0 of 0,,,26 of 59,25 of 73,37 of 96,,,10 of 11,5 of 7,10 of 17,,,14 of 14,8 of 9,5 of 10,,,50 of 84,37 of 87,48 of 118,,,0 of 0,1 of 2,4 of 5,,,0 of 0,0 of 0,0 of 0,,,Lightweight,W,69.0,72.0,-3.0,3.0,False,True,False,True,sam stout,paul taylor,http://ufcstats.com/fighter-details/501b07aec9b8fc2d|http://ufcstats.com/fighter-details/9b74de674c355425,0.6428571428571429,True,False,True
L,Mike Guymon,Daniel Roberts,http://ufcstats.com/fighter-details/eaea0fc7b76525a8,http://ufcstats.com/fighter-details/22edaf53ad59a967,Welterweight Bout,Submission,1,1:13,3 Rnd (5-5-5),Jason Herzog,Anaconda Choke From Front Headlock,The Joker,Ninja,2010-10-23,"Anaheim, California, USA",http://ufcstats.com/event-details/afdb76fbd86f6d11,0,,,,,0 of 3,,,,,0 of 3,,,,,0 of 1,,,,,0,,,,,0,,,,,0:17,,,,,0,,,,,2 of 10,,,,,2 of 10,,,,,1 of 1,,,,,1,,,,,0,,,,,0:02,,,,,0 of 3,,,,,0 of 0,,,,,0 of 0,,,,,0 of 3,,,,,0 of 0,,,,,0 of 0,,,,,1 of 8,,,,,0 of 0,,,,,1 of 2,,,,,2 of 10,,,,,0 of 0,,,,,0 of 0,,,,,Welterweight,L,72.0,70.0,2.0,2.0,True,False,False,True,mike guymon,daniel roberts,http://ufcstats.com/fighter-details/22edaf53ad59a967|http://ufcstats.com/fighter-details/eaea0fc7b76525a8,0.5711159737417943,False,False,True
W,Chris Camozzi,Dongi Yang,http://ufcstats.com/fighter-details/6c2030e0a143a94b,http://ufcstats.com/fighter-details/aed06011bf62237b,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Larry Landless 28 - 29. Nelson Hamilton 28 - 29. Cecil Peoples 29 - 28.,--,The Ox,2010-10-23,"Anaheim, California, USA",http://ufcstats.com/event-details/afdb76fbd86f6d11,0,0.0,0.0,,,20 of 39,22 of 34,32 of 57,,,25 of 46,25 of 38,35 of 61,,,0 of 0,0 of 1,0 of 0,,,0,0.0,0.0,,,1,0.0,0.0,,,0:15,0:15,0:07,,,0,0.0,0.0,,,16 of 29,23 of 33,12 of 36,,,20 of 38,24 of 36,16 of 43,,,1 of 1,2 of 2,0 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,1:23,0:27,0:17,,,8 of 26,5 of 13,19 of 43,,,6 of 7,10 of 12,9 of 10,,,6 of 6,7 of 9,4 of 4,,,17 of 34,16 of 27,25 of 46,,,3 of 5,6 of 7,7 of 11,,,0 of 0,0 of 0,0 of 0,,,9 of 22,16 of 26,11 of 34,,,2 of 2,5 of 5,0 of 1,,,5 of 5,2 of 2,1 of 1,,,12 of 25,21 of 31,12 of 36,,,2 of 2,2 of 2,0 of 0,,,2 of 2,0 of 0,0 of 0,,,Middleweight,W,74.0,70.0,4.0,4.0,True,True,True,False,chris camozzi,dongi yang,http://ufcstats.com/fighter-details/6c2030e0a143a94b|http://ufcstats.com/fighter-details/aed06011bf62237b,0.5,True,True,True
L,Tito Ortiz,Matt Hamill,http://ufcstats.com/fighter-details/2f732dd9210d301f,http://ufcstats.com/fighter-details/98b80a717b9bda17,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Mike Beltran 28 - 29. Larry Landless 28 - 29. Cecil Peoples 27 - 30.,The People's Champ,The Hammer,2010-10-23,"Anaheim, California, USA",http://ufcstats.com/event-details/afdb76fbd86f6d11,0,0.0,0.0,,,17 of 63,12 of 39,8 of 29,,,18 of 64,23 of 52,18 of 41,,,0 of 0,0 of 1,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,0,0.0,0.0,,,11 of 45,13 of 38,17 of 51,,,11 of 45,22 of 48,25 of 61,,,1 of 1,1 of 1,1 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:08,2:17,1:27,,,11 of 54,3 of 30,5 of 24,,,2 of 4,4 of 4,3 of 4,,,4 of 5,5 of 5,0 of 1,,,17 of 60,11 of 37,7 of 28,,,0 of 3,1 of 1,0 of 0,,,0 of 0,0 of 1,1 of 1,,,9 of 39,9 of 33,15 of 47,,,1 of 3,1 of 1,0 of 1,,,1 of 3,3 of 4,2 of 3,,,11 of 44,10 of 31,14 of 37,,,0 of 1,0 of 0,0 of 0,,,0 of 0,3 of 7,3 of 14,,,Light Heavyweight,L,75.0,73.0,2.0,2.0,True,False,False,True,tito ortiz,matt hamill,http://ufcstats.com/fighter-details/2f732dd9210d301f|http://ufcstats.com/fighter-details/98b80a717b9bda17,0.6249948488303411,False,False,True
W,Court McGee,Ryan Jensen,http://ufcstats.com/fighter-details/523fa774700d7d3f,http://ufcstats.com/fighter-details/aae99701b21554e4,Middleweight Bout,Submission,3,1:21,3 Rnd (5-5-5),Herb Dean,Arm Triangle From Mount,The Crusher,--,2010-10-23,"Anaheim, California, USA",http://ufcstats.com/event-details/afdb76fbd86f6d11,0,0.0,0.0,,,13 of 52,30 of 88,17 of 25,,,16 of 55,31 of 89,22 of 30,,,0 of 2,1 of 1,1 of 1,,,0,0.0,1.0,,,0,0.0,0.0,,,0:00,0:02,0:55,,,1,0.0,0.0,,,18 of 49,18 of 51,0 of 3,,,24 of 55,19 of 52,1 of 4,,,1 of 1,0 of 2,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:38,0:00,0:00,,,5 of 41,14 of 61,15 of 23,,,1 of 2,8 of 18,2 of 2,,,7 of 9,8 of 9,0 of 0,,,13 of 50,30 of 87,6 of 8,,,0 of 2,0 of 1,0 of 0,,,0 of 0,0 of 0,11 of 17,,,14 of 42,13 of 44,0 of 3,,,3 of 5,3 of 3,0 of 0,,,1 of 2,2 of 4,0 of 0,,,15 of 43,17 of 50,0 of 3,,,1 of 2,1 of 1,0 of 0,,,2 of 4,0 of 0,0 of 0,,,Middleweight,W,71.0,73.0,-2.0,2.0,False,True,False,True,court mcgee,ryan jensen,http://ufcstats.com/fighter-details/523fa774700d7d3f|http://ufcstats.com/fighter-details/aae99701b21554e4,0.6888888888888889,True,False,True
W,Brendan Schaub,Gabriel Gonzaga,http://ufcstats.com/fighter-details/89a407032911e27e,http://ufcstats.com/fighter-details/270b89c00ef0c55c,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Nelson Hamilton 27 - 30. Larry Landless 27 - 30. Cecil Peoples 27 - 30.,Big Brown,Napao,2010-10-23,"Anaheim, California, USA",http://ufcstats.com/event-details/afdb76fbd86f6d11,1,0.0,0.0,,,18 of 72,18 of 65,17 of 62,,,18 of 72,18 of 65,17 of 62,,,0 of 0,0 of 0,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:01,0:06,0:00,,,0,0.0,0.0,,,8 of 29,11 of 30,18 of 51,,,8 of 29,11 of 30,18 of 51,,,0 of 1,0 of 1,0 of 0,,,0,0.0,1.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,18 of 70,16 of 61,16 of 60,,,0 of 2,2 of 4,1 of 2,,,0 of 0,0 of 0,0 of 0,,,17 of 70,10 of 53,17 of 62,,,1 of 2,7 of 11,0 of 0,,,0 of 0,1 of 1,0 of 0,,,4 of 24,4 of 20,13 of 45,,,0 of 0,2 of 2,2 of 3,,,4 of 5,5 of 8,3 of 3,,,7 of 27,8 of 27,18 of 50,,,1 of 2,3 of 3,0 of 1,,,0 of 0,0 of 0,0 of 0,,,Heavyweight,W,76.0,74.0,2.0,2.0,True,True,True,False,brendan schaub,gabriel gonzaga,http://ufcstats.com/fighter-details/270b89c00ef0c55c|http://ufcstats.com/fighter-details/89a407032911e27e,0.5711159737417943,False,False,False
L,Patrick Cote,Tom Lawlor,http://ufcstats.com/fighter-details/9fa3bd637edd9aa2,http://ufcstats.com/fighter-details/4d44f37107f01b9b,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Mike Beltran 27 - 30. Luis Cobian 27 - 30. Nelson Hamilton 27 - 30.,The Predator,Filthy,2010-10-23,"Anaheim, California, USA",http://ufcstats.com/event-details/afdb76fbd86f6d11,0,0.0,0.0,,,5 of 9,1 of 9,0 of 4,,,14 of 18,13 of 21,1 of 5,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,1,0.0,0.0,,,0:08,0:00,0:00,,,0,0.0,0.0,,,16 of 21,17 of 31,16 of 23,,,52 of 61,49 of 67,52 of 61,,,1 of 1,2 of 3,2 of 2,,,2,0.0,1.0,,,0,0.0,0.0,,,4:43,3:38,4:41,,,5 of 9,0 of 7,0 of 2,,,0 of 0,1 of 1,0 of 2,,,0 of 0,0 of 1,0 of 0,,,0 of 1,0 of 8,0 of 4,,,3 of 3,1 of 1,0 of 0,,,2 of 5,0 of 0,0 of 0,,,10 of 15,12 of 26,11 of 18,,,1 of 1,1 of 1,4 of 4,,,5 of 5,4 of 4,1 of 1,,,0 of 1,4 of 16,1 of 3,,,6 of 6,4 of 4,1 of 1,,,10 of 14,9 of 11,14 of 19,,,Middleweight,L,71.0,72.0,-1.0,1.0,False,False,True,False,patrick cote,tom lawlor,http://ufcstats.com/fighter-details/4d44f37107f01b9b|http://ufcstats.com/fighter-details/9fa3bd637edd9aa2,0.6187175043327556,True,False,False
W,Diego Sanchez,Paulo Thiago,http://ufcstats.com/fighter-details/82e7929bf6c2b689,http://ufcstats.com/fighter-details/30a09e43f15f1d75,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Luis Cobian 26 - 30. Larry Landless 28 - 29. Mike Beltran 28 - 29.,Nightmare,--,2010-10-23,"Anaheim, California, USA",http://ufcstats.com/event-details/afdb76fbd86f6d11,0,0.0,0.0,,,7 of 32,15 of 31,26 of 49,,,7 of 32,29 of 46,37 of 61,,,0 of 4,1 of 3,1 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:31,3:59,4:42,,,0,0.0,0.0,,,24 of 43,11 of 18,1 of 4,,,29 of 50,14 of 22,6 of 14,,,1 of 2,0 of 0,0 of 1,,,1,1.0,2.0,,,0,0.0,0.0,,,1:30,0:00,0:02,,,5 of 27,7 of 21,21 of 42,,,2 of 4,7 of 9,5 of 7,,,0 of 1,1 of 1,0 of 0,,,6 of 28,2 of 11,0 of 1,,,1 of 4,0 of 0,0 of 0,,,0 of 0,13 of 20,26 of 48,,,16 of 35,11 of 18,1 of 4,,,8 of 8,0 of 0,0 of 0,,,0 of 0,0 of 0,0 of 0,,,8 of 20,7 of 13,0 of 1,,,15 of 19,3 of 4,1 of 3,,,1 of 4,1 of 1,0 of 0,,,Welterweight,W,70.0,71.0,-1.0,1.0,False,True,False,True,diego sanchez,paulo thiago,http://ufcstats.com/fighter-details/30a09e43f15f1d75|http://ufcstats.com/fighter-details/82e7929bf6c2b689,0.5729537366548042,False,True,False
L,Sako Chivitchian,Kyle Watson,http://ufcstats.com/fighter-details/9f7787e56a6bc0f4,http://ufcstats.com/fighter-details/d7b2c0b53883ee80,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Adalaide Byrd 27 - 30. Cecil Peoples 27 - 30. Patricia Morse-Jarman 28 - 29.,--,--,2010-12-04,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/5d7bdab5e03e3216,0,0.0,0.0,,,12 of 37,13 of 45,11 of 50,,,23 of 50,17 of 49,14 of 54,,,0 of 0,0 of 1,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,1:47,0:50,0:21,,,0,0.0,0.0,,,25 of 36,26 of 42,21 of 57,,,30 of 44,32 of 50,26 of 65,,,0 of 6,0 of 3,0 of 3,,,0,0.0,0.0,,,0,0.0,0.0,,,1:11,0:40,0:36,,,10 of 35,10 of 42,6 of 45,,,1 of 1,2 of 2,3 of 3,,,1 of 1,1 of 1,2 of 2,,,9 of 31,9 of 40,7 of 45,,,3 of 6,4 of 5,4 of 5,,,0 of 0,0 of 0,0 of 0,,,8 of 19,11 of 24,9 of 43,,,14 of 14,8 of 9,9 of 10,,,3 of 3,7 of 9,3 of 4,,,16 of 26,18 of 34,20 of 55,,,9 of 10,8 of 8,1 of 2,,,0 of 0,0 of 0,0 of 0,,,Lightweight,L,71.0,72.0,-1.0,1.0,False,False,True,False,sako chivitchian,kyle watson,http://ufcstats.com/fighter-details/9f7787e56a6bc0f4|http://ufcstats.com/fighter-details/d7b2c0b53883ee80,0.6115107913669064,False,True,True
W,Cody McKenzie,Aaron Wilkinson,http://ufcstats.com/fighter-details/7be63795363029e8,http://ufcstats.com/fighter-details/338a11d3674eb2d4,Lightweight Bout,Submission,1,2:03,3 Rnd (5-5-5),Chris Tognoni,Guillotine Choke From Bottom Half Guard,--,The Daywalker,2010-12-04,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/5d7bdab5e03e3216,0,,,,,0 of 2,,,,,8 of 10,,,,,1 of 1,,,,,2,,,,,2,,,,,0:52,,,,,0,,,,,0 of 1,,,,,0 of 1,,,,,1 of 1,,,,,0,,,,,1,,,,,1:04,,,,,0 of 2,,,,,0 of 0,,,,,0 of 0,,,,,0 of 2,,,,,0 of 0,,,,,0 of 0,,,,,0 of 1,,,,,0 of 0,,,,,0 of 0,,,,,0 of 1,,,,,0 of 0,,,,,0 of 0,,,,,Lightweight,W,72.0,70.0,2.0,2.0,True,True,True,False,cody mckenzie,aaron wilkinson,http://ufcstats.com/fighter-details/338a11d3674eb2d4|http://ufcstats.com/fighter-details/7be63795363029e8,0.5,True,True,True
L,Nam Phan,Leonard Garcia,http://ufcstats.com/fighter-details/80dbeb1dd5b53e64,http://ufcstats.com/fighter-details/917e53fa0adea0d3,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Tony Weeks 28 - 29. Junichiro Kamijo 30 - 27. Adalaide Byrd 28 - 29.,--,Bad Boy,2010-12-04,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/5d7bdab5e03e3216,0,0.0,0.0,,,33 of 71,34 of 63,35 of 93,,,33 of 71,45 of 74,38 of 96,,,0 of 0,0 of 0,0 of 0,,,0,1.0,0.0,,,0,0.0,0.0,,,0:08,2:27,0:06,,,0,0.0,0.0,,,30 of 111,13 of 46,21 of 125,,,30 of 111,18 of 51,22 of 126,,,0 of 0,1 of 1,1 of 2,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:20,0:36,,,23 of 58,30 of 58,27 of 83,,,6 of 8,3 of 4,8 of 10,,,4 of 5,1 of 1,0 of 0,,,33 of 71,27 of 52,33 of 91,,,0 of 0,3 of 3,0 of 0,,,0 of 0,4 of 8,2 of 2,,,18 of 97,8 of 40,14 of 107,,,6 of 7,4 of 5,6 of 15,,,6 of 7,1 of 1,1 of 3,,,27 of 108,12 of 45,19 of 122,,,3 of 3,1 of 1,2 of 3,,,0 of 0,0 of 0,0 of 0,,,Featherweight,L,66.0,70.0,-4.0,4.0,False,False,True,False,nam phan,leonard garcia,http://ufcstats.com/fighter-details/80dbeb1dd5b53e64|http://ufcstats.com/fighter-details/917e53fa0adea0d3,0.6345305608065532,False,True,True
L,Kendall Grove,Demian Maia,http://ufcstats.com/fighter-details/234f3767ff0e5701,http://ufcstats.com/fighter-details/427b5953ac8e3a27,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,Adalaide Byrd 28 - 29. Junichiro Kamijo 28 - 29. Patricia Morse-Jarman 28 - 29.,Da Spyder,--,2010-12-04,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/5d7bdab5e03e3216,0,0.0,0.0,,,6 of 16,4 of 18,8 of 34,,,9 of 19,11 of 27,30 of 60,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:00,0:00,,,0,0.0,0.0,,,22 of 37,11 of 16,9 of 26,,,33 of 48,29 of 37,9 of 26,,,3 of 4,2 of 6,0 of 3,,,1,0.0,0.0,,,0,0.0,0.0,,,3:32,3:36,1:08,,,6 of 16,3 of 16,8 of 34,,,0 of 0,1 of 1,0 of 0,,,0 of 0,0 of 1,0 of 0,,,5 of 15,2 of 15,6 of 32,,,0 of 0,2 of 3,2 of 2,,,1 of 1,0 of 0,0 of 0,,,15 of 29,7 of 12,7 of 23,,,6 of 6,4 of 4,1 of 2,,,1 of 2,0 of 0,1 of 1,,,2 of 9,1 of 5,9 of 26,,,1 of 2,0 of 0,0 of 0,,,19 of 26,10 of 11,0 of 0,,,Middleweight,L,78.0,73.0,5.0,5.0,True,False,False,True,kendall grove,demian maia,http://ufcstats.com/fighter-details/234f3767ff0e5701|http://ufcstats.com/fighter-details/427b5953ac8e3a27,0.7316120264990658,False,False,True
