division,market_prob_min,min_height_gap_in,all_n,all_wins,all_win_rate,all_ci_low,all_ci_high,discovery_n,discovery_wins,discovery_win_rate,discovery_ci_low,discovery_ci_high,validation_n,validation_wins,validation_win_rate,validation_ci_low,validation_ci_high
ALL,0.7,4,167,137,0.8203592814371258,0.7551409098426073,0.8711702462224261,106,85,0.8018867924528302,0.7160451566780396,0.8666120515199475,61,52,0.8524590163934426,0.7427653049810489,0.920389213106105
ALL,0.7,5,77,62,0.8051948051948052,0.7031467846457494,0.8782370573365964,46,37,0.8043478260869565,0.668284622588308,0.893495095558782,31,25,0.8064516129032258,0.6371939644454013,0.9081311641365236
ALL,0.75,1,476,402,0.8445378151260504,0.8092411283578737,0.8743177794150249,322,265,0.8229813664596274,0.7775553363441337,0.8607916396098267,154,137,0.8896103896103896,0.8303280093773988,0.9299278420584711
ALL,0.75,2,312,263,0.842948717948718,0.7984336315073306,0.8791211934428977,215,179,0.8325581395348837,0.7769083686254877,0.8765322934789749,97,84,0.865979381443299,0.7840983171863207,0.9199761917465006
ALL,0.75,3,184,159,0.8641304347826086,0.807119192433198,0.9062478146621418,126,107,0.8492063492063492,0.7764606132955009,0.9012882745801877,58,52,0.896551724137931,0.7921166146899103,0.9517192498414084
ALL,0.75,4,99,87,0.8787878787878788,0.7999916857455538,0.9292851827590203,67,58,0.8656716417910447,0.7639940822527299,0.92768990004016,32,29,0.90625,0.7578150066422116,0.9675990373736805
ALL,0.75,5,47,39,0.8297872340425532,0.6985994892711489,0.9111374190873607,32,27,0.84375,0.6824550744643347,0.9313568089337279,15,12,0.8,0.5481406466534955,0.9295257935638959
Bantamweight,0.55,1,227,167,0.73568281938326,0.6747393867683295,0.7887819196166549,127,89,0.7007874015748031,0.616207750501492,0.7735765382873947,100,78,0.78,0.6892946528499969,0.849988254963442
Bantamweight,0.55,2,143,105,0.7342657342657343,0.6564279437044778,0.7998460277041695,72,48,0.6666666666666666,0.5517938807199863,0.7646551393428815,71,57,0.8028169014084507,0.6958010004492512,0.8787457756752572
Bantamweight,0.55,3,82,58,0.7073170731707317,0.6013403571873552,0.7947380010911484,42,26,0.6190476190476191,0.46813768219996377,0.7500047910121407,40,32,0.8,0.6524239261814333,0.8950013502683314
Bantamweight,0.55,4,34,25,0.7352941176470589,0.5688253783710155,0.8539897245844621,20,13,0.65,0.43285051021946463,0.8188104521320554,14,12,0.8571428571428571,0.600580922361363,0.9599069262620787
Bantamweight,0.55,5,16,11,0.6875,0.4440393186673406,0.8583556494803894,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257,7,5,0.7142857142857143,0.35892909014821267,0.9177828342909844
Bantamweight,0.6,1,176,131,0.7443181818181818,0.6751272467638896,0.8030713457753225,99,71,0.7171717171717171,0.6216369977049233,0.796481740237699,77,60,0.7792207792207793,0.6745672277887955,0.8573371382801591
Bantamweight,0.6,2,113,83,0.7345132743362832,0.6463607898259159,0.8072447753152668,57,38,0.6666666666666666,0.5372226902277747,0.7750636401777372,56,45,0.8035714285714286,0.6815514267252283,0.8866151998355589
Bantamweight,0.6,3,67,47,0.7014925373134329,0.5834456017927899,0.7976863884502311,36,22,0.6111111111111112,0.4486417029674347,0.7521534458217705,31,25,0.8064516129032258,0.6371939644454013,0.9081311641365236
Bantamweight,0.6,4,27,20,0.7407407407407407,0.553210695973843,0.8682979157713322,17,11,0.6470588235294118,0.4129996672121182,0.826905138560951,10,9,0.9,0.5958436145024278,0.9821242504842788
Bantamweight,0.6,5,12,9,0.75,0.46768966087934005,0.9110599603710386,7,5,0.7142857142857143,0.35892909014821267,0.9177828342909844,5,4,0.8,0.3755282641185388,0.9637768390302125
Bantamweight,0.65,1,130,106,0.8153846153846154,0.7399800318075412,0.8726844910313968,71,59,0.8309859154929577,0.7274065601494254,0.9005864277075953,59,47,0.7966101694915254,0.6773174503671768,0.8796384514558193
Bantamweight,0.65,2,82,67,0.8170731707317073,0.7198761179729022,0.8858907829236328,41,33,0.8048780487804879,0.6598611764744329,0.8976568425079408,41,34,0.8292682926829268,0.6873709004537024,0.914748560047261
Bantamweight,0.65,3,51,39,0.7647058823529411,0.632375118636542,0.8599518740113747,28,20,0.7142857142857143,0.529403642629825,0.8474618415167003,23,19,0.8260869565217391,0.6286194521470433,0.9302145964938723
Bantamweight,0.65,4,21,18,0.8571428571428571,0.6536350585077049,0.950190782017865,12,10,0.8333333333333334,0.5519636426153274,0.9530358523851776,9,8,0.8888888888888888,0.5649937852319399,0.9801096286728695
Bantamweight,0.65,5,9,8,0.8888888888888888,0.5649937852319399,0.9801096286728695,5,5,1.0,0.5655085052479191,1.0000000000000002,4,3,0.75,0.3006360524426366,0.9544139373553637
Bantamweight,0.7,1,94,81,0.8617021276595744,0.7776378977292479,0.9173630016836808,52,45,0.8653846153846154,0.7472642307950509,0.9332320300570737,42,36,0.8571428571428571,0.7215861764782122,0.9328412431581007
Bantamweight,0.7,2,57,47,0.8245614035087719,0.7063240094940684,0.9018125286640339,27,21,0.7777777777777778,0.5924270453692919,0.8939290451059105,30,26,0.8666666666666667,0.7031831605558306,0.9469043057578189
Bantamweight,0.7,3,36,28,0.7777777777777778,0.6191498017214091,0.882838070251604,18,12,0.6666666666666666,0.4374906934425036,0.8372144563633714,18,16,0.8888888888888888,0.6719975513339578,0.9689811315464172
Bantamweight,0.7,4,17,15,0.8823529411764706,0.6566315750229009,0.967120919987079,9,7,0.7777777777777778,0.4525833436728054,0.9367762376877727,8,8,1.0,0.6755843804891231,1.0
Bantamweight,0.7,5,5,5,1.0,0.5655085052479191,1.0000000000000002,2,2,1.0,0.34237195288961925,1.0,3,3,1.0,0.43849391955098227,1.0
Bantamweight,0.75,1,60,54,0.9,0.7985030550748896,0.9533578005427642,35,32,0.9142857142857143,0.7762040092883747,0.970418168994703,25,22,0.88,0.7004380781662651,0.9583325864293191
Bantamweight,0.75,2,35,31,0.8857142857142857,0.7404820521187976,0.9546489414551025,17,14,0.8235294117647058,0.5897007098262422,0.9380898628745101,18,17,0.9444444444444444,0.7424220019799247,0.9901250641690756
Bantamweight,0.75,3,23,20,0.8695652173913043,0.678721020269818,0.954624234856553,11,8,0.7272727272727273,0.4343497069897537,0.9025411942607853,12,12,1.0,0.7574992425007574,1.0
Bantamweight,0.75,4,13,12,0.9230769230769231,0.6668546607175265,0.9862899336203037,6,5,0.8333333333333334,0.43649056343635395,0.9699474141282697,7,7,1.0,0.6456611570247934,1.0
Bantamweight,0.75,5,5,5,1.0,0.5655085052479191,1.0000000000000002,2,2,1.0,0.34237195288961925,1.0,3,3,1.0,0.43849391955098227,1.0
Featherweight,0.55,1,269,176,0.654275092936803,0.5956264054999987,0.7085794047576746,148,96,0.6486486486486487,0.5688607590114603,0.7209149019404792,121,80,0.6611570247933884,0.5730213220975752,0.7393745459464102
Featherweight,0.55,2,186,123,0.6612903225806451,0.5906233578270158,0.7254296042213445,102,67,0.6568627450980392,0.5605422456017035,0.7417963433841017,84,56,0.6666666666666666,0.5605262279543911,0.7582293502682277
Featherweight,0.55,3,119,82,0.6890756302521008,0.6010946171754383,0.7652307970164967,65,45,0.6923076923076923,0.5720212794770567,0.7911312329572853,54,37,0.6851851851851852,0.5525630440832037,0.7932088571090179
Featherweight,0.55,4,51,31,0.6078431372549019,0.4708491122516505,0.7297285514197229,29,16,0.5517241379310345,0.37547667068067625,0.715870888512542,22,15,0.6818181818181818,0.47318222782839336,0.8363961264530752
Featherweight,0.55,5,26,16,0.6153846153846154,0.42534520039420076,0.7757164048816557,16,9,0.5625,0.33178195606776517,0.7690163666481448,10,7,0.7,0.39677321997956516,0.892210712513788
Featherweight,0.6,1,220,153,0.6954545454545454,0.6317167694105544,0.7524834864846858,126,85,0.6746031746031746,0.588682034860208,0.7501924090776364,94,68,0.723404255319149,0.6255641807495841,0.803701080652519
Featherweight,0.6,2,157,112,0.7133757961783439,0.6382107131583525,0.7783481870266742,87,59,0.6781609195402298,0.5742591192817702,0.7669942272026599,70,53,0.7571428571428571,0.6450473904731996,0.8424826738807688
Featherweight,0.6,3,99,75,0.7575757575757576,0.6645700099444053,0.8313382606387051,54,39,0.7222222222222222,0.5910930359127778,0.823833245517888,45,36,0.8,0.6617674868607056,0.8910399559749099
Featherweight,0.6,4,44,30,0.6818181818181818,0.5344282746687306,0.8000087006832644,25,15,0.6,0.40739127785127344,0.7659694233580909,19,15,0.7894736842105263,0.5666528575973392,0.9149246150840843
Featherweight,0.6,5,21,15,0.7142857142857143,0.500432261771624,0.8618632425437179,13,8,0.6153846153846154,0.35522480972268555,0.8229055341876319,8,7,0.875,0.5291051942301386,0.9775830911367038
Featherweight,0.65,1,149,111,0.7449664429530202,0.6694317146466812,0.8081869441477832,84,61,0.7261904761904762,0.6225237946430133,0.810073061516255,65,50,0.7692307692307693,0.6535506019179673,0.8548629154901115
Featherweight,0.65,2,102,76,0.7450980392156863,0.6526994490651,0.8197045962252206,56,39,0.6964285714285714,0.5666388751588567,0.8009983537922407,46,37,0.8043478260869565,0.668284622588308,0.893495095558782
Featherweight,0.65,3,58,48,0.8275862068965517,0.7109149994332449,0.9035581060491489,32,25,0.78125,0.6124466920955516,0.8897630306846815,26,23,0.8846153846153846,0.7102370691310166,0.959968281788505
Featherweight,0.65,4,29,22,0.7586206896551724,0.578920477816713,0.8778173181493787,16,10,0.625,0.3864064709793481,0.815190174452472,13,12,0.9230769230769231,0.6668546607175265,0.9862899336203037
Featherweight,0.65,5,14,10,0.7142857142857143,0.4535045882751561,0.882788120898909,8,5,0.625,0.30573785458380187,0.863158240538479,6,5,0.8333333333333334,0.43649056343635395,0.9699474141282697
Featherweight,0.7,1,92,70,0.7608695652173914,0.6643766513146702,0.8364497121851046,50,36,0.72,0.5833461285401034,0.8252598564231963,42,34,0.8095238095238095,0.6669893264500356,0.9001811039014357
Featherweight,0.7,2,62,49,0.7903225806451613,0.6736054886034556,0.8731612971368666,33,24,0.7272727272727273,0.5578211674561319,0.849327273436772,29,25,0.8620689655172413,0.6944064228730067,0.9450264914795217
Featherweight,0.7,3,38,33,0.868421052631579,0.7267282994850112,0.9424621712426856,19,16,0.8421052631578947,0.6243407235682331,0.9447962896007217,19,17,0.8947368421052632,0.686054495051583,0.9706420586049034
Featherweight,0.7,4,21,17,0.8095238095238095,0.599990134607267,0.9233255938482269,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257,12,11,0.9166666666666666,0.6461140782014047,0.9851352905492264
