division,min_height_gap_in,all_n,all_wins,all_win_rate,all_ci_low,all_ci_high,discovery_n,discovery_wins,discovery_win_rate,discovery_ci_low,discovery_ci_high,validation_n,validation_wins,validation_win_rate,validation_ci_low,validation_ci_high
Light Heavyweight,3,161,92,0.5714285714285714,0.49419895003231296,0.6453289361323444,111,67,0.6036036036036037,0.5106070530904347,0.689668805135156,50,25,0.5,0.36644286412332855,0.6335571358766714
Light Heavyweight,4,78,52,0.6666666666666666,0.5564120187982788,0.7612748299436811,55,37,0.6727272727272727,0.5410297617609947,0.7818710431117484,23,15,0.6521739130434783,0.4488997690689164,0.8118894536301776
Light Heavyweight,5,29,17,0.5862068965517241,0.40737528478515245,0.7448706472035449,21,13,0.6190476190476191,0.40878295815501514,0.7924923220201749,8,4,0.5,0.21521252682444186,0.7847874731755582
Light Heavyweight,6,8,5,0.625,0.30573785458380187,0.863158240538479,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831,2,1,0.5,0.09452865480086614,0.9054713451991339
Lightweight,1,1085,546,0.5032258064516129,0.4735159115136647,0.5329129391107053,749,360,0.48064085447263016,0.44504934317076406,0.5164299374640999,336,186,0.5535714285714286,0.5001080467118834,0.6058236579411079
Lightweight,2,713,361,0.5063113604488079,0.46967762393068435,0.5428774509980028,498,248,0.4979919678714859,0.45426124650048055,0.5417534322348017,215,113,0.5255813953488372,0.4589713451038538,0.591293321211874
Lightweight,3,403,202,0.5012406947890818,0.4526428756442146,0.5498150834238844,285,141,0.49473684210526314,0.4371471310364763,0.5524665534189483,118,61,0.5169491525423728,0.4276814843920897,0.60514802539767
Lightweight,4,196,94,0.47959183673469385,0.4107168841439905,0.5492514107455619,140,64,0.45714285714285713,0.37686850182753767,0.5397063972280903,56,30,0.5357142857142857,0.4070395665724008,0.6598035659641625
Lightweight,5,94,47,0.5,0.4009249494369979,0.599075050563002,62,30,0.4838709677419355,0.36409654206505293,0.605527525393818,32,17,0.53125,0.3644923793257382,0.6913087009831766
Lightweight,6,44,24,0.5454545454545454,0.4006593217065349,0.6829499221314639,26,16,0.6153846153846154,0.42534520039420076,0.7757164048816557,18,8,0.4444444444444444,0.24559231101389126,0.6628393057174837
Middleweight,1,799,418,0.523153942428035,0.4884932169093636,0.5575930845478603,508,265,0.5216535433070866,0.47821436681533575,0.5647676807556316,291,153,0.5257731958762887,0.4684391404318102,0.5824356343625201
Middleweight,2,491,255,0.5193482688391039,0.47517602929003777,0.5632200958538467,308,164,0.5324675324675324,0.47668757838415454,0.587447546628031,183,91,0.4972677595628415,0.4256299158835342,0.5690179569670515
Middleweight,3,259,142,0.5482625482625483,0.48738768722246245,0.6077266325807955,157,90,0.5732484076433121,0.49503974176690624,0.6479580896398939,102,52,0.5098039215686274,0.4142085151226479,0.6046876466889649
Middleweight,4,142,79,0.5563380281690141,0.4742077463729324,0.635500320461222,84,49,0.5833333333333334,0.4765244867612664,0.6828533023500432,58,30,0.5172413793103449,0.39162043429213433,0.640720255470097
Middleweight,5,70,38,0.5428571428571428,0.4269805339664774,0.6542744767591839,43,21,0.4883720930232558,0.34617209277756,0.6324793623392592,27,17,0.6296296296296297,0.442289046234463,0.7846771293206314
Middleweight,6,24,13,0.5416666666666666,0.35074553553106635,0.7210894164831857,16,8,0.5,0.2799923761135083,0.7200076238864916,8,5,0.625,0.30573785458380187,0.863158240538479
Welterweight,1,1055,574,0.5440758293838862,0.5139158126206688,0.5739160217160252,753,398,0.5285524568393094,0.49284293040893473,0.5639721283827595,302,176,0.5827814569536424,0.5264678607888459,0.637015458681102
Welterweight,2,662,376,0.56797583081571,0.529955467035078,0.6052118159943994,458,261,0.5698689956331878,0.5241299596890734,0.6144456904905553,204,115,0.5637254901960784,0.49511504079163554,0.6299802240639083
Welterweight,3,395,235,0.5949367088607594,0.5458351782307027,0.6422093988645652,270,159,0.5888888888888889,0.5293508347309124,0.6459329789774504,125,76,0.608,0.5204192596692241,0.6891403856627183
Welterweight,4,205,121,0.5902439024390244,0.5218631992276137,0.6553045681137588,140,83,0.5928571428571429,0.5100487545242445,0.6707056308552286,65,38,0.5846153846153846,0.4633876602091337,0.696399445261977
Welterweight,5,81,45,0.5555555555555556,0.44727379297278025,0.6588062432358722,65,37,0.5692307692307692,0.44832757984982086,0.6824073246265422,16,8,0.5,0.2799923761135083,0.7200076238864916
