result,player1,player2,player1_url,player2_url,weightclass,method,round,time,time_format,referee,details,player1_nickname,player2_nickname,event_date,event_location,event_url,p1_rd1_KD,p1_rd2_KD,p1_rd3_KD,p1_rd4_KD,p1_rd5_KD,p1_rd1_Sig_str,p1_rd2_Sig_str,p1_rd3_Sig_str,p1_rd4_Sig_str,p1_rd5_Sig_str,p1_rd1_Total_str,p1_rd2_Total_str,p1_rd3_Total_str,p1_rd4_Total_str,p1_rd5_Total_str,p1_rd1_Td,p1_rd2_Td,p1_rd3_Td,p1_rd4_Td,p1_rd5_Td,p1_rd1_Sub_att,p1_rd2_Sub_att,p1_rd3_Sub_att,p1_rd4_Sub_att,p1_rd5_Sub_att,p1_rd1_Rev,p1_rd2_Rev,p1_rd3_Rev,p1_rd4_Rev,p1_rd5_Rev,p1_rd1_Ctrl,p1_rd2_Ctrl,p1_rd3_Ctrl,p1_rd4_Ctrl,p1_rd5_Ctrl,p2_rd1_KD,p2_rd2_KD,p2_rd3_KD,p2_rd4_KD,p2_rd5_KD,p2_rd1_Sig_str,p2_rd2_Sig_str,p2_rd3_Sig_str,p2_rd4_Sig_str,p2_rd5_Sig_str,p2_rd1_Total_str,p2_rd2_Total_str,p2_rd3_Total_str,p2_rd4_Total_str,p2_rd5_Total_str,p2_rd1_Td,p2_rd2_Td,p2_rd3_Td,p2_rd4_Td,p2_rd5_Td,p2_rd1_Sub_att,p2_rd2_Sub_att,p2_rd3_Sub_att,p2_rd4_Sub_att,p2_rd5_Sub_att,p2_rd1_Rev,p2_rd2_Rev,p2_rd3_Rev,p2_rd4_Rev,p2_rd5_Rev,p2_rd1_Ctrl,p2_rd2_Ctrl,p2_rd3_Ctrl,p2_rd4_Ctrl,p2_rd5_Ctrl,p1_rd1_Head,p1_rd2_Head,p1_rd3_Head,p1_rd4_Head,p1_rd5_Head,p1_rd1_Body,p1_rd2_Body,p1_rd3_Body,p1_rd4_Body,p1_rd5_Body,p1_rd1_Leg,p1_rd2_Leg,p1_rd3_Leg,p1_rd4_Leg,p1_rd5_Leg,p1_rd1_Distance,p1_rd2_Distance,p1_rd3_Distance,p1_rd4_Distance,p1_rd5_Distance,p1_rd1_Clinch,p1_rd2_Clinch,p1_rd3_Clinch,p1_rd4_Clinch,p1_rd5_Clinch,p1_rd1_Ground,p1_rd2_Ground,p1_rd3_Ground,p1_rd4_Ground,p1_rd5_Ground,p2_rd1_Head,p2_rd2_Head,p2_rd3_Head,p2_rd4_Head,p2_rd5_Head,p2_rd1_Body,p2_rd2_Body,p2_rd3_Body,p2_rd4_Body,p2_rd5_Body,p2_rd1_Leg,p2_rd2_Leg,p2_rd3_Leg,p2_rd4_Leg,p2_rd5_Leg,p2_rd1_Distance,p2_rd2_Distance,p2_rd3_Distance,p2_rd4_Distance,p2_rd5_Distance,p2_rd1_Clinch,p2_rd2_Clinch,p2_rd3_Clinch,p2_rd4_Clinch,p2_rd5_Clinch,p2_rd1_Ground,p2_rd2_Ground,p2_rd3_Ground,p2_rd4_Ground,p2_rd5_Ground,result_norm,dob1,dob2,reach1,reach2,age1,age2,p1_won,pair_key,fav_prob,fav_is_p1,fav_won,fav_dec,fav_ml,age_adv,reach_adv,profit100
W,Paige VanZant,Kailin Curran,http://ufcstats.com/fighter-details/4d5197f331c47290,http://ufcstats.com/fighter-details/05b43e0ead3df345,Women's Strawweight Bout,KO/TKO,3,2:54,3 Rnd (5-5-5),Kerry Hatley,Punches to Head On Ground,12 Gauge,--,2014-11-22,"Austin, Texas, USA",http://ufcstats.com/event-details/155a02a8b4311057,0,0.0,0.0,,,28 of 51,14 of 28,19 of 29,,,66 of 95,54 of 84,47 of 62,,,0 of 2,1 of 2,2 of 2,,,3,0.0,0.0,,,1,0.0,0.0,,,1:47,3:23,2:28,,,0,0.0,0.0,,,16 of 31,7 of 10,5 of 8,,,24 of 41,18 of 22,20 of 26,,,2 of 2,3 of 3,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,2:35,0:54,0:13,,,25 of 47,12 of 22,18 of 27,,,1 of 2,2 of 6,1 of 2,,,2 of 2,0 of 0,0 of 0,,,3 of 5,3 of 9,1 of 3,,,11 of 19,9 of 17,7 of 13,,,14 of 27,2 of 2,11 of 13,,,9 of 24,3 of 6,2 of 5,,,7 of 7,4 of 4,3 of 3,,,0 of 0,0 of 0,0 of 0,,,3 of 6,2 of 5,1 of 2,,,7 of 18,3 of 3,4 of 6,,,6 of 7,2 of 2,0 of 0,,,W,1994-03-26,1991-04-11,65.0,65.0,20.66024627473528,23.617185842282865,True,http://ufcstats.com/fighter-details/05b43e0ead3df345|http://ufcstats.com/fighter-details/4d5197f331c47290,0.5116279069767442,False,False,1.9090909090909087,-110.00000000000004,-2.956939567547586,0.0,-100.0
L,Yves Edwards,Akbarh Arreola,http://ufcstats.com/fighter-details/5f04e3d58d9ce982,http://ufcstats.com/fighter-details/c136b2a8852da5bd,Lightweight Bout,Submission,1,1:52,3 Rnd (5-5-5),Dan Miragliotta,Armbar From Mount,--,El Caballero,2014-11-22,"Austin, Texas, USA",http://ufcstats.com/event-details/155a02a8b4311057,0,,,,,5 of 14,,,,,5 of 14,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,1,,,,,12 of 26,,,,,12 of 26,,,,,1 of 1,,,,,1,,,,,0,,,,,0:45,,,,,1 of 7,,,,,0 of 3,,,,,4 of 4,,,,,4 of 13,,,,,1 of 1,,,,,0 of 0,,,,,8 of 20,,,,,2 of 4,,,,,2 of 2,,,,,7 of 19,,,,,2 of 3,,,,,3 of 4,,,,,L,1976-09-30,1983-01-14,73.0,71.0,38.144520421363886,31.855548026311286,False,http://ufcstats.com/fighter-details/5f04e3d58d9ce982|http://ufcstats.com/fighter-details/c136b2a8852da5bd,0.7146765683017393,True,False,1.3773584905660377,-265.00000000000006,-6.2889723950526,2.0,-100.0
W,James Vick,Nick Hein,http://ufcstats.com/fighter-details/6256b2b1562cb8e1,http://ufcstats.com/fighter-details/2816ced060a21be3,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Jennie Cardenas 27 - 30. Anthony Townsend 28 - 29. Nick Wright 28 - 29.,The Texecutioner,Sergeant,2014-11-22,"Austin, Texas, USA",http://ufcstats.com/event-details/155a02a8b4311057,0,0.0,0.0,,,11 of 40,15 of 47,14 of 53,,,14 of 43,15 of 47,14 of 53,,,0 of 0,0 of 0,0 of 0,,,0,0.0,0.0,,,1,0.0,0.0,,,0:15,0:00,0:00,,,2,0.0,0.0,,,6 of 10,5 of 35,14 of 40,,,10 of 15,5 of 35,14 of 40,,,0 of 0,0 of 1,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:59,0:01,0:00,,,8 of 32,12 of 36,12 of 48,,,1 of 6,0 of 5,2 of 5,,,2 of 2,3 of 6,0 of 0,,,11 of 38,15 of 47,14 of 53,,,0 of 1,0 of 0,0 of 0,,,0 of 1,0 of 0,0 of 0,,,5 of 8,2 of 29,4 of 20,,,1 of 2,1 of 4,2 of 10,,,0 of 0,2 of 2,8 of 10,,,4 of 7,5 of 35,13 of 37,,,0 of 1,0 of 0,1 of 3,,,2 of 2,0 of 0,0 of 0,,,W,1987-02-23,1984-04-24,76.0,66.0,27.745949608821537,30.57968336105464,True,http://ufcstats.com/fighter-details/2816ced060a21be3|http://ufcstats.com/fighter-details/6256b2b1562cb8e1,0.7234352256186317,True,True,1.3571428571428572,-279.99999999999994,2.8337337522331048,10.0,35.71428571428572
W,Joseph Benavidez,Dustin Ortiz,http://ufcstats.com/fighter-details/80eacd4da0617c57,http://ufcstats.com/fighter-details/f53c1f4ceeed8c08,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Jennie Cardenas 27 - 30. Anthony Townsend 27 - 30. Nick Wright 27 - 30.,--,--,2014-11-22,"Austin, Texas, USA",http://ufcstats.com/event-details/155a02a8b4311057,0,0.0,0.0,,,35 of 80,34 of 66,25 of 53,,,35 of 80,35 of 67,26 of 54,,,1 of 1,0 of 1,1 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:33,0:14,1:40,,,0,0.0,0.0,,,15 of 56,12 of 51,10 of 42,,,24 of 65,16 of 55,19 of 51,,,0 of 0,1 of 4,1 of 5,,,0,0.0,0.0,,,0,0.0,0.0,,,0:00,0:20,0:24,,,20 of 58,26 of 55,14 of 40,,,8 of 15,4 of 6,5 of 6,,,7 of 7,4 of 5,6 of 7,,,31 of 75,25 of 56,17 of 42,,,3 of 4,9 of 9,7 of 9,,,1 of 1,0 of 1,1 of 2,,,13 of 52,9 of 44,8 of 36,,,2 of 4,3 of 6,2 of 6,,,0 of 0,0 of 1,0 of 0,,,15 of 56,9 of 41,7 of 32,,,0 of 0,3 of 10,3 of 9,,,0 of 0,0 of 0,0 of 1,,,W,1984-07-31,1988-12-25,65.0,65.0,30.311368474369768,25.908814007132246,True,http://ufcstats.com/fighter-details/80eacd4da0617c57|http://ufcstats.com/fighter-details/f53c1f4ceeed8c08,0.7956823438704704,True,True,1.2325581395348837,-430.00000000000006,-4.402554467237522,0.0,23.25581395348837
W,Matt Wiman,Isaac Vallie-Flagg,http://ufcstats.com/fighter-details/eb29176b03dfa888,http://ufcstats.com/fighter-details/c295de4e10acd4c9,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Jon Schorle 28 - 29. Anthony Townsend 27 - 30. Nick Wright 27 - 30.,--,--,2014-11-22,"Austin, Texas, USA",http://ufcstats.com/event-details/155a02a8b4311057,0,0.0,0.0,,,22 of 28,32 of 46,14 of 27,,,41 of 47,39 of 53,24 of 40,,,0 of 1,0 of 1,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,0:32,1:07,3:26,,,0,0.0,0.0,,,27 of 41,35 of 54,18 of 26,,,39 of 53,45 of 64,36 of 48,,,0 of 2,0 of 2,0 of 1,,,0,0.0,0.0,,,0,0.0,0.0,,,3:39,1:43,0:14,,,15 of 20,23 of 37,11 of 20,,,5 of 5,7 of 7,2 of 4,,,2 of 3,2 of 2,1 of 3,,,4 of 8,11 of 22,6 of 14,,,17 of 19,21 of 24,7 of 12,,,1 of 1,0 of 0,1 of 1,,,15 of 29,25 of 41,11 of 17,,,5 of 5,8 of 9,6 of 7,,,7 of 7,2 of 4,1 of 2,,,4 of 10,12 of 22,6 of 12,,,22 of 30,23 of 32,12 of 14,,,1 of 1,0 of 0,0 of 0,,,W,1983-09-19,1978-04-08,68.0,70.0,31.176547088578136,36.62498203248526,True,http://ufcstats.com/fighter-details/c295de4e10acd4c9|http://ufcstats.com/fighter-details/eb29176b03dfa888,0.6277495769881557,True,True,1.5714285714285714,-175.0,5.448434943907127,-2.0,57.14285714285714
L,Brad Pickett,Chico Camus,http://ufcstats.com/fighter-details/c945adc22c2bfe8f,http://ufcstats.com/fighter-details/32be4b7f7de1c905,Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Marcos Rosales 28 - 29. Jon Schorle 30 - 27. Anthony Townsend 28 - 29.,One Punch,The King,2014-11-22,"Austin, Texas, USA",http://ufcstats.com/event-details/155a02a8b4311057,0,0.0,0.0,,,16 of 53,19 of 50,18 of 55,,,34 of 73,20 of 51,18 of 55,,,1 of 3,1 of 3,0 of 3,,,0,0.0,0.0,,,0,0.0,0.0,,,1:45,0:54,0:16,,,0,0.0,0.0,,,25 of 47,22 of 54,24 of 48,,,41 of 63,29 of 61,24 of 48,,,1 of 1,0 of 1,0 of 0,,,0,0.0,0.0,,,0,0.0,0.0,,,0:03,0:00,0:01,,,13 of 49,9 of 38,10 of 42,,,2 of 3,1 of 3,2 of 6,,,1 of 1,9 of 9,6 of 7,,,9 of 38,15 of 45,18 of 54,,,0 of 3,4 of 5,0 of 1,,,7 of 12,0 of 0,0 of 0,,,22 of 44,21 of 51,22 of 44,,,3 of 3,0 of 2,2 of 4,,,0 of 0,1 of 1,0 of 0,,,19 of 40,22 of 54,21 of 45,,,2 of 3,0 of 0,3 of 3,,,4 of 4,0 of 0,0 of 0,,,L,1978-09-24,1985-01-26,68.0,66.0,36.16227574830421,29.821283120118824,False,http://ufcstats.com/fighter-details/32be4b7f7de1c905|http://ufcstats.com/fighter-details/c945adc22c2bfe8f,0.6277495769881557,True,False,1.5714285714285714,-175.0,-6.340992628185386,2.0,-100.0
L,Jared Rosholt,Aleksei Oleinik,http://ufcstats.com/fighter-details/91ea901c458e95dd,http://ufcstats.com/fighter-details/98c23cb6da5b3352,Heavyweight Bout,KO/TKO,1,3:21,3 Rnd (5-5-5),Kerry Hatley,Punch to Head At Distance,--,The Boa Constrictor,2014-11-22,"Austin, Texas, USA",http://ufcstats.com/event-details/155a02a8b4311057,0,,,,,19 of 32,,,,,22 of 35,,,,,0 of 0,,,,,0,,,,,0,,,,,1:13,,,,,1,,,,,13 of 21,,,,,38 of 47,,,,,0 of 0,,,,,0,,,,,0,,,,,0:04,,,,,14 of 27,,,,,3 of 3,,,,,2 of 2,,,,,2 of 7,,,,,17 of 25,,,,,0 of 0,,,,,11 of 19,,,,,1 of 1,,,,,1 of 1,,,,,5 of 10,,,,,6 of 9,,,,,2 of 2,,,,,L,1986-08-04,1977-06-20,75.0,80.0,28.301744731240202,37.42445087852591,False,http://ufcstats.com/fighter-details/91ea901c458e95dd|http://ufcstats.com/fighter-details/98c23cb6da5b3352,0.7932405566600399,True,False,1.238095238095238,-420.00000000000034,9.122706147285708,-5.0,-100.0
W,Sergio Pettis,Matt Hobar,http://ufcstats.com/fighter-details/de75d1c45a39e221,http://ufcstats.com/fighter-details/b57edace7b647f07,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Derek Cleary 28 - 29. Tony Weeks 28 - 29. Lester Griffin 27 - 30.,--,The Crowbar,2014-12-06,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dfdd0c5dd0d4bc23,0,0.0,0.0,,,12 of 49,42 of 79,24 of 72,,,15 of 52,55 of 94,26 of 74,,,0 of 1,0 of 0,0 of 0,,,1,1.0,0.0,,,0,0.0,0.0,,,0:02,1:24,0:09,,,1,0.0,0.0,,,15 of 40,7 of 26,14 of 58,,,19 of 44,21 of 40,14 of 58,,,1 of 1,1 of 4,0 of 4,,,0,0.0,0.0,,,0,0.0,0.0,,,2:41,1:19,0:20,,,10 of 44,38 of 74,21 of 68,,,1 of 4,2 of 3,3 of 4,,,1 of 1,2 of 2,0 of 0,,,8 of 41,23 of 54,23 of 71,,,4 of 8,6 of 7,1 of 1,,,0 of 0,13 of 18,0 of 0,,,10 of 30,4 of 21,8 of 48,,,3 of 7,2 of 3,6 of 9,,,2 of 3,1 of 2,0 of 1,,,10 of 29,6 of 21,10 of 54,,,0 of 0,0 of 0,4 of 4,,,5 of 11,1 of 5,0 of 0,,,W,1993-08-18,1987-01-07,69.0,70.0,21.300916514370588,27.912961936247836,True,http://ufcstats.com/fighter-details/b57edace7b647f07|http://ufcstats.com/fighter-details/de75d1c45a39e221,0.6931407942238267,True,True,1.4166666666666667,-239.99999999999997,6.612045421877248,-1.0,41.66666666666667
L,Alex White,Clay Collard,http://ufcstats.com/fighter-details/c17041f1bb5768d8,http://ufcstats.com/fighter-details/cc900c6a71ed23f3,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato 28 - 29. Junichiro Kamijo 28 - 29. Glenn Trowbridge 28 - 29.,The Spartan,Cassius,2014-12-06,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dfdd0c5dd0d4bc23,0,0.0,0.0,,,27 of 69,14 of 43,17 of 52,,,29 of 72,15 of 45,36 of 72,,,0 of 0,0 of 2,1 of 1,,,0,0.0,1.0,,,0,1.0,0.0,,,0:00,1:12,0:08,,,0,1.0,0.0,,,31 of 90,20 of 56,9 of 47,,,32 of 91,21 of 57,9 of 47,,,1 of 1,0 of 1,2 of 3,,,0,2.0,0.0,,,0,0.0,0.0,,,0:19,0:44,1:29,,,14 of 49,10 of 34,9 of 40,,,11 of 18,4 of 9,6 of 10,,,2 of 2,0 of 0,2 of 2,,,17 of 53,10 of 33,9 of 37,,,10 of 16,4 of 10,7 of 14,,,0 of 0,0 of 0,1 of 1,,,14 of 57,14 of 43,4 of 35,,,8 of 19,2 of 5,2 of 8,,,9 of 14,4 of 8,3 of 4,,,22 of 76,14 of 46,6 of 41,,,8 of 10,2 of 4,3 of 5,,,1 of 4,4 of 6,0 of 1,,,L,1988-10-22,1993-03-10,71.0,73.0,26.12237075367735,21.741719542495737,False,http://ufcstats.com/fighter-details/c17041f1bb5768d8|http://ufcstats.com/fighter-details/cc900c6a71ed23f3,0.5443037974683544,False,True,1.8,-125.0,4.380651211181615,2.0,80.0
W,Raquel Pennington,Ashlee Evans-Smith,http://ufcstats.com/fighter-details/fc169c387b4b465d,http://ufcstats.com/fighter-details/fc6e681bf6658faf,Women's Bantamweight Bout,Submission,1,4:59,3 Rnd (5-5-5),Mark Smith,"Bulldog Choke On Ground
      Technical Submission",Rocky,Rebel Girl,2014-12-06,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dfdd0c5dd0d4bc23,0,,,,,5 of 10,,,,,16 of 21,,,,,1 of 2,,,,,1,,,,,0,,,,,1:23,,,,,0,,,,,11 of 16,,,,,25 of 33,,,,,1 of 2,,,,,0,,,,,0,,,,,3:09,,,,,3 of 7,,,,,2 of 3,,,,,0 of 0,,,,,0 of 1,,,,,5 of 9,,,,,0 of 0,,,,,5 of 9,,,,,5 of 6,,,,,1 of 1,,,,,1 of 4,,,,,10 of 12,,,,,0 of 0,,,,,W,1988-09-05,1987-07-09,67.0,67.0,26.25105238300581,27.41192495396894,True,http://ufcstats.com/fighter-details/fc169c387b4b465d|http://ufcstats.com/fighter-details/fc6e681bf6658faf,0.6430769230769231,False,False,1.526315789473684,-190.00000000000006,-1.1608725709631287,0.0,-100.0
L,Eddie Gordon,Josh Samman,http://ufcstats.com/fighter-details/8cad40a75e5c97f5,http://ufcstats.com/fighter-details/9deff9e3e8d94d47,Middleweight Bout,KO/TKO,2,3:08,3 Rnd (5-5-5),Herb Dean,Kick to Head At Distance,Truck,Anqa,2014-12-06,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dfdd0c5dd0d4bc23,0,0.0,,,,5 of 11,3 of 4,,,,53 of 63,19 of 20,,,,2 of 2,0 of 0,,,,0,0.0,,,,0,1.0,,,,3:56,2:37,,,,0,1.0,,,,7 of 14,4 of 10,,,,24 of 31,11 of 17,,,,1 of 2,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:11,0:05,,,,5 of 11,3 of 4,,,,0 of 0,0 of 0,,,,0 of 0,0 of 0,,,,1 of 6,1 of 2,,,,0 of 0,0 of 0,,,,4 of 5,2 of 2,,,,2 of 6,3 of 9,,,,3 of 6,0 of 0,,,,2 of 2,1 of 1,,,,5 of 12,4 of 10,,,,2 of 2,0 of 0,,,,0 of 0,0 of 0,,,,L,1983-07-22,1988-03-14,76.0,79.0,31.376414300088296,26.7301861092288,False,http://ufcstats.com/fighter-details/8cad40a75e5c97f5|http://ufcstats.com/fighter-details/9deff9e3e8d94d47,0.5729537366548043,True,False,1.7142857142857144,-139.99999999999997,-4.646228190859496,-3.0,-100.0
W,Frankie Edgar,Cub Swanson,http://ufcstats.com/fighter-details/f2688492b9a525a3,http://ufcstats.com/fighter-details/d247691a6c0e9034,Featherweight Bout,Submission,5,4:56,5 Rnd (5-5-5-5-5),Dan Miragliotta,Neck Crank From Back Control,The Answer,--,2014-11-22,"Austin, Texas, USA",http://ufcstats.com/event-details/155a02a8b4311057,0,0.0,0.0,0.0,0.0,13 of 60,12 of 30,14 of 28,21 of 38,33 of 46,30 of 77,42 of 71,54 of 75,72 of 102,61 of 80,2 of 5,1 of 3,1 of 1,2 of 2,1 of 2,0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0:29,3:29,4:20,3:53,3:57,0,0.0,0.0,0.0,0.0,15 of 46,6 of 15,2 of 2,5 of 14,3 of 9,16 of 47,24 of 34,9 of 10,7 of 16,6 of 12,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0:00,0:00,0:00,0:00,0:00,7 of 49,12 of 29,10 of 24,20 of 37,28 of 41,6 of 9,0 of 0,4 of 4,0 of 0,5 of 5,0 of 2,0 of 1,0 of 0,1 of 1,0 of 0,13 of 58,3 of 15,1 of 7,2 of 12,5 of 11,0 of 2,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,9 of 15,13 of 21,19 of 25,28 of 35,12 of 42,4 of 13,2 of 2,4 of 13,3 of 9,1 of 1,1 of 1,0 of 0,1 of 1,0 of 0,2 of 3,1 of 1,0 of 0,0 of 0,0 of 0,15 of 46,5 of 13,2 of 2,3 of 12,3 of 8,0 of 0,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,2 of 2,0 of 1,W,1981-10-16,1983-11-02,68.0,70.0,33.10129571449106,31.056079180270643,True,http://ufcstats.com/fighter-details/d247691a6c0e9034|http://ufcstats.com/fighter-details/f2688492b9a525a3,0.6207865168539326,True,True,1.5882352941176472,-169.99999999999997,-2.0452165342204154,-2.0,58.82352941176472
W,Urijah Faber,Francisco Rivera,http://ufcstats.com/fighter-details/78114b7199cef90c,http://ufcstats.com/fighter-details/7ea4a9f07df33a45,Bantamweight Bout,Submission,2,1:34,3 Rnd (5-5-5),Mario Yamasaki,Bulldog Choke On Ground,The California Kid,Cisco,2014-12-06,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dfdd0c5dd0d4bc23,0,1.0,,,,11 of 36,8 of 16,,,,11 of 36,8 of 16,,,,0 of 2,0 of 1,,,,0,1.0,,,,0,0.0,,,,0:00,0:14,,,,0,0.0,,,,13 of 42,2 of 14,,,,13 of 42,2 of 14,,,,0 of 0,0 of 0,,,,0,0.0,,,,0,0.0,,,,0:00,0:00,,,,8 of 28,7 of 14,,,,2 of 6,1 of 1,,,,1 of 2,0 of 1,,,,11 of 35,5 of 12,,,,0 of 1,1 of 1,,,,0 of 0,2 of 3,,,,5 of 33,2 of 14,,,,2 of 2,0 of 0,,,,6 of 7,0 of 0,,,,13 of 42,2 of 14,,,,0 of 0,0 of 0,,,,0 of 0,0 of 0,,,,W,1979-05-14,1981-10-08,67.0,70.0,35.56541202078071,33.1615296686448,True,http://ufcstats.com/fighter-details/78114b7199cef90c|http://ufcstats.com/fighter-details/7ea4a9f07df33a45,0.8815884476534295,True,True,1.108108108108108,-925.0000000000018,-2.403882352135909,-3.0,10.81081081081079
W,Travis Browne,Brendan Schaub,http://ufcstats.com/fighter-details/3236bf606fe9fa5b,http://ufcstats.com/fighter-details/89a407032911e27e,Heavyweight Bout,KO/TKO,1,4:50,3 Rnd (5-5-5),Mario Yamasaki,Punches to Head From Back Control,Hapa,Big Brown,2014-12-06,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dfdd0c5dd0d4bc23,0,,,,,25 of 37,,,,,36 of 51,,,,,1 of 1,,,,,0,,,,,0,,,,,1:41,,,,,0,,,,,5 of 13,,,,,6 of 14,,,,,1 of 3,,,,,0,,,,,0,,,,,0:49,,,,,24 of 36,,,,,1 of 1,,,,,0 of 0,,,,,2 of 6,,,,,1 of 1,,,,,22 of 30,,,,,3 of 6,,,,,1 of 3,,,,,1 of 4,,,,,4 of 12,,,,,1 of 1,,,,,0 of 0,,,,,W,1982-07-17,1983-03-18,79.0,78.0,32.38943989267405,31.721390582968848,True,http://ufcstats.com/fighter-details/3236bf606fe9fa5b|http://ufcstats.com/fighter-details/89a407032911e27e,0.8035714285714286,True,True,1.2222222222222223,-449.9999999999998,-0.6680493097052,1.0,22.222222222222232
W,Tony Ferguson,Abel Trujillo,http://ufcstats.com/fighter-details/22a92d7f62195791,http://ufcstats.com/fighter-details/e14b5aa06eea9653,Lightweight Bout,Submission,2,4:19,3 Rnd (5-5-5),John McCarthy,Rear Naked Choke,El Cucuy,Killa,2014-12-06,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dfdd0c5dd0d4bc23,0,0.0,,,,13 of 41,7 of 14,,,,15 of 43,23 of 33,,,,0 of 0,1 of 1,,,,0,1.0,,,,0,0.0,,,,0:00,2:02,,,,1,0.0,,,,14 of 65,1 of 11,,,,15 of 66,1 of 11,,,,2 of 2,0 of 3,,,,0,0.0,,,,0,0.0,,,,1:06,0:56,,,,8 of 33,4 of 10,,,,2 of 2,3 of 3,,,,3 of 6,0 of 1,,,,13 of 41,5 of 11,,,,0 of 0,1 of 2,,,,0 of 0,1 of 1,,,,14 of 65,0 of 10,,,,0 of 0,1 of 1,,,,0 of 0,0 of 0,,,,10 of 52,1 of 8,,,,1 of 6,0 of 3,,,,3 of 7,0 of 0,,,,W,1984-02-12,1983-09-18,76.0,70.0,30.815143363655654,31.217615693682962,True,http://ufcstats.com/fighter-details/22a92d7f62195791|http://ufcstats.com/fighter-details/e14b5aa06eea9653,0.7512801755669348,True,True,1.3076923076923077,-325.0,0.4024723300273081,6.0,30.76923076923077
W,Todd Duffee,Anthony Hamilton,http://ufcstats.com/fighter-details/bda04c573563cc2e,http://ufcstats.com/fighter-details/c727c7d31c50c4cf,Heavyweight Bout,KO/TKO,1,0:33,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,--,Freight Train,2014-12-06,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/dfdd0c5dd0d4bc23,1,,,,,8 of 16,,,,,8 of 16,,,,,0 of 0,,,,,0,,,,,0,,,,,0:02,,,,,0,,,,,2 of 6,,,,,2 of 6,,,,,0 of 0,,,,,0,,,,,0,,,,,0:00,,,,,8 of 16,,,,,0 of 0,,,,,0 of 0,,,,,6 of 14,,,,,0 of 0,,,,,2 of 2,,,,,2 of 6,,,,,0 of 0,,,,,0 of 0,,,,,2 of 6,,,,,0 of 0,,,,,0 of 0,,,,,W,1985-12-06,1980-04-14,78.0,76.0,28.99991101802227,34.64547526643258,True,http://ufcstats.com/fighter-details/bda04c573563cc2e|http://ufcstats.com/fighter-details/c727c7d31c50c4cf,0.7450468438027953,True,True,1.3174603174603174,-315.0,5.645564248410306,2.0,31.746031746031743
