event_date,year,event_name,weight_class,fighter_1,fighter_2,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,favorite_decimal_odds,won,profit,snapshot_mode,snapshot_rows,source_values,region_values,adding_date_selected,fight_url
2024-03-02,2024,UFC Fight Night 238 - Rozenstruik vs. Gaziev,,Eryk Anders,Jamie Pickett,Eryk Anders,Jamie Pickett,36.865917849100256,35.507915973633956,-1.3580018754663001,0.8081570996978852,1.1869158878504673,True,9.345794392523366,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/32bd7ed48f5aea7e
2024-03-02,2024,UFC Fight Night 238 - Rozenstruik vs. Gaziev,,Christian Leroy Duncan,Claudio Ribeiro,Christian Leroy Duncan,Claudio Ribeiro,28.608390316022916,31.62556383772425,3.0171735217013342,0.771505376344086,1.2439024390243902,True,12.195121951219512,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/3ea7d69a1238f26a
2024-03-02,2024,UFC Fight Night 238 - Rozenstruik vs. Gaziev,,Abdul-Kareem Al-Selwady,Loik Radzhabov,Abdul-Kareem Al-Selwady,Loik Radzhabov,28.89587055175671,33.457223625399564,4.561353073642856,0.551441114716549,1.7407407407407407,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/ba8f219260e212f8
2024-03-02,2024,UFC Fight Night 238 - Rozenstruik vs. Gaziev,,Steve Erceg,Matt Schnell,Steve Erceg,Matt Schnell,28.60017659500195,34.12801084211175,5.527834247109798,0.7957758771164253,1.2061855670103092,True,10.309278350515461,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/024beecfd3f0ed7a
2024-03-02,2024,UFC Fight Night 238 - Rozenstruik vs. Gaziev,,Muhammad Mokaev,Alex Perez,Muhammad Mokaev,Alex Perez,23.58980677221298,31.948636864548895,8.358830092335914,0.771505376344086,1.2439024390243902,True,12.195121951219512,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/5a82757b553c40fc
2024-03-09,2024,UFC 299 - O'Malley vs. Vera 2,,Mateusz Gamrot,Rafael dos Anjos,Mateusz Gamrot,Rafael dos Anjos,33.24366687885446,39.36836485348775,6.1246979746332855,0.7957758771164253,1.2061855670103092,True,10.309278350515461,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/8baff440b82afd2b
2024-03-09,2024,UFC 299 - O'Malley vs. Vera 2,,Pedro Munhoz,Kyler Phillips,Kyler Phillips,Pedro Munhoz,28.74254775936535,37.50385018172857,8.761302422363222,0.6750312469954812,1.4201680672268908,True,21.00840336134454,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/ebb758b49e82d0ed
2024-03-09,2024,UFC 299 - O'Malley vs. Vera 2,,Michael Page,Kevin Holland,Kevin Holland,Michael Page,31.340821508997447,36.92341389624701,5.582592387249566,0.5634920634920635,1.704225352112676,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/270edfb687c0d20c
2024-03-09,2024,UFC 299 - O'Malley vs. Vera 2,,Philipe Lins,Ion Cutelaba,Ion Cutelaba,Philipe Lins,30.23470707817409,38.56068228642614,8.325975208252054,0.551441114716549,1.7407407407407407,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/7bc7af11050e861b
2024-03-09,2024,UFC 299 - O'Malley vs. Vera 2,,Sean O'Malley,Marlon Vera,Sean O'Malley,Marlon Vera,29.3750042779797,31.266898019808757,1.8918937418290582,0.7135512302607419,1.3448275862068966,True,17.24137931034483,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/894c44c3d04aaf6f
2024-03-09,2024,UFC 299 - O'Malley vs. Vera 2,,Jack Della Maddalena,Gilbert Burns,Jack Della Maddalena,Gilbert Burns,27.494062164178594,37.63800762507101,10.143945460892418,0.6037569709421778,1.5882352941176472,True,29.41176470588236,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/68f7f992603192c6
2024-03-16,2024,UFC Fight Night 239 - Tuivasa vs. Tybura,,Christian Rodriguez,Isaac Dulgarian,Isaac Dulgarian,Christian Rodriguez,27.69940518970273,26.245576568991833,-1.4538286207108975,0.644729178800233,1.4878048780487805,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/acc7392d48cc09a0
2024-03-16,2024,UFC Fight Night 239 - Tuivasa vs. Tybura,,Marcin Tybura,Tai Tuivasa,Tai Tuivasa,Marcin Tybura,31.001321040130872,38.34986344688802,7.348542406757151,0.5173641257162701,1.847457627118644,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/8bc0c220f7dcefa7
2024-03-23,2024,UFC on ESPN 53 - Ribas vs. Namajunas,,Ricardo Ramos,Julian Erosa,Ricardo Ramos,Julian Erosa,28.643983107113765,34.64547526643258,6.001492159318811,0.6092362344582594,1.5714285714285714,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/8c8337ce8437fe2e
2024-03-23,2024,UFC on ESPN 53 - Ribas vs. Namajunas,,Trey Ogden,Kurt Holobaugh,Trey Ogden,Kurt Holobaugh,34.35525712369179,37.53944297281943,3.184185849127637,0.5324675324675325,1.8,True,40.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/de7cb625bdec0f91
2024-03-23,2024,UFC on ESPN 53 - Ribas vs. Namajunas,,Fernando Padilla,Luis Pajuelo,Fernando Padilla,Luis Pajuelo,27.269553789605535,29.26275009069317,1.993196301087636,0.6164383561643836,1.5555555555555556,True,27.77777777777778,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/a1294453a28beda3
2024-03-23,2024,UFC on ESPN 53 - Ribas vs. Namajunas,,Cody Gibson,Miles Johns,Miles Johns,Cody Gibson,29.982819633531147,36.53189319424766,6.549073560716511,0.5634920634920635,1.704225352112676,True,35.2112676056338,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/48ff3f1bcefbf965
2024-03-30,2024,UFC on ESPN 54 - Blanchfield vs. Fiorot,,Nursulton Ruziboev,Sedriques Dumas,Nursulton Ruziboev,Sedriques Dumas,30.36065080049556,28.649458921127742,-1.7111918793678171,0.690792883054068,1.3875968992248062,True,19.379844961240313,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/e30250daa73005a8
2024-03-30,2024,UFC on ESPN 54 - Blanchfield vs. Fiorot,,Joaquin Buckley,Vicente Luque,Vicente Luque,Joaquin Buckley,32.34015756654825,29.925323586384387,-2.4148339801638627,0.5720596355604639,1.6756756756756757,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/de12349f334c964e
2024-03-30,2024,UFC on ESPN 54 - Blanchfield vs. Fiorot,,Rhys McKee,Chidi Njokuani,Chidi Njokuani,Rhys McKee,35.245076900963056,28.553632175883145,-6.691444725079911,0.5427435387673957,1.7692307692307692,True,38.46153846153846,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/eb9f9f61507497a5
2024-03-30,2024,UFC on ESPN 54 - Blanchfield vs. Fiorot,,Jamall Emmers,Nate Landwehr,Jamall Emmers,Nate Landwehr,34.683805964530414,35.81456155841667,1.1307555938862563,0.6037569709421778,1.5882352941176472,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/636b01ee49925e49
2024-03-30,2024,UFC on ESPN 54 - Blanchfield vs. Fiorot,,Dennis Buzukja,Connor Matthews,Dennis Buzukja,Connor Matthews,26.494726106627787,31.83090686324839,5.336180756620603,0.5173641257162701,1.847457627118644,True,42.3728813559322,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/f59cefe16905d62c
2024-04-06,2024,UFC Fight Night 240 - Allen vs. Curtis 2,,Damon Jackson,Alexander Hernandez,Alexander Hernandez,Damon Jackson,31.513309650437723,35.66123876602531,4.147929115587591,0.6224665518611737,1.5405405405405406,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/9c22ddb8d8fc1838
2024-04-06,2024,UFC Fight Night 240 - Allen vs. Curtis 2,,Norma Dumont,Germaine de Randamie,Norma Dumont,Germaine de Randamie,33.51471967254632,39.951539045976304,6.436819373429984,0.5108342361863489,1.869565217391304,True,43.4782608695652,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/188e6416157e5a1f
2024-04-06,2024,UFC Fight Night 240 - Allen vs. Curtis 2,,Victor Hugo,Pedro Falcao,Victor Hugo,Pedro Falcao,31.37093848607432,31.685797791878,0.3148593058036795,0.5829926410466068,1.6451612903225803,True,32.25806451612902,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/5c3b8819dbe98114
2024-04-06,2024,UFC Fight Night 240 - Allen vs. Curtis 2,,Lukasz Brzeski,Valter Walker,Valter Walker,Lukasz Brzeski,26.311286337159558,31.888402910395147,5.577116573235589,0.6853932584269663,1.4,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/ff5a8078ea85bbc7
2024-04-06,2024,UFC Fight Night 240 - Allen vs. Curtis 2,,Jean Matsumoto,Dan Argueta,Jean Matsumoto,Dan Argueta,24.575453294728845,30.648131036229355,6.0726777415005095,0.5829926410466068,1.6451612903225803,True,32.25806451612902,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/1f7566c90343a680
2024-04-06,2024,UFC Fight Night 240 - Allen vs. Curtis 2,,Christos Giagos,Ignacio Bahamondes,Ignacio Bahamondes,Christos Giagos,26.609718200921304,34.201934331300436,7.592216130379132,0.725752508361204,1.3225806451612905,True,16.129032258064523,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/6ff21ea2c75c48ed
2024-04-06,2024,UFC Fight Night 240 - Allen vs. Curtis 2,,Dylan Budka,Cesar Almeida,Dylan Budka,Cesar Almeida,24.227739104841305,36.025380397954784,11.797641293113479,0.5996387718242023,1.6024096385542168,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/3cf5e0ebb5f8322c
2024-04-13,2024,UFC 300 - Pereira vs. Hill,,Cody Brundage,Bo Nickal,Bo Nickal,Cody Brundage,28.246986591100434,29.911634051349445,1.664647460249011,0.903954802259887,1.0625,True,3.125,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/0c2e3988793b418c
2024-04-13,2024,UFC 300 - Pereira vs. Hill,,Holly Holm,Kayla Harrison,Kayla Harrison,Holly Holm,33.7830345592312,42.48957884145465,8.706544282223454,0.786743515850144,1.21978021978022,True,10.989010989011005,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/b1ac165326d8f29e
2024-04-13,2024,UFC 300 - Pereira vs. Hill,,Diego Lopes,Sodiq Yusuff,Diego Lopes,Sodiq Yusuff,29.287391253756066,30.902756387879286,1.6153651341232198,0.5634920634920635,1.704225352112676,True,35.2112676056338,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/538ca98010ed00ec
2024-04-13,2024,UFC 300 - Pereira vs. Hill,,Alex Pereira,Jamahal Hill,Alex Pereira,Jamahal Hill,36.770091103855655,32.90416640998789,-3.8659246938677683,0.5427435387673957,1.7692307692307692,True,38.46153846153846,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/e4931f3ab3bf4141
2024-04-27,2024,UFC on ESPN 55 - Nicolau vs. Perez,,Victor Henry,Rani Yahya,Victor Henry,Rani Yahya,36.98364785040076,39.62299020513768,2.6393423547369252,0.757188498402556,1.2666666666666666,True,13.33333333333333,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/55231cc4112334b4
2024-04-27,2024,UFC on ESPN 55 - Nicolau vs. Perez,,Jonathan Pearce,David Onama,Jonathan Pearce,David Onama,31.98970546965372,29.889730795293538,-2.0999746743601833,0.593369754159424,1.617283950617284,False,-50.0,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/7ca5604d99220e88
2024-04-27,2024,UFC on ESPN 55 - Nicolau vs. Perez,,Marnic Mann,Ketlen Souza,Ketlen Souza,Marnic Mann,29.692601490790366,31.146430111501264,1.4538286207108975,0.7477827050997783,1.2816901408450705,True,14.084507042253524,historical_import_fallback,1,zewnetrzne,us,2025-07-27 09:10:07.798897+00:00,http://ufcstats.com/fight-details/4915c8a588513c22
