method_id,week,n,wins,losses,win_pct,roi,units
SB025,5,4,2,2,0.5,-0.15799170888991249,-0.6319668355596499
SB025,6,5,3,2,0.6,-0.0245186136071887,-0.1225930680359435
SB025,7,13,11,2,0.8461538461538461,0.4127242691125858,5.365415498463616
SB025,8,6,5,1,0.8333333333333334,0.34833901860681965,2.090034111640918
SB025,9,4,4,0,1.0,0.6910251414725688,2.764100565890275
SB025,10,7,4,3,0.5714285714285714,-0.06163209748843969,-0.43142468241907783
SB025,11,5,5,0,1.0,0.6897230197793444,3.4486150988967217
SB025,12,12,11,1,0.9166666666666666,0.5554515962301338,6.665419154761606
SB025,13,8,5,3,0.625,0.08594567385088075,0.687565390807046
SB025,14,12,10,2,0.8333333333333334,0.4147442526980843,4.976931032377012
SB025,15,5,3,2,0.6,-0.05236738570071904,-0.2618369285035952
SB025,16,8,5,3,0.625,0.02810393852768249,0.22483150822145992
SB025,17,4,4,0,1.0,0.6764206171227044,2.7056824684908176
SB025,18,2,2,0,1.0,0.6604184829991282,1.3208369659982564
