method_id,season,n,wins,losses,win_pct,roi,units
SB008,2007,7,6,1,0.8571428571428571,0.44167149592095917,3.091700471446714
SB008,2008,5,4,1,0.8,0.3245108160960027,1.6225540804800134
SB008,2009,1,1,0,1.0,0.8,0.8
SB008,2010,7,6,1,0.8571428571428571,0.40689768654095315,2.848283805786672
SB008,2011,6,6,0,1.0,0.6551245518872357,3.9307473113234144
SB008,2012,11,8,3,0.7272727272727273,0.21006059655156656,2.310666562067232
SB008,2013,2,1,1,0.5,-0.22972972972972971,-0.45945945945945943
SB008,2014,2,2,0,1.0,0.6187929717341483,1.2375859434682965
SB008,2015,4,2,2,0.5,-0.16191768430574402,-0.6476707372229761
SB008,2016,7,5,2,0.7142857142857143,0.19763482933268328,1.383443805328783
SB008,2017,5,4,1,0.8,0.3354179922604049,1.6770899613020247
SB008,2018,2,1,1,0.5,-0.20588235294117646,-0.4117647058823529
SB008,2019,1,1,0,1.0,0.5649717514124294,0.5649717514124294
SB008,2020,2,2,0,1.0,0.5928509154315607,1.1857018308631213
SB008,2021,4,2,2,0.5,-0.17276936026936027,-0.6910774410774411
SB008,2022,4,4,0,1.0,0.6791196966591515,2.716478786636606
SB008,2023,13,10,3,0.7692307692307693,0.2682547837734155,3.487312189054401
SB008,2024,3,3,0,1.0,0.7032967032967034,2.10989010989011
SB008,2025,4,3,1,0.75,0.2547065137426583,1.0188260549706332
SB011,2006,7,5,2,0.7142857142857143,0.0032887859635580036,0.023021501744906026
SB011,2007,7,5,2,0.7142857142857143,0.05537961906031398,0.3876573334221979
SB011,2008,2,2,0,1.0,0.4511740441059813,0.9023480882119626
SB011,2009,3,3,0,1.0,0.485516115871073,1.456548347613219
SB011,2010,6,6,0,1.0,0.43218163304549484,2.593089798272969
SB011,2011,3,1,2,0.3333333333333333,-0.4912280701754386,-1.473684210526316
SB011,2012,7,5,2,0.7142857142857143,0.02543799360374718,0.17806595522623025
SB011,2013,1,1,0,1.0,0.44052863436123346,0.44052863436123346
SB011,2014,5,3,2,0.6,-0.14971014492753626,-0.7485507246376812
SB011,2015,5,4,1,0.8,0.15333828812089684,0.7666914406044841
SB011,2016,3,3,0,1.0,0.4059062914844073,1.217718874453222
SB011,2017,5,4,1,0.8,0.12375053770088118,0.6187526885044059
SB011,2018,2,2,0,1.0,0.4833738090790211,0.9667476181580422
SB011,2019,5,5,0,1.0,0.4119914269031611,2.0599571345158054
SB011,2020,2,2,0,1.0,0.3911134152663841,0.7822268305327682
SB011,2021,6,6,0,1.0,0.41644293299697194,2.4986575979818317
SB011,2022,2,2,0,1.0,0.4442525426981385,0.888505085396277
SB011,2023,4,2,2,0.5,-0.2777777777777778,-1.1111111111111112
SB011,2024,5,5,0,1.0,0.45280923491742503,2.264046174587125
SB011,2025,5,4,1,0.8,0.14300829197444398,0.7150414598722199
SB016,2008,3,2,1,0.6666666666666666,0.7366666666666667,2.21
SB016,2009,13,6,7,0.46153846153846156,0.10230769230769228,1.3299999999999996
SB016,2010,16,3,13,0.1875,-0.5462499999999999,-8.739999999999998
SB016,2011,7,4,3,0.5714285714285714,0.23714285714285713,1.66
SB016,2012,9,5,4,0.5555555555555556,0.31555555555555553,2.84
SB016,2013,5,3,2,0.6,0.3960000000000001,1.9800000000000004
SB016,2014,11,5,6,0.45454545454545453,0.06363636363636366,0.7000000000000002
SB016,2015,4,2,2,0.5,0.18500000000000005,0.7400000000000002
SB016,2016,5,2,3,0.4,0.03799999999999999,0.18999999999999995
SB016,2017,3,1,2,0.3333333333333333,-0.09666666666666668,-0.29000000000000004
SB016,2018,6,3,3,0.5,0.27666666666666667,1.6600000000000001
SB016,2019,7,4,3,0.5714285714285714,0.35999999999999993,2.5199999999999996
SB016,2020,5,2,3,0.4,-0.05,-0.25
SB016,2021,12,7,5,0.5833333333333334,0.4266666666666666,5.119999999999999
SB016,2022,6,3,3,0.5,0.22000000000000006,1.3200000000000003
SB016,2023,9,4,5,0.4444444444444444,0.036666666666666674,0.33000000000000007
SB016,2024,11,5,6,0.45454545454545453,0.1127272727272727,1.2399999999999998
SB016,2025,12,8,4,0.6666666666666666,0.6458333333333334,7.75
SB025,2006,4,2,2,0.5,-0.16035737312333057,-0.6414294924933223
SB025,2007,6,3,3,0.5,-0.15296331575401342,-0.9177798945240805
SB025,2008,5,5,0,1.0,0.6636857306904821,3.3184286534524103
SB025,2009,3,2,1,0.6666666666666666,0.16973995271867615,0.5092198581560284
SB025,2010,5,4,1,0.8,0.3604041550540061,1.8020207752700304
SB025,2011,4,4,0,1.0,0.6532441930355912,2.612976772142365
SB025,2012,7,5,2,0.7142857142857143,0.21063805978647826,1.4744664185053478
SB025,2013,7,5,2,0.7142857142857143,0.17209852792993438,1.2046896955095407
SB025,2014,3,1,2,0.3333333333333333,-0.3956639566395664,-1.1869918699186992
SB025,2015,7,7,0,1.0,0.715171448241122,5.006200137687854
SB025,2016,6,3,3,0.5,-0.16434024813147735,-0.9860414887888641
SB025,2017,2,2,0,1.0,0.7270168855534709,1.4540337711069418
SB025,2018,6,4,2,0.6666666666666666,0.09897246521222752,0.5938347912733651
SB025,2019,8,6,2,0.75,0.25896917431400235,2.071753394512019
SB025,2020,4,3,1,0.75,0.23353991207161398,0.9341596482864559
SB025,2021,6,4,2,0.6666666666666666,0.0990098368550545,0.594059021130327
SB025,2022,6,3,3,0.5,-0.1734655588314125,-1.040793352988475
SB025,2023,5,5,0,1.0,0.6407805655117482,3.2039028275587413
SB025,2024,9,6,3,0.6666666666666666,0.11001924736864499,0.9901732263178049
SB025,2025,8,7,1,0.875,0.4505931634445691,3.604745307556553
