family,feature,op,threshold,score,train_risk_n,train_risk_roi,train_safe_n,train_safe_roi,validation_risk_n,validation_risk_roi,validation_safe_n,validation_safe_roi,train_improvement,validation_improvement,train_loss_lift,validation_loss_lift
C02,edge_season_gdpg,>=,0.059587813620071706,0.2009979536558563,19,-0.018947368421052647,35,0.4402857142857143,10,-0.11699999999999999,27,0.53,0.1615820105820106,0.1748648648648649,0.11890838206627685,0.22162162162162158
C02,edge_venue5_ppg,<=,0.0,0.1961855220605221,14,0.09285714285714285,40,0.34375,13,-0.1292307692307692,24,0.6175,0.06504629629629632,0.26236486486486493,0.09259259259259256,0.23700623700623702
C02,opp_last10_gdpg,>=,0.5400000000000006,0.19431099112059547,11,-0.23636363636363636,43,0.41046511627906984,7,-0.35714285714285715,30,0.5213333333333333,0.13176141257536617,0.1661981981981982,0.2289562289562289,0.3359073359073359
C02,edge_season_xgfpg,>=,0.19319870417732285,0.16675936640914088,19,0.012631578947368409,35,0.4231428571428571,9,-0.04222222222222226,28,0.48285714285714293,0.14443915343915342,0.1277220077220078,0.11890838206627685,0.17717717717717718
C02,elo_edge,<=,-54.361500000000106,0.16136174664672984,19,0.047368421052631574,35,0.40428571428571425,17,0.1829411764705882,20,0.5015,0.12558201058201057,0.14636486486486483,0.11890838206627685,0.09220985691573924
C02,opp_season_gdpg,>=,0.43161290322580664,0.1560410454502149,11,-0.18636363636363631,43,0.39767441860465114,9,-0.014444444444444433,28,0.4739285714285714,0.11897071490094746,0.1187934362934363,0.2289562289562289,0.17717717717717718
C02,opp_season_ppg,>=,1.6800000000000002,0.109494032186862,11,-0.01181818181818181,43,0.3530232558139535,10,0.125,27,0.4403703703703703,0.07431955211024982,0.08523523523523518,0.13804713804713797,0.1216216216216216
C03,opp_season_gdpg,>=,0.3811688311688312,0.3361939287668372,16,-0.16374999999999995,29,0.4334482758620689,14,-0.06714285714285714,17,0.8035294117647059,0.21233716475095782,0.3932068311195447,0.18055555555555558,0.21658986175115202
C03,opp_last10_gdpg,>=,0.46000000000000013,0.33082263541321283,16,-0.31999999999999995,29,0.5196551724137931,13,0.004615384615384619,18,0.7033333333333333,0.298544061302682,0.293010752688172,0.24305555555555558,0.18362282878411906
C03,sel_last5_gdpg,>=,0.0,0.2817081315534966,20,-0.12799999999999997,25,0.5004,11,0.005454545454545459,20,0.633,0.27928888888888886,0.22267741935483876,0.15555555555555556,0.19061583577712604
