method_id,window,week_lo,week_hi,selected_preholdout,confirmed_holdout,pre_score,train_risk_n,train_risk_win_pct,train_risk_roi,train_safe_roi,validation_risk_n,validation_risk_win_pct,validation_risk_roi,validation_safe_roi,holdout_risk_n,holdout_risk_win_pct,holdout_risk_roi,holdout_safe_roi,holdout_retained_share
RS002,W10_11,10,11,False,False,-0.16737196234256546,12,0.5833333333333334,0.38833333333333325,0.546875,5,0.8,0.768,0.3757142857142857,6,0.6666666666666666,0.6116666666666668,0.47193548387096773,0.8378378378378378
RS002,W11_12,11,12,False,False,-0.27195892795039917,7,0.7142857142857143,0.7928571428571428,0.4784905660377358,4,0.75,0.7125,0.4166666666666667,6,0.6666666666666666,0.6016666666666667,0.4738709677419355,0.8378378378378378
RS002,W15_16,15,16,False,False,-0.7791654314563329,11,0.7272727272727273,0.8790909090909093,0.4334693877551021,4,1.0,1.45,0.22000000000000006,5,0.8,0.9019999999999999,0.4309375,0.8648648648648649
RS003,W4_6,4,6,False,False,0.3605263490786025,19,0.5263157894736842,0.24157894736842103,0.4281666666666667,11,0.45454545454545453,0.05,0.44892857142857145,13,0.6153846153846154,0.5107692307692309,0.3368627450980392,0.796875
RS003,W7_10,7,10,False,False,-0.138488561507227,25,0.56,0.41319999999999996,0.3694444444444444,12,0.6666666666666666,0.5141666666666667,0.2574074074074075,17,0.6470588235294118,0.48411764705882354,0.33170212765957446,0.734375
RS003,W11_14,11,14,False,False,0.26523151617252344,21,0.5238095238095238,0.3123809523809524,0.4089655172413793,10,0.5,0.10499999999999998,0.4162068965517242,19,0.42105263157894735,-0.014736842105263182,0.5355555555555556,0.703125
RS003,W15_18,15,18,False,False,-0.4417447491362961,14,0.6428571428571429,0.6285714285714287,0.3304615384615385,6,0.8333333333333334,0.8916666666666667,0.23545454545454544,15,0.6666666666666666,0.6153333333333334,0.29775510204081634,0.765625
RS003,W4,4,4,False,False,-0.253994007238741,8,0.625,0.555,0.363943661971831,4,0.75,0.785,0.28514285714285714,6,0.8333333333333334,1.0316666666666667,0.30396551724137927,0.90625
RS003,W5,5,5,True,True,0.6437082818252096,7,0.42857142857142855,-0.017142857142857158,0.4222222222222222,4,0.25,-0.4625,0.42771428571428566,3,0.3333333333333333,-0.16666666666666666,0.39868852459016396,0.953125
RS003,W6,6,6,False,False,0.4258381177143676,4,0.5,0.0675,0.40013333333333334,3,0.3333333333333333,-0.24666666666666667,0.385,4,0.5,0.23750000000000004,0.3811666666666667,0.9375
RS003,W11,11,11,False,False,0.028223484150271066,8,0.5,0.29374999999999996,0.3933802816901408,3,0.6666666666666666,0.42333333333333334,0.3291666666666667,6,0.5,0.2616666666666667,0.3836206896551724,0.90625
RS003,W12,12,12,False,False,0.023289994322415047,8,0.5,0.25125000000000003,0.39816901408450706,3,0.6666666666666666,0.54,0.3194444444444444,5,0.8,0.796,0.3362711864406779,0.921875
RS003,W17,17,17,False,False,-0.1942808435305526,3,0.3333333333333333,-0.22666666666666666,0.4073684210526316,3,1.0,1.2866666666666668,0.25722222222222224,5,0.4,-0.148,0.41627118644067795,0.921875
RS003,W4_5,4,5,False,False,0.2211630265898915,15,0.5333333333333333,0.288,0.40562500000000007,8,0.5,0.16125,0.38161290322580643,9,0.6666666666666666,0.6322222222222222,0.32963636363636356,0.859375
RS003,W5_6,5,6,True,True,0.6631430957995923,11,0.45454545454545453,0.013636363636363629,0.4430882352941176,7,0.2857142857142857,-0.37,0.4909375,7,0.42857142857142855,0.06428571428571431,0.41,0.890625
RS003,W6_7,6,7,False,False,0.043205536094148816,9,0.5555555555555556,0.2644444444444444,0.3985714285714286,5,0.6,0.38599999999999995,0.32911764705882357,10,0.6,0.399,0.36722222222222217,0.84375
RS003,W8_9,8,9,False,False,0.0866683389388061,13,0.6923076923076923,0.7738461538461539,0.3063636363636364,5,0.4,-0.11799999999999997,0.4032352941176471,9,0.6666666666666666,0.5655555555555556,0.3405454545454545,0.859375
RS003,W10_11,10,11,False,False,0.032737287342579524,15,0.4,0.03399999999999997,0.46515624999999994,8,0.75,0.67,0.2503225806451613,8,0.5,0.20875000000000005,0.39553571428571427,0.875
RS003,W11_12,11,12,False,False,0.02244409027288239,16,0.5,0.27249999999999996,0.41142857142857137,6,0.6666666666666666,0.48166666666666663,0.31,11,0.6363636363636364,0.5045454545454546,0.34471698113207544,0.828125
RS003,W12_13,12,13,False,False,0.16910130477655755,11,0.5454545454545454,0.36181818181818187,0.3867647058823529,4,0.5,0.15499999999999997,0.35714285714285715,10,0.5,0.11499999999999999,0.41981481481481486,0.84375
RS003,W13_14,13,14,False,False,0.43007869097527973,5,0.6,0.44000000000000006,0.3794594594594594,4,0.25,-0.46,0.42742857142857144,8,0.125,-0.72875,0.5294642857142857,0.875
RS003,W14_15,14,15,False,False,0.1343233611902889,7,0.5714285714285714,0.46142857142857135,0.3756944444444444,4,0.5,0.1499999999999999,0.3577142857142857,8,0.375,-0.10749999999999998,0.4407142857142857,0.875
RS003,W16_17,16,17,False,False,-0.3749980119917523,9,0.6666666666666666,0.6444444444444445,0.34971428571428564,5,0.8,0.782,0.27088235294117646,7,0.5714285714285714,0.35571428571428576,0.37421052631578944,0.890625
