org_group,event_date,event_name,fighter_1,fighter_2,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,best_odds,best_book,books,won,profit,bfo_event,bfo_href
PFL,2021-06-17,Professional Fighters League - PFL 5: 2021 Regular Season,Cory Hendricks,Marthin Hamlet,Marthin Hamlet,Cory Hendricks,29.443451953154412,33.10403362149805,3.660581668343635,0.736842105263158,-265,FanDuel,3,False,-50.0,PFL 2021 5,/events/pfl-2021-5-2175
PFL,2022-02-18,Professional Fighters League - PFL Challenger Series 1,Joshua Silveira,Mohamed Juma,Joshua Silveira,Mohamed Juma,29.15049590340664,26.842440296515328,-2.308055606891312,0.873821609862219,-720,FanDuel,3,True,6.944444444444445,PFL Challenger Series 1,/events/pfl-challenger-series-1-2438
PFL,2022-02-18,Professional Fighters League - PFL Challenger Series 1,Taylor Johnson,Alexander Poppeck,Taylor Johnson,Alexander Poppeck,31.27784964783671,29.87056544624462,-1.4072842015920912,0.609708848498661,-174,FanDuel,3,True,28.735632183908045,PFL Challenger Series 1,/events/pfl-challenger-series-1-2438
PFL,2022-02-18,Professional Fighters League - PFL Challenger Series 1,Karl Williams,Miles Amos,Karl Williams,Miles Amos,32.11838709898218,32.247068728310644,0.1286816293284616,0.5263157894736842,-120,Caesars,3,True,41.66666666666667,PFL Challenger Series 1,/events/pfl-challenger-series-1-2438
PFL,2022-02-25,Professional Fighters League - PFL Challenger Series 2,Chris Mixan,Nathan Pierce,Chris Mixan,Nathan Pierce,23.250306303346406,29.347625207909815,6.097318904563409,0.6556291390728477,-200,FanDuel,3,True,25.0,PFL Challenger Series 2,/events/pfl-challenger-series-2-2449
PFL,2022-02-25,Professional Fighters League - PFL Challenger Series 2,Dilano Taylor,Mark Martin,Dilano Taylor,Mark Martin,25.049111206937855,28.460543337645536,3.4114321307076807,0.5823739579198094,-150,Caesars,3,True,33.33333333333333,PFL Challenger Series 2,/events/pfl-challenger-series-2-2449
PFL,2022-02-25,Professional Fighters League - PFL Challenger Series 2,Jarrah Al-Silawi,Michael Lilly,Jarrah Al-Silawi,Michael Lilly,29.667960327727467,32.923331759036806,3.2553714313093387,0.849948258020007,-770,FanDuel,3,True,6.493506493506493,PFL Challenger Series 2,/events/pfl-challenger-series-2-2449
PFL,2022-03-04,Professional Fighters League - PFL Challenger Series 3,Martina Jindrova,Jacqueline Cavalcanti,Jacqueline Cavalcanti,Martina Jindrova,24.51248143356811,31.102623599389446,6.590142165821337,0.5,-104,FanDuel,4,False,-50.0,PFL Challenger Series 3,/events/pfl-challenger-series-3-2459
PFL,2022-03-04,Professional Fighters League - PFL Challenger Series 3,Michelle Montague,Olivia Parker,Michelle Montague,Olivia Parker,28.27162775416333,40.10212393136067,11.830496177197343,0.7901030603414365,-450,Caesars,4,True,11.11111111111111,PFL Challenger Series 3,/events/pfl-challenger-series-3-2459
PFL,2022-03-11,Professional Fighters League - PFL Challenger Series 4,Reinaldo Ekson,Mike Barnett,Reinaldo Ekson,Mike Barnett,33.008206876253446,32.7097750124917,-0.2984318637617491,0.73801039780361,-350,BetMGM,4,True,14.285714285714285,PFL Challenger Series 4,/events/pfl-challenger-series-4-2465
