track,band,venue,concept,conditions,n,wins,win_pct,roi,train_n,train_roi,val_n,val_roi,hold_n,hold_roi,positive_season_ratio,recent_delta,preferred,score
LONG,FAV65_75,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.4127370564281559], [""rank_edge_fg_accuracy"", ""<="", 1.0]]",92,72,0.782608695652174,0.13705672903006189,31,0.07768575164968226,27,0.1867559027412236,34,0.15172209987095603,0.7,0.019501272675503084,True,0.3036112892292542
LONG,FAV55_65,AWAY,RUN,"[[""recent3_run_rate2"", ""<="", 0.410336189848385], [""rank_edge_points_for"", ""<="", 1.0]]",71,50,0.704225352112676,0.17545191624597592,21,0.18939973030199117,19,0.16072342843193735,31,0.175030534739215,0.65,-3.104462774924932e-05,True,0.300291249587703
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.457134278164785]]",304,99,0.3256578947368421,0.14335526315789474,155,0.10541935483870965,72,0.16694444444444448,77,0.19766233766233765,0.7,0.061480438020760586,True,0.2796490102578048
LONG,DOG35_49,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.462580750311148], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -10.5]]",74,49,0.6621621621621622,0.5822972972972973,29,0.4531034482758621,12,0.9,33,0.5803030303030303,0.7368421052631579,-0.09624869383490076,False,0.5323436010916047
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.457134278164785], [""recent_edge_giveaway_rate"", "">="", 0.0090715033196651]]",76,37,0.4868421052631579,0.6823684210526316,48,0.6291666666666668,17,0.9417647058823531,11,0.5136363636363637,0.631578947368421,-0.2718293226381463,False,0.4839557416267943
LONG,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4476493111406392], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -8.0]]",73,46,0.6301369863013698,0.5083561643835617,25,0.6639999999999999,17,0.36294117647058816,31,0.4625806451612903,0.6842105263157895,-0.050889943074003685,False,0.4683549588411778
MODERN,PK_55,ANY,RUN,"[[""recent3_run_rate2"", ""<="", 0.37951652764905774], [""rank_edge_rush_epa_per_carry"", ""<="", -11.75]]",82,56,0.6829268292682927,0.35376245970716497,35,0.36580745345818827,10,0.8235499283325369,20,0.4529727763714152,0.85,-0.14170591452394743,False,0.45326281740436025
LONG,DOG35_44,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.46278341636016573], [""recent_edge_punt_net_average"", "">="", 3.636002886002888]]",80,48,0.6,0.5428750000000001,43,0.5665116279069766,10,0.775,27,0.41925925925925933,0.7368421052631579,-0.25149655469422905,False,0.4512501340155946
LONG,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.457134278164785], [""rank_edge_kick_return_average"", ""<="", -9.0]]",76,30,0.39473684210526316,0.38105263157894737,35,0.39999999999999997,21,0.19619047619047617,20,0.542,0.5263157894736842,0.24390476190476196,False,0.43944000000000005
LONG,DOG35_44,AWAY,ROAD3,"[[""road_prev5_ge3"", "">="", 1.0], [""recent_edge_punt_return_average"", "">="", 4.966666666666667]]",46,27,0.5869565217391305,0.46630434782608704,19,0.4468421052631578,11,0.5909090909090909,16,0.40375,0.7058823529411765,-0.11512559808612438,False,0.430681881967474
LONG,DOG35_44,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.46278341636016573], [""rank_edge_def_allowed_explosive_rate"", "">="", 7.0]]",75,40,0.5333333333333333,0.3489333333333333,36,0.40166666666666667,14,0.06357142857142858,25,0.4328,0.6,0.2001809523809524,False,0.4250626666666667
LONG,DOG35_44,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.44679741554741553], [""recent_edge_punt_net_average"", "">="", 3.636002886002888]]",93,55,0.5913978494623656,0.5095698924731182,50,0.5396,15,0.6726666666666666,28,0.3685714285714286,0.7,-0.2375619047619047,False,0.41847511520737324
LONG,DOG35_49,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.462580750311148], [""rank_edge_def_allowed_early_down_epa"", ""<="", -10.0]]",96,59,0.6145833333333334,0.46937499999999993,37,0.6786486486486486,25,0.35479999999999995,34,0.32588235294117646,0.7894736842105263,-0.1908419713831478,False,0.41616971683680587
LONG,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4476493111406392], [""recent_edge_third_down_success"", "">="", 0.0844017094017093]]",80,47,0.5875,0.394625,36,0.4769444444444444,18,0.23944444444444443,26,0.3880769230769231,0.631578947368421,0.02988247863247867,False,0.4117913770805219
LONG,DOG35_44,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.46563781414931504], [""rank_edge_third_down_success"", "">="", 1.0]]",83,50,0.6024096385542169,0.49481927710843376,35,0.7937142857142857,16,0.335625,32,0.2475,0.8,-0.31716964285714283,False,0.3971457831325302
LONG,DOG35_49,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.462580750311148], [""recent_edge_punt_return_average"", "">="", 4.1111111111111125]]",104,63,0.6057692307692307,0.4222115384615384,44,0.5881818181818181,29,0.32241379310344825,31,0.27999999999999997,0.8,-0.17529780564263325,False,0.3929410929587654
LONG,DOG35_44,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.46278341636016573], [""recent_edge_third_down_success"", "">="", 0.0685915449073343]]",75,41,0.5466666666666666,0.3568,35,0.5119999999999999,16,0.18,24,0.24833333333333338,0.8421052631578947,-0.0976666666666666,False,0.3790577192982457
MODERN,DOG20_34,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.42857142857142855], [""rank_edge_point_margin"", "">="", -4.0]]",157,63,0.4012738853503185,0.3651592356687898,38,0.5484210526315789,18,0.30444444444444446,31,0.284516129032258,0.85,-0.14191661950575374,False,0.3740131982068039
MODERN,DOG35_49,AWAY,RUN,"[[""pre_run_rate2"", "">="", 0.4449241924851681], [""recent_edge_third_down_success"", "">="", 0.0056869300290353]]",164,96,0.5853658536585366,0.38182926829268293,41,0.4697560975609756,18,0.3222222222222222,48,0.26895833333333335,0.75,-0.12703082655826553,False,0.37354656165311656
LONG,DOG35_44,ANY,RUN,"[[""recent3_run_rate2"", ""<="", 0.3828688191694588], [""recent_edge_rush_epa_per_carry"", "">="", 0.100663328779531]]",83,45,0.5421686746987951,0.36108433734939754,26,0.42,35,0.3019999999999999,22,0.3854545454545455,0.5,0.024454545454545562,False,0.3710124972617744
LONG,DOG35_44,ANY,RUN,"[[""pre_run_rate2"", "">="", 0.46278341636016573], [""rank_edge_punt_return_average"", "">="", 9.0]]",85,50,0.5882352941176471,0.46094117647058824,41,0.657560975609756,18,0.3294444444444445,26,0.24192307692307694,0.7222222222222222,-0.2515796331040233,False,0.36991865258924084
LONG,DOG35_44,AWAY,RUN,"[[""recent3_run_rate2"", "">="", 0.4767659756155415], [""rank_edge_punt_return_average"", "">="", 0.0]]",100,55,0.55,0.3723,44,0.5536363636363636,25,0.1856,31,0.26548387096774195,0.75,-0.10413431085043984,False,0.36949237829912024
