event_date,year,event_name,fighter_1,fighter_2,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,best_odds,best_book,book_count,won,profit,event_match_score,fight_match_score,bfo_event,bfo_href
2025-10-25,2025,UFC 321 - Aspinall vs. Gane,Jose Delgado,Nathaniel Wood,Jose Delgado,Nathaniel Wood,27.513227513227513,32.22242756524775,4.709200052020236,0.5788611224907825,-150,BetWay,6,False,-50.0,85.5,100.0,UFC 321 Odds,/events/ufc-321-odds-3780
2025-10-25,2025,UFC 321 - Aspinall vs. Gane,Hamdy Abdelwahab,Chris Barnett,Hamdy Abdelwahab,Chris Barnett,32.75631943161051,39.36562694648076,6.6093075148702525,0.7845082313212326,-430,FanDuel,6,True,11.627906976744185,85.5,100.0,UFC 321 Odds,/events/ufc-321-odds-3780
2025-10-25,2025,UFC 321 - Aspinall vs. Gane,Mitch Raposo,Azat Maksum,Azat Maksum,Mitch Raposo,30.727530339432022,27.025880065983557,-3.7016502734484646,0.8015122873345936,-455,BetWay,6,False,-50.0,85.5,100.0,UFC 321 Odds,/events/ufc-321-odds-3780
2025-11-15,2025,UFC 322 - Della Maddalena vs. Makhachev,Sean Brady,Michael Morales,Sean Brady,Michael Morales,32.978089899176574,26.3961614543762,-6.581928444800372,0.5689655172413792,-138,BetWay,6,False,-50.0,90.0,100.0,UFC 322,/events/ufc-322-3830
2025-11-15,2025,UFC 322 - Della Maddalena vs. Makhachev,Jack Della Maddalena,Islam Makhachev,Islam Makhachev,Jack Della Maddalena,34.054087352923055,29.180612880483515,-4.87347447243954,0.7237154550701141,-300,BetMGM,6,True,16.666666666666664,90.0,100.0,UFC 322,/events/ufc-322-3830
2025-11-15,2025,UFC 322 - Della Maddalena vs. Makhachev,Carlos Prates,Leon Edwards,Carlos Prates,Leon Edwards,32.247068728310644,34.22657549436333,1.9795067660526868,0.59675438955511,-154,FanDuel,6,True,32.467532467532465,90.0,100.0,UFC 322,/events/ufc-322-3830
2025-12-06,2025,UFC 323 - Dvalishvili vs. Yan 2,Mansur Abdul-Malik,Antonio Trocoli,Mansur Abdul-Malik,Antonio Trocoli,28.16484938089078,35.00140317734108,6.836553796450303,0.8961327134404058,-1250,BetRivers,6,True,4.0,90.0,100.0,UFC 323,/events/ufc-323-3951
2026-01-24,2026,UFC 324 - Gaethje vs. Pimblett,Adam Fugitt,Ty Cole Miller,Ty Cole Miller,Adam Fugitt,25.640499120447373,37.032930176526555,11.392431056079182,0.802126128067143,-420,FanDuel,6,True,11.904761904761903,90.0,89.13043478260869,UFC 324,/events/ufc-324-3973
2026-01-24,2026,UFC 324 - Gaethje vs. Pimblett,Josh Hokit,Denzel Freeman,Josh Hokit,Denzel Freeman,28.200442171981628,34.20741014531441,6.0069679733327845,0.6917774239040442,-225,BetWay,6,True,22.22222222222222,90.0,100.0,UFC 324,/events/ufc-324-3973
2026-03-07,2026,UFC 326 - Holloway vs. Oliveira 2,Rafael Tobias,Diyar Nurgozhay,Rafael Tobias,Diyar Nurgozhay,22.965563974619602,28.8739672957008,5.908403321081199,0.609708848498661,-174,FanDuel,5,False,-50.0,90.0,100.0,UFC 326,/events/ufc-326-4065
