event_date,favorite,opponent,market_prob,won,fight_method,fight_round,fav_age,dog_age,age_gap,reach_gap,height_gap,f_fights,o_fights,f_win_pct,o_win_pct,f_last3,o_last3,f_last5,o_last5,f_layoff,o_layoff,f_sig_diff_pm,o_sig_diff_pm,f_sig_def,o_sig_def,f_td_l15,o_td_l15,f_td_a15,o_td_a15,f_td_def,o_td_def,f_sub15,o_sub15,f_ctrl15,o_ctrl15,f_ctrl_allowed15,o_ctrl_allowed15,f_ground_l15,o_ground_l15,f_finish_win_pct,o_finish_win_pct,f_finish_loss_pct,o_finish_loss_pct,style_danger_score,division
2017-02-11,Glover Teixeira,Jared Cannonier,0.6690070210631895,True,Decision - Unanimous,3,37.29303134219046,32.909642224001864,-4.383389118188596,-1.0,3.0,8,3,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,175,70,1.4910745537276864,1.257050765511684,0.617283950617284,0.6698113207547169,3.1501575078753934,0.0,5.670283514175709,1.4504431909750202,0.6086956521739131,0.4,1.2600630031501574,0.0,6.142807140357019,2.3569701853344083,3.265663283164158,3.976631748589847,38.4319215960798,7.977437550362611,1.0,0.5,0.5,1.0,1,Light Heavyweight
2017-10-21,Andre Fili,Artem Lobov,0.6115107913669064,True,Decision - Unanimous,3,27.324311929745303,31.19571243762705,3.8714005078817486,9.0,2.0,8,3,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,84,182,0.6518960374946741,-1.945454545454545,0.5852372583479789,0.4293015332197615,2.3008095440988496,0.8181818181818181,5.368555602897316,2.454545454545454,0.5555555555555556,0.6428571428571428,0.1917341286749041,0.0,2.9015764806135493,1.6318181818181814,3.297827013208352,1.2727272727272725,8.436301661695783,1.3636363636363635,0.5,0.0,0.75,0.0,0,Featherweight
2017-11-11,Raphael Assuncao,Matthew Lopez,0.7634625062908907,True,KO/TKO,3,35.31626248314476,30.80692964263469,-4.509332840510073,-3.0,-2.0,10,3,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,161,161,1.313012895662368,0.0,0.706618962432916,0.4387096774193548,0.9378663540445488,3.2541322314049586,3.751465416178194,3.71900826446281,0.8148148148148149,0.6,0.1172332942555685,1.3946280991735538,1.3051973427119967,5.87293388429752,0.5568581477139508,4.517045454545455,3.751465416178194,24.173553719008265,0.125,0.5,0.5,1.0,4,Bantamweight
2018-02-10,Ross Pearson,Mizuto Hirota,0.5962732919254659,True,Decision - Unanimous,3,33.375086415189905,36.770091103855655,3.3950046886657503,2.0,1.0,20,3,0.45,0.3333333333333333,0.0,0.3333333333333333,0.2,0.3333333333333333,245,245,-0.4356761200164405,0.4666666666666667,0.6377373111197211,0.4903047091412742,0.9247842170160296,2.0,1.972872996300863,4.333333333333333,0.7402597402597403,0.5714285714285714,0.0,0.0,1.0008220304151252,3.3944444444444444,2.2492807233867658,2.694444444444444,1.6646115906288532,10.666666666666666,0.4444444444444444,0.0,0.3636363636363636,0.0,3,Lightweight
2018-11-30,Tim Means,Ricky Rainey,0.745958429561201,True,KO/TKO,1,34.77689480276803,35.42304085641731,0.6461460536492822,-2.0,1.0,11,1,0.4545454545454545,0.0,0.3333333333333333,0.0,0.4,0.0,300,230,1.3206046141607,-0.6521739130434783,0.6446700507614214,0.4791666666666666,0.5966587112171837,0.0,1.0739856801909309,1.6304347826086958,0.540983606557377,1.0,0.2386634844868735,0.0,1.1535401750198886,0.1358695652173913,3.1503579952267304,0.5434782608695652,6.324582338902148,0.0,0.8,,0.1666666666666666,1.0,0,Welterweight
2018-12-08,Chad Laprise,Dhiego Lima,0.7727272727272727,False,KO/TKO,1,32.37848826464609,29.851400097195697,-2.5270881674503904,-4.0,-4.0,8,1,0.625,0.0,0.6666666666666666,0.0,0.6,0.0,203,1302,1.0549132947976878,-4.941176470588235,0.6541554959785523,0.6666666666666667,1.300578034682081,0.0,2.384393063583815,0.0,0.8,,0.0,0.0,2.619219653179191,0.0,0.4371387283236994,2.117647058823529,6.936416184971098,0.0,0.6,,0.6666666666666666,1.0,0,Welterweight
2019-02-02,Demian Maia,Lyman Good,0.6428571428571429,True,Submission,1,41.24109324626789,33.689945720993585,-7.5511475252743026,-2.0,1.0,16,3,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,259,91,-0.0611668757841907,1.1530815109343937,0.6276303751143641,0.6607669616519174,3.105395232120451,0.5964214711729622,10.51599749058971,0.5964214711729622,0.5,0.8571428571428572,0.9880803011292344,0.0,7.317675658720199,0.6759443339960238,1.3256744040150563,1.003976143141153,13.197929736511917,7.753479125248508,0.4166666666666667,1.0,0.0,0.0,1,Welterweight
2019-09-14,Louis Smolka,Ryan MacDonald,0.6690070210631895,True,KO/TKO,1,28.16484938089078,26.4919881996208,-1.6728611812699796,-3.0,-2.0,12,1,0.5,0.0,0.3333333333333333,0.0,0.2,0.0,189,175,0.553309752400202,-3.6,0.5236051502145922,0.4297520661157025,1.705406771096513,0.0,4.888832743810004,3.0,0.3090909090909091,,2.160181910055583,0.0,4.932415361293581,0.7833333333333333,4.458691258211216,0.1333333333333333,22.28398180899444,0.0,0.6666666666666666,,0.3333333333333333,0.0,0,Bantamweight
2019-09-28,Alex Oliveira,Nicolas Dalby,0.5882115462252726,False,Decision - Unanimous,3,31.600922674661355,34.864507826991655,3.2635851523303003,2.0,0.0,13,3,0.6153846153846154,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,154,1120,1.1457455770850884,-0.8666666666666667,0.4525252525252525,0.5863013698630137,2.527379949452401,2.0,6.3184498736310015,4.0,0.5862068965517242,0.6,0.6318449873631002,0.0,5.583403538331929,1.6055555555555554,3.831086773378264,4.833333333333332,12.131423757371524,1.6666666666666663,0.875,0.0,0.8,0.0,1,Welterweight
2020-02-15,Devin Clark,Dequan Townsend,0.7727272727272727,True,Decision - Unanimous,3,29.84592428318172,33.76660711718927,3.920682834007547,-4.0,-3.0,8,1,0.5,0.0,0.3333333333333333,0.0,0.4,0.0,126,231,0.3924677898909812,-1.7757009345794394,0.4449648711943794,0.2558139534883721,3.032705649157582,0.0,7.670961347869177,0.0,0.8,0.3333333333333333,0.1783944499504459,0.0,5.589692765113974,0.0467289719626168,2.994053518334985,10.817757009345796,11.060455896927651,4.205607476635515,0.0,,1.0,1.0,1,Light Heavyweight
