family,rule,n,wins,win_rate,roi,profit100,pre2020_n,pre2020_roi,recent_n,recent_roi,existing_overlap
RING_RUST_EDGE,mkt 0.550-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,86,52,0.6046511627906976,-0.03826621480998886,-329.0894473659042,41,-0.17626972087078724,45,0.08747031293429411,0.08139534883720931
RING_RUST_EDGE,mkt 0.600-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,238,157,0.6596638655462185,-0.06333888721712551,-1507.4655157675872,114,-0.0768984978487392,124,-0.05087279357193228,0.31932773109243695
RING_RUST_EDGE,mkt 0.600-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,255,172,0.6745098039215687,-0.05363951556726579,-1367.8076469652776,121,-0.06934397035815572,134,-0.0394586272859398,0.34901960784313724
RING_RUST_EDGE,mkt 0.625-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,115,70,0.6086956521739131,-0.11391430817984019,-1310.0145440681622,46,-0.10753365420795566,69,-0.11816807749442988,0.19130434782608696
RING_RUST_EDGE,mkt 0.625-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,144,96,0.6666666666666666,-0.04965627288891602,-715.0503296003907,60,-0.06800607982185375,84,-0.03654926793681764,0.2638888888888889
RING_RUST_EDGE,mkt 0.625-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,174,117,0.6724137931034483,-0.055565560825710965,-966.8407583673708,79,-0.07616139448041971,95,-0.038438499154953135,0.3505747126436782
RING_RUST_EDGE,mkt 0.625-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,194,132,0.6804123711340206,-0.0544653271886407,-1056.6273474596296,91,-0.07092666638663259,103,-0.03992181391662842,0.3917525773195876
RING_RUST_EDGE,mkt 0.625-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,211,147,0.6966824644549763,-0.04345826913067869,-916.9694786573203,98,-0.0620256969363688,113,-0.027355544131053625,0.4218009478672986
RING_RUST_EDGE,mkt 0.650-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,76,47,0.618421052631579,-0.11750701183366519,-893.0532899358554,29,-0.057778158129046464,47,-0.1543609853960895,0.2894736842105263
RING_RUST_EDGE,mkt 0.650-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,105,73,0.6952380952380952,-0.02838943575886516,-298.08907546808416,43,-0.01882286701133984,62,-0.03502431408376174,0.3619047619047619
RING_RUST_EDGE,mkt 0.650-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,135,94,0.6962962962962963,-0.04073181512852325,-549.8795042350639,62,-0.04428659122789592,73,-0.03771269022220674,0.45185185185185184
RING_RUST_EDGE,mkt 0.650-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,155,109,0.7032258064516129,-0.04126878021466599,-639.6660933273229,74,-0.04301817747783721,81,-0.03967056543102808,0.49032258064516127
RING_RUST_EDGE,mkt 0.650-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,172,124,0.7209302325581395,-0.029070245611919385,-500.0082245250134,81,-0.0346609480486485,91,-0.02409390608032534,0.5174418604651163
RING_RUST_EDGE,mkt 0.550-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,250,151,0.604,-0.06477182761986412,-1619.2956904966031,110,-0.11036275600578392,140,-0.02895038388807002,0.096
RING_RUST_EDGE,mkt 0.550-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,281,178,0.6334519572953736,-0.03873168160168146,-1088.360253007249,124,-0.09091709561597981,157,0.0024848237344522657,0.1494661921708185
RING_RUST_EDGE,mkt 0.550-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,312,199,0.6378205128205128,-0.04615867569789195,-1440.1506817742288,143,-0.09237835825890511,169,-0.007049713530880825,0.20833333333333334
RING_RUST_EDGE,mkt 0.550-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=300,335,217,0.6477611940298508,-0.043241434761709885,-1448.588064517281,157,-0.08351571606713089,178,-0.007718613610299225,0.24477611940298508
