combo,size,n,wins,losses,win_rate,roi,lift,pre_n,pre_roi,recent_n,recent_roi,removed_n,removed_losses,removed_roi,t1_roi,t2_roi,t3_roi
ctrl_allowed3 & recent5_under500 & finish_vuln40,3,39,36,3,0.9230769230769231,0.37053473491471944,0.034054680088354716,17,0.4820689021082398,22,0.28434924208336276,2,1,-0.32758620689655177,0.48779008308350785,0.4566484311244641,0.16716569053618635
neg_strike & kd_abs050,2,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
tdd_under60 & kd_abs050,2,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
ctrl_allowed3 & kd_abs050,2,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
neg_strike & tdd_under60 & kd_abs050,3,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
neg_strike & ctrl_allowed3 & recent5_under500,3,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
neg_strike & ctrl_allowed3 & kd_abs050,3,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
neg_strike & recent5_under500 & kd_abs050,3,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
neg_strike & finish_vuln40 & kd_abs050,3,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
tdd_under60 & ctrl_allowed3 & kd_abs050,3,40,37,3,0.925,0.36989205619702387,0.03341200137065914,18,0.4744443845581652,22,0.28434924208336276,1,1,-1.0,0.48087046596898814,0.45736002295538997,0.1856204208474314
