family,rule,n,wins,win_rate,roi,profit100,pre2020_n,pre2020_roi,recent_n,recent_roi,existing_overlap,worst_era_roi,novelty,score
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.775; fav_fights>=8; opp_fights<=3; career_gap>=0.05,52,45,0.8653846153846154,0.26345641155737193,1369.9733400983341,24,0.2829442228824996,28,0.24675257327869113,0.1346153846153846,0.24675257327869113,0.8653846153846154,0.3649238557853098
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.775; fav_fights>=8; opp_fights<=4; career_gap>=0.05,75,60,0.8,0.1821141042768637,1365.8557820764777,36,0.20234299458084495,39,0.16344128245780407,0.13333333333333333,0.16344128245780407,0.8666666666666667,0.25318121895470636
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.750; fav_fights>=8; opp_fights<=4; career_gap>=0.05,71,57,0.8028169014084507,0.1952184475030525,1386.0509772716728,34,0.23570816278353374,37,0.15801168211017785,0.11267605633802817,0.15801168211017785,0.8873239436619719,0.2529578570461054
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.775; fav_fights>=8; opp_fights<=4; career_gap>=0.00,81,65,0.8024691358024691,0.1772951023655309,1436.0903291608001,37,0.19163248326939522,44,0.16523866842364496,0.16049382716049382,0.16523866842364496,0.8395061728395061,0.252477139436766
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.750; fav_fights>=8; opp_fights<=4; career_gap>=0.00,76,61,0.8026315789473685,0.18791006714098527,1428.116510271488,34,0.22171886676036123,42,0.16054103887768095,0.13157894736842105,0.16054103887768095,0.868421052631579,0.25236219395597315
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.800; fav_fights>=10; opp_fights<=6; career_gap>=0.00,67,54,0.8059701492537313,0.18737674609032842,1255.4241988052004,31,0.16026190388443443,36,0.21072563798984828,0.14925373134328357,0.16026190388443443,0.8507462686567164,0.25136615307575083
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.600-0.700; fav_fights>=8; opp_fights<=5; career_gap>=0.00,52,41,0.7884615384615384,0.17599112451579307,915.153847482124,21,0.20033813523124577,31,0.15949798822467992,0.09615384615384616,0.15949798822467992,0.9038461538461539,0.2482102664205921
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.550-0.750; fav_fights>=8; opp_fights<=3; career_gap>=0.00,55,44,0.8,0.18311528227907428,1007.1340525349085,27,0.15592763893790781,28,0.2093319383580562,0.09090909090909091,0.15592763893790781,0.9090909090909091,0.2472907150083111
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.775; fav_fights>=10; opp_fights<=6; career_gap>=0.00,64,51,0.796875,0.18570631632090429,1188.5204244537874,29,0.15595844563571634,35,0.21035455203148856,0.140625,0.15595844563571634,0.859375,0.24673690634803283
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.575-0.725; fav_fights>=10; opp_fights<=6; career_gap>=0.00,57,46,0.8070175438596491,0.21873426005083346,1246.7852822897507,26,0.14238449037293938,31,0.282769550748422,0.10526315789473684,0.14238449037293938,0.8947368421052632,0.24578358665388897
BATTLE_TESTED_VS_THIN_SAMPLE,mkt 0.600-0.725; fav_fights>=8; opp_fights<=6; career_gap>=0.05,60,50,0.8333333333333334,0.21772338969089067,1306.340338145344,30,0.2944938771890755,30,0.1409529021927058,0.15,0.1409529021927058,0.85,0.2426560885845175
