track,price_band,venue,conditions,full_n,full_win_pct,full_roi,train_n,train_win_pct,train_roi,validation_n,validation_win_pct,validation_roi,holdout_n,holdout_win_pct,holdout_roi,positive_season_ratio,recent_delta,user_preferred,score
MODERN,DOG20_34,AWAY,"[[""adv_staff_quality_mean"", "">="", -0.03400997150997165], [""recent_edge_sack_or_hit_rate"", "">="", 0.03082189290332965]]",108,0.4074074074074074,0.42249999999999993,44,0.45454545454545453,0.6165909090909092,16,0.3125,0.134375,20,0.45,0.5469999999999999,0.6842105263157895,0.17151704545454532,False,0.4975117861829383
LONG,DOG20_34,AWAY,"[[""adv_staff_quality_min"", "">="", 0.0625], [""recent_edge_sack_or_hit_rate"", "">="", 0.02440876786051755]]",77,0.4025974025974026,0.41337662337662345,21,0.38095238095238093,0.30095238095238086,37,0.40540540540540543,0.4121621621621623,19,0.42105263157894735,0.54,0.5789473684210527,0.18344272844272846,False,0.4720918011141082
LONG,FAV55_65,AWAY,"[[""coachq_dc_prior_quality"", ""<="", 0.61875], [""opp_fatigue_load_index"", "">="", 1.37114788458783]]",83,0.7590361445783133,0.2725259265616824,27,0.7777777777777778,0.29648250722979663,25,0.68,0.154484626735093,31,0.8064516129032258,0.346855114227026,0.8421052631578947,0.12137154724458116,False,0.45767748433401934
LONG,DOG20_34,AWAY,"[[""coachq_staff_quality_mean"", "">="", 0.5564903846153846], [""rank_edge_sack_or_hit_rate"", "">="", 4.0]]",116,0.3706896551724138,0.2974137931034483,38,0.34210526315789475,0.15578947368421053,50,0.36,0.25839999999999996,28,0.42857142857142855,0.5592857142857144,0.5789473684210527,0.35219097744360917,False,0.4561076903321768
LONG,DOG35_49,AWAY,"[[""coachq_dc_quality_delta_vs_departed"", "">="", 0.04836309523809529], [""recent_edge_punt_return_average"", "">="", 0.2999999999999989]]",84,0.5833333333333334,0.3897619047619048,20,0.65,0.5065000000000001,36,0.5555555555555556,0.32638888888888884,28,0.5714285714285714,0.38785714285714284,0.8333333333333334,-0.028587301587301606,False,0.4542569821515471
LONG,DOG35_49,AWAY,"[[""adv_oc_prior_quality"", ""<="", -0.15625], [""rank_edge_punt_return_average"", "">="", 1.0]]",70,0.5857142857142857,0.422,27,0.5555555555555556,0.412962962962963,24,0.5833333333333334,0.40958333333333335,19,0.631578947368421,0.4505263157894737,0.631578947368421,0.039253167641325526,False,0.4522689599811417
LONG,DOG35_44,ANY,"[[""coachq_dc_prior_quality"", "">="", 0.578125], [""recent_edge_rush_epa_per_carry"", "">="", 0.100663328779531]]",93,0.5053763440860215,0.2693548387096774,25,0.48,0.226,45,0.4666666666666667,0.1917777777777778,23,0.6086956521739131,0.4682608695652174,0.6666666666666666,0.2593719806763285,False,0.44948603350814476
LONG,DOG20_34,AWAY,"[[""adv_hc_quality_delta_vs_departed"", ""<="", -0.03895104895104903], [""rank_edge_points_against"", "">="", -5.0]]",73,0.3972602739726027,0.5072602739726028,26,0.34615384615384615,0.29423076923076924,30,0.4666666666666667,0.7216666666666666,17,0.35294117647058826,0.4547058823529411,0.6666666666666666,-0.05324283559577675,False,0.4463316985407601
LONG,FAV55_65,AWAY,"[[""coachq_dc_prior_win_pct"", ""<="", 0.6045454545454546], [""opp_fatigue_load_index"", "">="", 1.37114788458783]]",95,0.7263157894736842,0.21889653650975452,28,0.7142857142857143,0.19631840790795516,28,0.6428571428571429,0.08166946925332344,39,0.7948717948717948,0.3336284719977146,0.7894736842105263,0.19463453341707532,False,0.441620891881506
LONG,DOG35_44,ANY,"[[""coachq_dc_recent_quality"", "">="", 0.5], [""recent_edge_fg_accuracy"", ""<="", -0.1666666666666667]]",129,0.5193798449612403,0.2957364341085271,36,0.4722222222222222,0.1766666666666667,44,0.5,0.2540909090909091,49,0.5714285714285714,0.4206122448979592,0.631578947368421,0.20523345701917128,False,0.43963262675318476
LONG,DOG35_49,AWAY,"[[""coachq_dc_quality_delta_vs_departed"", "">="", -0.01822916666666663], [""recent_edge_punt_return_average"", "">="", 0.2999999999999989]]",154,0.5584415584415584,0.332987012987013,36,0.5833333333333334,0.3925,67,0.5522388059701493,0.31597014925373135,51,0.5490196078431373,0.31333333333333335,0.8888888888888888,-0.0409017412935323,False,0.43165405552818037
MODERN,DOG20_34,AWAY,"[[""adv_dc_prior_win_pct"", "">="", 0.019230769230769204], [""rank_edge_giveaway_rate"", "">="", -6.0]]",112,0.4375,0.5557142857142858,37,0.5405405405405406,0.8986486486486487,24,0.4583333333333333,0.7416666666666667,24,0.375,0.31708333333333333,0.7894736842105263,-0.5030743243243243,False,0.4244678565817921
LONG,DOG20_34,AWAY,"[[""coachq_staff_quality_min"", "">="", 0.46153846153846156], [""recent_edge_sack_or_hit_rate"", "">="", 0.02440876786051755]]",123,0.4146341463414634,0.4720325203252032,32,0.4375,0.528125,57,0.42105263157894735,0.5012280701754387,34,0.38235294117647056,0.3702941176470589,0.7368421052631579,-0.1443824174406605,False,0.419620648517063
LONG,DOG20_34,AWAY,"[[""coachq_hc_prior_quality"", "">="", 0.5384615384615384], [""rank_edge_sack_or_hit_rate"", "">="", 4.0]]",101,0.38613861386138615,0.3288118811881188,33,0.3939393939393939,0.34878787878787876,46,0.3695652173913043,0.2545652173913044,22,0.4090909090909091,0.45409090909090905,0.5263157894736842,0.1524143610013175,False,0.4148867785748242
LONG,DOG35_49,AWAY,"[[""adv_oc_recent_quality"", ""<="", -0.09375], [""rank_edge_punt_return_average"", "">="", 1.0]]",81,0.5802469135802469,0.398395061728395,26,0.5384615384615384,0.3492307692307692,24,0.625,0.52375,31,0.5806451612903226,0.3425806451612903,0.7368421052631579,-0.09390973945409431,False,0.4147030419878791
