method_id,track,p_lo,p_hi,odds_range,train_n,train_roi,validation_n,validation_roi,preholdout_gain,preholdout_retain,score
NFL-H015,LONG,0.36153403442682985,0.43840496437600546,+128 to +177,40,0.52025,28,0.3782142857142857,0.08153517316017314,0.7878787878787878,0.10123214285714284
NFL-H015,LONG,0.36153403442682985,0.4405286343612334,+127 to +177,45,0.5026666666666667,29,0.33068965517241383,0.04898119122257055,0.8484848484848485,0.07019331243469176
NFL-H015,LONG,0.36153403442682985,0.4499,+122 to +177,49,0.47102040816326535,30,0.36166666666666664,0.048646567717996275,0.8999999999999999,0.07114656771799627
NFL-H015,LONG,0.3665706986740197,0.423728813559322,+136 to +173,31,0.544516129032258,19,0.618421052631579,0.21377162113494877,0.5696969696969697,0.22801404537737302
NFL-H015,LONG,0.3665706986740197,0.4264411711220222,+134 to +173,32,0.5696875,21,0.5761904761904761,0.20524201839826836,0.6090909090909091,0.2204692911255411
NFL-H015,LONG,0.3665706986740197,0.4351623314980064,+130 to +173,35,0.502,22,0.5045454545454545,0.13557575757575754,0.6515151515151515,0.15186363636363634
NFL-H015,LONG,0.3665706986740197,0.43840496437600546,+128 to +173,37,0.42081081081081073,22,0.5045454545454545,0.09498116298116291,0.6696969696969697,0.11172358722358715
NFL-H015,LONG,0.3665706986740197,0.4405286343612334,+127 to +173,42,0.41380952380952385,23,0.43913043478260877,0.05877300959909659,0.7303030303030303,0.07703058535667236
NFL-H015,LONG,0.3700970343036763,0.4351623314980064,+130 to +170,33,0.4287878787878787,20,0.5195000000000001,0.10644696969696968,0.603030303030303,0.12152272727272725
NFL-H016,LONG,0.35,0.4166666666666667,+140 to +186,61,0.4052459016393444,31,0.41838709677419356,0.0920671385929582,0.6957800511508951,0.10946163987173058
NFL-H016,LONG,0.35,0.4295545360367027,+133 to +186,68,0.3994117647058824,38,0.3431578947368421,0.051535469107551496,0.8130434782608695,0.07186155606407324
NFL-H016,LONG,0.3589386555271911,0.4166666666666667,+140 to +179,52,0.48730769230769233,30,0.4656666666666667,0.15673781887336874,0.6319693094629156,0.17253705160994162
NFL-H016,LONG,0.3589386555271911,0.423728813559322,+136 to +179,56,0.4660714285714286,35,0.32457142857142857,0.07557206795761781,0.7098465473145781,0.09331823164048227
NFL-H016,LONG,0.3589386555271911,0.4295545360367027,+133 to +179,59,0.4708474576271187,37,0.3794594594594594,0.1054040979294783,0.74923273657289,0.12413491634380056
NFL-H016,LONG,0.3589386555271911,0.4347826086956521,+130 to +179,64,0.428125,39,0.3087179487179487,0.04867211374516359,0.800383631713555,0.06868170453800246
NFL-H016,LONG,0.3589386555271911,0.4499,+122 to +179,76,0.38105263157894737,45,0.33511111111111114,0.03833251073121849,0.9361892583120205,0.061737242189019007
NFL-H016,LONG,0.3631093544137022,0.4166666666666667,+140 to +175,48,0.4960416666666667,29,0.4210344827586207,0.13878871409883295,0.5975703324808184,0.1537279724108534
NFL-H016,LONG,0.3631093544137022,0.4295545360367027,+133 to +175,55,0.47727272727272735,36,0.34111111111111114,0.08944255857810848,0.7148337595907929,0.1073134025678783
NFL-H016,LONG,0.3631093544137022,0.4499,+122 to +175,72,0.3809722222222222,44,0.3027272727272728,0.022100386860936738,0.9017902813299232,0.04464514389418482
NFL-H016,LONG,0.36603299377022,0.4295545360367027,+133 to +173,51,0.5394117647058824,35,0.30114285714285716,0.100527950310559,0.6804347826086956,0.11753881987577638
NFL-H017,LONG,0.35,0.4418931035827063,+126 to +186,92,0.2581521739130435,67,0.2938805970149254,0.07547264157346636,0.7086999022482894,0.0931901391296736
NFL-H017,LONG,0.35,0.4530028794734676,+121 to +186,99,0.2368686868686869,73,0.24876712328767123,0.04227416118766096,0.7674731182795699,0.06146098914465021
NFL-H017,LONG,0.35,0.45662100456621,+119 to +186,108,0.21518518518518517,74,0.23189189189189188,0.022994794648020428,0.8069403714565004,0.04316830393443294
NFL-H017,LONG,0.35,0.46157620754394946,+117 to +186,112,0.22999999999999998,76,0.2567105263157895,0.04281151926737664,0.8328445747800587,0.06363263363687811
NFL-H017,LONG,0.35,0.4694835680751174,+113 to +186,121,0.19148760330578513,81,0.28580246913580243,0.03810129233027568,0.8938172043010753,0.06044672243780256
NFL-H017,LONG,0.36376907763769073,0.4418931035827063,+126 to +175,78,0.3047435897435898,54,0.3992592592592593,0.15145768061090645,0.5857771260997068,0.16610210876339912
NFL-H017,LONG,0.36376907763769073,0.4530028794734676,+121 to +175,85,0.2761176470588235,60,0.33383333333333337,0.10443174630556035,0.6445503421309873,0.12054550485883503
NFL-H017,LONG,0.36376907763769073,0.45662100456621,+119 to +175,94,0.24744680851063833,61,0.3119672131147541,0.07916326692217812,0.684017595307918,0.09626370680487607
NFL-H017,LONG,0.36376907763769073,0.46157620754394946,+117 to +175,98,0.2630612244897959,63,0.33936507936507937,0.10066940803691954,0.7099217986314761,0.11841745300270644
NFL-H017,LONG,0.36376907763769073,0.4694835680751174,+113 to +175,107,0.21672897196261684,68,0.36794117647058827,0.09179133032608446,0.7708944281524927,0.11106369102989677
NFL-H017,LONG,0.36376907763769073,0.4999,+100 to +175,118,0.19059322033898307,80,0.29175000000000006,0.04062786627897347,0.8770772238514174,0.0625547968752589
NFL-H017,LONG,0.3690036900369003,0.4418931035827063,+126 to +171,75,0.28400000000000003,52,0.40038461538461545,0.14164856380178964,0.5636608015640274,0.15574008384089033
NFL-H017,LONG,0.3690036900369003,0.4530028794734676,+121 to +171,82,0.2560975609756098,58,0.3325862068965517,0.09379814004556267,0.6224340175953079,0.10935899048544537
NFL-H017,LONG,0.3690036900369003,0.45662100456621,+119 to +171,91,0.2284615384615385,59,0.31000000000000005,0.06868702534025117,0.6619012707722385,0.08523455710955713
NFL-H017,LONG,0.3690036900369003,0.46157620754394946,+117 to +171,95,0.2453684210526316,61,0.3383606557377049,0.09132079450465015,0.6878054740957966,0.10851593135704507
NFL-H017,LONG,0.3690036900369003,0.4694835680751174,+113 to +171,104,0.1992307692307692,66,0.3678787878787879,0.08301103466426046,0.7487781036168133,0.1017304872546808
NFL-H017,LONG,0.3690036900369003,0.4999,+100 to +171,115,0.17408695652173914,78,0.2897435897435897,0.031371529242146326,0.854960899315738,0.05274555172503978
NFL-H017,LONG,0.3759398496240601,0.4530028794734676,+121 to +166,73,0.22657534246575342,55,0.3067272727272727,0.06610756370599495,0.5722140762463344,0.08041291561215332
NFL-H017,LONG,0.3759398496240601,0.45662100456621,+119 to +166,82,0.19914634146341464,56,0.28339285714285717,0.040725855412617806,0.6116813294232649,0.056017888648199426
NFL-H017,LONG,0.3759398496240601,0.46157620754394946,+117 to +166,86,0.21918604651162793,58,0.31413793103448273,0.06611824488253723,0.6375855327468231,0.08205788320120781
NFL-H017,LONG,0.3759398496240601,0.4694835680751174,+113 to +166,95,0.17115789473684212,63,0.346984126984127,0.05852726696996646,0.6985581622678396,0.07599122102666245
NFL-H017,LONG,0.3816793893129771,0.4694835680751174,+113 to +162,89,0.2501123595505618,54,0.4242592592592594,0.1366420655143925,0.6274437927663734,0.15232816033355184
NFL-H017,LONG,0.3816793893129771,0.4999,+100 to +162,100,0.21560000000000007,66,0.3216666666666667,0.06808958944281529,0.7336265884652982,0.08643025415444774
