method_id,registry_status,track,price_band,original_p_lo,original_p_hi,original_odds_range,proposed_p_lo,proposed_p_hi,proposed_odds_range,preholdout_gain,preholdout_retain,train_base_n,train_base_roi,train_window_n,train_window_roi,validation_base_n,validation_base_roi,validation_window_n,validation_window_roi,holdout_base_n,holdout_base_roi,holdout_window_n,holdout_window_roi,holdout_roi_change,holdout_retain,full_base_n,full_base_roi,full_window_n,full_window_roi,decision,live_p_lo,live_p_hi,live_odds_range
NFL-H040,FINAL_RESEARCH,MODERN,DOG35_44,0.35,0.4499,+122 to +186,0.3719568437823182,0.4499,+122 to +169,0.044347149227583954,0.844047619047619,28,0.4132142857142857,23,0.4856521739130434,15,0.4706666666666667,13,0.4869230769230769,38,0.20526315789473687,29,0.09896551724137931,-0.10629764065335756,0.7631578947368421,106,0.22113207547169808,87,0.20195402298850576,KEEP_ORIGINAL_BAND,0.35,0.4499,+122 to +186
NFL-H079,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.3573988735279057,0.41946485707253606,+138 to +180,0.09652164754601641,0.6638827433628318,113,0.22380530973451326,78,0.2671794871794872,80,0.175625,51,0.3252941176470589,93,0.1241935483870968,61,0.00721311475409836,-0.11698043363299844,0.6559139784946236,286,0.17793706293706293,190,0.1993157894736842,KEEP_ORIGINAL_BAND,0.35,0.4499,+122 to +186
NFL-H015,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.3665706986740197,0.423728813559322,+136 to +173,0.21377162113494877,0.5696969696969697,55,0.4123636363636364,31,0.544516129032258,33,0.32303030303030306,19,0.618421052631579,30,0.3353333333333333,17,0.21705882352941178,-0.11827450980392154,0.5666666666666667,118,0.36779661016949156,67,0.48238805970149246,KEEP_ORIGINAL_BAND,0.35,0.4499,+122 to +186
NFL-H069,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.3623188405797101,0.4444444444444444,+125 to +176,0.15843681595114828,0.590578656586217,181,0.15375690607734804,109,0.3785321100917431,133,0.14270676691729325,77,0.2348051948051948,136,0.11845588235294117,77,-0.0024675324675324756,-0.12092341482047365,0.5661764705882353,450,0.13982222222222224,263,0.22490494296577945,KEEP_ORIGINAL_BAND,0.35,0.4999,+100 to +186
NFL-H036,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.3627169931517757,0.45004645901506884,+122 to +176,0.13824346024346026,0.6433566433566433,52,0.5073076923076923,35,0.646,44,0.2959090909090909,27,0.43370370370370376,46,0.17282608695652174,31,0.04032258064516129,-0.13250350631136046,0.6739130434782609,142,0.3334507042253521,93,0.38247311827957,KEEP_ORIGINAL_BAND,0.35,0.4999,+100 to +186
NFL-H033,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.364963503649635,0.4694835680751174,+113 to +174,0.08728158864460886,0.7002095337873232,115,0.24808695652173912,89,0.3340449438202247,83,0.1702409638554217,52,0.25884615384615384,88,0.16147727272727277,68,0.01720588235294119,-0.1442713903743316,0.7727272727272727,286,0.19884615384615387,209,0.2122488038277512,KEEP_ORIGINAL_BAND,0.35,0.4999,+100 to +186
NFL-H002,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.35,0.44326801517067005,+126 to +186,0.08749072199730094,0.6842105263157894,57,0.24280701754385967,40,0.39625,39,0.3507692307692308,26,0.37230769230769234,47,0.49489361702127654,32,0.33124999999999993,-0.1636436170212766,0.6808510638297872,143,0.3551048951048952,98,0.36867346938775514,KEEP_ORIGINAL_BAND,0.35,0.4999,+100 to +186
NFL-H029,FINAL_RESEARCH,LONG,DOG35_49,0.35,0.4999,+100 to +186,0.36941675386903117,0.4597725447089164,+117 to +171,0.14032812965722802,0.6212021857923498,75,0.20839999999999997,44,0.4313636363636364,61,0.20655737704918034,40,0.26425,60,0.2178333333333333,43,0.04976744186046513,-0.16806589147286816,0.7166666666666667,196,0.2107142857142857,127,0.24952755905511806,KEEP_ORIGINAL_BAND,0.35,0.4999,+100 to +186
NFL-H003,FINAL_RESEARCH,LONG,DOG35_44,0.35,0.4499,+122 to +186,0.35945437198628194,0.42017548505552316,+138 to +178,0.1944223132290891,0.6169024571854058,79,0.5616455696202532,51,0.7041176470588235,51,0.22529411764705878,30,0.4716666666666667,43,0.43744186046511624,23,0.12869565217391304,-0.3087462082912032,0.5348837209302325,173,0.4316184971098266,104,0.5098076923076923,KEEP_ORIGINAL_BAND,0.35,0.4499,+122 to +186
NFL-H066,FINAL_RESEARCH,LONG,DOG20_34,0.2,0.3499,+186 to +400,0.24315285706048548,0.3278688524590163,+205 to +311,0.14449202127659574,0.5997340425531915,47,0.30276595744680856,27,0.38666666666666666,48,0.27958333333333335,30,0.48466666666666675,29,0.2524137931034483,18,0.8533333333333333,0.600919540229885,0.6206896551724138,124,0.2820161290322581,75,0.5378666666666667,TIGHTEN_LIVE_PRICE,0.24315285706048548,0.3278688524590163,+205 to +311
