track,price_band,venue,conditions,condition_count,full_n,full_wins,full_win_pct,full_roi,train_n,train_win_pct,train_roi,validation_n,validation_win_pct,validation_roi,holdout_n,holdout_win_pct,holdout_roi,positive_season_ratio,positive_seasons,active_seasons,worst_active_season_roi,recent_delta,era_floor,preferred,elite_recent,score,feature_signature
LONG,DOG35_44,ANY,"[[""coachq_prev_dc_recent_quality"", ""<="", 0.28125], [""coachonly_upgrade_minus_downgrade"", "">="", 1.0]]",2,83,46,0.5542168674698795,0.38903614457831326,20,0.55,0.3990000000000001,32,0.5625,0.413125,31,0.5483870967741935,0.357741935483871,0.7857142857142857,11,14,-1.0,-0.04832056451612904,0.357741935483871,False,False,0.4303299395750214,coachonly_upgrade_minus_downgrade|coachq_prev_dc_recent_quality
LONG,DOG20_34,AWAY,"[[""coachonly_oc_dc_quality_mean"", "">="", 0.6978422619047618], [""coachq_oc_prior_quality"", "">="", 0.59375], [""coachq_staff_quality_min"", "">="", 0.46153846153846156]]",3,76,30,0.39473684210526316,0.4001315789473684,28,0.39285714285714285,0.3989285714285714,21,0.38095238095238093,0.3880952380952381,27,0.4074074074074074,0.41074074074074074,0.6428571428571429,9,14,-1.0,0.017228835978835955,0.3880952380952381,False,False,0.4297184509043738,coachonly_oc_dc_quality_mean|coachq_oc_prior_quality|coachq_staff_quality_min
LONG,DOG35_44,HOME,"[[""coachq_staff_downgrade_count"", ""<="", 0.0], [""coachq_dc_prior_quality"", "">="", 0.4166666666666667]]",2,109,61,0.5596330275229358,0.405045871559633,33,0.5454545454545454,0.35333333333333333,42,0.5952380952380952,0.5111904761904762,34,0.5294117647058824,0.3241176470588236,0.8333333333333334,15,18,-1.0,-0.10814425770308111,0.3241176470588236,False,False,0.4206198390329009,coachq_dc_prior_quality|coachq_staff_downgrade_count
LONG,DOG20_34,AWAY,"[[""coachq_staff_quality_mean"", "">="", 0.5564903846153846], [""coachq_prev_oc_recent_quality"", "">="", 0.78125]]",2,78,29,0.3717948717948718,0.3515384615384615,24,0.3333333333333333,0.14916666666666667,36,0.3888888888888889,0.4275,18,0.3888888888888889,0.4694444444444445,0.8125,13,16,-1.0,0.18111111111111117,0.14916666666666667,False,False,0.41875449889141647,coachq_prev_oc_recent_quality|coachq_staff_quality_mean
LONG,DOG20_34,AWAY,"[[""adv_staff_quality_min"", "">="", 0.0625], [""coachq_hc_prior_role_seasons"", ""<="", 0.0]]",2,74,29,0.3918918918918919,0.46067567567567574,33,0.3333333333333333,0.23242424242424242,17,0.5294117647058824,0.9823529411764708,24,0.375,0.405,0.8,12,15,-1.0,-0.2023885918003565,0.23242424242424242,False,False,0.40333799229797745,adv_staff_quality_min|coachq_hc_prior_role_seasons
LONG,DOG35_44,ANY,"[[""coachq_dc_recent_quality"", "">="", 0.34375], [""coachq_prev_dc_recent_quality"", ""<="", 0.28125]]",2,106,54,0.5094339622641509,0.2800943396226415,26,0.5,0.25846153846153846,49,0.46938775510204084,0.16693877551020408,31,0.5806451612903226,0.47709677419354835,0.6875,11,16,-1.0,0.26439661720767704,0.16693877551020408,False,False,0.40230934435387505,coachq_dc_recent_quality|coachq_prev_dc_recent_quality
LONG,DOG20_34,AWAY,"[[""adv_hc_quality_delta_vs_departed"", ""<="", -0.03895104895104903], [""coachonly_hc_oc_quality_mean"", "">="", 0.49632138694638694]]",2,70,27,0.38571428571428573,0.42357142857142854,23,0.34782608695652173,0.3095652173913044,27,0.4444444444444444,0.6155555555555554,20,0.35,0.2955,0.8461538461538461,11,13,-1.0,-0.1670603864734299,0.2955,False,False,0.39500196610898614,adv_hc_quality_delta_vs_departed|coachonly_hc_oc_quality_mean
MODERN,DOG20_34,AWAY,"[[""adv_oc_prior_quality"", "">="", 0.03791666666666667], [""coachq_prev_oc_prior_quality"", "">="", 0.375]]",2,85,34,0.4,0.38011764705882356,28,0.42857142857142855,0.45642857142857135,13,0.38461538461538464,0.29999999999999993,21,0.38095238095238093,0.4261904761904762,0.5294117647058824,9,17,-1.0,0.04797619047619056,0.29999999999999993,False,False,0.39406067543305334,adv_oc_prior_quality|coachq_prev_oc_prior_quality
MODERN,DOG35_44,AWAY,"[[""coachq_prev_oc_prior_quality"", "">="", 0.6473958333333334], [""coachq_prev_oc_prior_role_seasons"", "">="", 2.0]]",2,91,49,0.5384615384615384,0.3436263736263736,31,0.4838709677419355,0.21741935483870972,13,0.6153846153846154,0.5838461538461538,32,0.53125,0.309375,0.9285714285714286,13,14,-0.0975,-0.09125775434243172,0.21741935483870972,False,False,0.3937162784844935,coachq_prev_oc_prior_quality|coachq_prev_oc_prior_role_seasons
LONG,DOG20_34,ANY,"[[""adv_oc_quality_delta_vs_departed"", "">="", -0.18320312499999997], [""coachq_dc_changed_quality"", "">="", 1.0]]",2,70,25,0.35714285714285715,0.2854285714285715,20,0.35,0.27199999999999996,32,0.34375,0.20625,18,0.3888888888888889,0.44111111111111106,0.6666666666666666,8,12,-1.0,0.2019861111111111,0.20625,False,False,0.39107176238758673,adv_oc_quality_delta_vs_departed|coachq_dc_changed_quality
LONG,DOG20_34,HOME,"[[""coachq_oc_recent_quality"", ""<="", 0.3359375]]",1,86,34,0.3953488372093023,0.477093023255814,25,0.44,0.5912000000000001,39,0.41025641025641024,0.4984615384615384,22,0.3181818181818182,0.30954545454545457,0.6875,11,16,-1.0,-0.23528531468531466,0.30954545454545457,False,False,0.38515339397201726,coachq_oc_recent_quality
LONG,DOG20_34,AWAY,"[[""coachonly_oc_dc_quality_mean"", "">="", 0.6978422619047618], [""coachq_staff_quality_min"", "">="", 0.46153846153846156]]",2,131,50,0.3816793893129771,0.38015267175572515,48,0.3333333333333333,0.19125,44,0.4318181818181818,0.6047727272727272,39,0.38461538461538464,0.3592307692307693,0.7777777777777778,14,18,-0.625,-0.03878059440559434,0.19125,False,False,0.3842266597132423,coachonly_oc_dc_quality_mean|coachq_staff_quality_min
LONG,DOG35_44,ANY,"[[""coachonly_hc_oc_quality_mean"", "">="", 0.6653081293706293], [""coachq_staff_downgrade_count"", ""<="", 0.0]]",2,71,36,0.5070422535211268,0.27154929577464787,23,0.4782608695652174,0.1856521739130435,32,0.5,0.26,16,0.5625,0.418125,0.6666666666666666,10,15,-1.0,0.19529891304347827,0.1856521739130435,False,False,0.38332658180393864,coachonly_hc_oc_quality_mean|coachq_staff_downgrade_count
LONG,DOG20_34,AWAY,"[[""coachq_staff_quality_mean"", "">="", 0.5564903846153846], [""adv_staff_upgrade_count"", ""<="", -1.0]]",2,167,59,0.3532934131736527,0.330059880239521,43,0.32558139534883723,0.30651162790697667,68,0.36764705882352944,0.33882352941176463,56,0.35714285714285715,0.33749999999999997,0.6111111111111112,11,18,-1.0,0.014832421340629287,0.30651162790697667,False,False,0.3782607712815964,adv_staff_upgrade_count|coachq_staff_quality_mean
LONG,DOG35_44,ANY,"[[""coachonly_hc_oc_quality_mean"", "">="", 0.6653081293706293], [""coachonly_upgrade_minus_downgrade"", "">="", 1.0]]",2,72,39,0.5416666666666666,0.3502777777777778,18,0.5,0.2138888888888889,24,0.5833333333333334,0.4779166666666667,30,0.5333333333333333,0.33,0.6923076923076923,9,13,-1.0,-0.015902777777777766,0.2138888888888889,False,False,0.3670144918089673,coachonly_hc_oc_quality_mean|coachonly_upgrade_minus_downgrade
