method_id,registry_status,semantic_signature,price_band,venue,feature1,op1,threshold1,feature2,op2,threshold2,full_n,full_wins,full_win_rate,full_roi,train_roi,validation_roi,holdout_roi,full_active_seasons,full_positive_seasons,full_negative_seasons,positive_season_ratio,tier,validated_vetoes,candidate_id,deployment_status,deployment_reason,duplicate_of,max_jaccard_overlap,live_odds_range,hard_veto_source,hard_veto_feature,hard_veto_op,hard_veto_threshold,candidate_id_timing,full_n_reg,full_roi_reg,trainval_n_reg,trainval_roi_reg,holdout_n_reg,holdout_roi_reg,recommended_start_week,timing_decision,min_week,median_week,max_week,recent_delta,cleanup_status,cleanup_score
NFL-H029,FINAL_RESEARCH,PASS_PROTECTION_RUSH,DOG35_49,AWAY,rank_edge_def_allowed_sack_or_hit_rate,>=,14.0,,,,196,100,0.5102040816326531,0.2107142857142857,0.2083999999999999,0.2065573770491803,0.2178333333333333,20,14,6,0.7,A,VETO: rank_edge_punt_return_average <= -14.2,NFL-H029,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS,,0.1117478510028653,+100 to +186,BASE,rank_edge_punt_return_average,<=,-14.2,NFL-H029,184.0,0.1892934782608695,129.0,0.1832558139534884,55.0,0.2034545454545454,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,10.5,18.0,0.020198731501057,CORE_LIVE,0.2933554430474325
NFL-H036,FINAL_RESEARCH,EXPLOSIVENESS+PASSING,DOG35_49,AWAY,rank_edge_def_allowed_explosive_rate,<=,-9.75,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,142,78,0.5492957746478874,0.3334507042253521,0.5073076923076923,0.2959090909090909,0.1728260869565217,20,15,5,0.75,A,,NFL-H036,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS,,0.64375,+100 to +186,TRAVEL,adv_prior_road_miles_last5,<=,-449.2804356656068,NFL-H036,137.0,0.3270802919708029,91.0,0.4050549450549451,46.0,0.1728260869565217,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,-0.2322288580984234,CORE_LIVE,0.2819841932394561
NFL-H033,FINAL_RESEARCH,SPECIAL_TEAMS,DOG35_49,AWAY,recent_edge_punt_return_average,>=,4.415277777777777,,,,286,144,0.5034965034965035,0.1988461538461538,0.2480869565217391,0.1702409638554217,0.1614772727272727,20,15,5,0.75,A,,NFL-H033,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS,,0.513986013986014,+100 to +186,,,,,NFL-H033,271.0,0.2074907749077491,187.0,0.2390909090909091,84.0,0.1371428571428571,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,-0.10194805194805201,CORE_LIVE,0.26476186106373245
NFL-H035,FINAL_RESEARCH,PASSING+SPECIAL_TEAMS,DOG35_49,AWAY,rank_edge_def_allowed_pass_epa_per_dropback,<=,-6.0,recent_edge_punt_net_average,>=,2.046011904761898,145,78,0.5379310344827586,0.2969655172413792,0.3529166666666666,0.4022222222222222,0.1542307692307692,20,15,5,0.75,A,,NFL-H035,LIVE_READY,STRICT_STATS_PRICE_AND_CONCENTRATION_PASS,,0.1908713692946058,+100 to +186,COACHING,oc_tenure_seasons,>=,3.0,NFL-H035,139.0,0.286546762589928,89.0,0.3838202247191011,50.0,0.1134,7.0,EARLY_WINDOW_WEAK_START_WEEK7,4.0,11.0,18.0,-0.2704202247191011,CORE_LIVE,0.2425090269459692
NFL-H031,FINAL_RESEARCH,MARKET_MOVEMENT+RED_ZONE,DOG35_44,AWAY,base_vs_open_prob_move,<=,-0.007362274976506,rank_edge_redzone_epa,>=,1.0,203,99,0.4876847290640394,0.2223645320197044,0.2530263157894737,0.2354901960784314,0.1828947368421053,19,13,6,0.6842105263157895,A,,NFL-H031,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.2023346303501945,+140 to +186,COACHING,adv_dc_tenure_seasons,>=,1.0,NFL-H031,125.0,0.31232,85.0,0.2552941176470588,40.0,0.4335,7.0,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7,4.0,11.0,18.0,0.17820588235294121,KEEP_RESEARCH,0.433265211625511
NFL-H015,FINAL_RESEARCH,EXPLOSIVENESS+THIRD_DOWN,DOG35_44,AWAY,rank_edge_def_allowed_explosive_rate,<=,-9.75,rank_edge_third_down_success,>=,0.0,118,64,0.5423728813559322,0.3677966101694915,0.4123636363636364,0.323030303030303,0.3353333333333333,18,13,5,0.7222222222222222,A,,NFL-H015,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.423841059602649,+122 to +186,COACHING,adv_dc_prior_role_seasons,>=,1.0,NFL-H015,112.0,0.3726785714285715,83.0,0.3696385542168675,29.0,0.3813793103448276,7.0,EARLY_WINDOW_WEAK_START_WEEK7,4.0,10.0,18.0,0.011740756127960106,KEEP_RESEARCH,0.40704626431435575
NFL-H019,FINAL_RESEARCH,PASS_PROTECTION_RUSH+RED_ZONE,DOG35_44,AWAY,rank_edge_sack_or_hit_rate,>=,10.0,rank_edge_redzone_epa,>=,1.0,114,62,0.543859649122807,0.3684210526315789,0.4172916666666666,0.3721212121212122,0.2936363636363637,17,13,4,0.7647058823529411,A,,NFL-H019,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.3571428571428571,+122 to +186,,,,,NFL-H019,109.0,0.36,76.0,0.3888157894736843,33.0,0.2936363636363636,7.0,EARLY_WINDOW_WEAK_START_WEEK7,4.0,11.0,18.0,-0.0951794258373207,KEEP_RESEARCH,0.3588191763804041
NFL-H016,FINAL_RESEARCH,MARKET_MOVEMENT+PASS_PROTECTION_RUSH,DOG35_44,AWAY,rank_edge_sack_or_hit_rate,>=,5.0,base_vs_open_prob_move,<=,-0.0023582612356305,176,92,0.5227272727272727,0.307840909090909,0.3334117647058824,0.3060869565217391,0.2613333333333333,19,15,4,0.7894736842105263,A,VETO: rank_edge_giveaway_rate <= -4.0,NFL-H016,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.2775330396475771,+122 to +186,BASE,rank_edge_giveaway_rate,<=,-4.0,NFL-H016,163.0,0.3184049079754601,120.0,0.3403333333333333,43.0,0.2572093023255814,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,11.0,18.0,-0.0831240310077519,KEEP_RESEARCH,0.34374208601461265
NFL-H006,FINAL_RESEARCH,EFFICIENCY+THIRD_DOWN,DOG35_44,ANY,rank_edge_third_down_success,>=,0.0,recent_edge_def_allowed_yards_per_play,<=,-0.3370739566793617,252,129,0.5119047619047619,0.2727380952380953,0.2568041237113401,0.2967088607594937,0.268157894736842,20,14,6,0.7,A,VETO: grass_surface <= 0.0 || VETO: recent_edge_sack_or_hit_rate <= -0.0241869882910562 || VETO: adv_skill_unavail_equiv <= -0.6387499999999999,NFL-H006,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.2671232876712329,+122 to +186,BASE,grass_surface,<=,0.0,NFL-H006,242.0,0.2848760330578512,168.0,0.2911904761904762,74.0,0.2705405405405405,4.0,WEEK4_OK_AFTER_3_COMPLETED_GAMES,4.0,10.5,18.0,-0.020649935649935725,KEEP_RESEARCH,0.3409331182826994
NFL-H095,FINAL_RESEARCH,PASS_PROTECTION_RUSH+TURNOVERS,DOG35_44,AWAY,recent_edge_giveaway_rate,>=,0.0128509499380348,recent_edge_sack_or_hit_rate,>=,-0.0227905898528463,128,63,0.4921875,0.237421875,0.2611666666666667,0.326,0.1003030303030303,19,13,6,0.6842105263157895,B,,NFL-H095,WATCHLIST,BELOW_STRICT_LIVE_READY_GATE,,0.2916666666666667,+137 to +174,COACHING,adv_dc_prior_role_seasons,>=,1.0,NFL-H095,80.0,0.3964999999999999,64.0,0.4296875,16.0,0.26375,7.0,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7,4.0,11.0,18.0,-0.16593750000000002,KEEP_RESEARCH,0.329943203622167
