method_id,source,track,price_band,venue,full_n_reg,full_roi_reg,train_n_reg,train_roi_reg,validation_n_reg,validation_roi_reg,holdout_n_reg,holdout_roi_reg,min_week,median_week,max_week,recommended_start_week,timing_decision,reg_only_survives,W4_6_n,W4_6_roi,W7_10_n,W7_10_roi,W11_14_n,W11_14_roi,W15_18_n,W15_18_roi,candidate_id,positive_season_ratio,duplicate_of,max_jaccard_overlap,rule_reproducible,older_avg_roi,recent_delta,era_floor,preference_status,preference_score
NFL-C004,COACHING,LONG,DOG35_44,ANY,123,0.4492682926829267,53,0.6813207547169812,25,0.3724,45,0.2186666666666666,4,11.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,25,0.9056,34,0.5429411764705883,36,0.1861111111111111,28,0.2664285714285714,NFL-C004,0.7368421052631579,,0.1402985074626865,True,0.5268603773584906,-0.308193710691824,0.2186666666666666,STRONG_STABLE,0.3372629888355487
NFL-NW112,NEXT_WAVE,LONG,DOG35_49,AWAY,129,0.4314728682170542,49,0.5626530612244898,31,0.5993548387096774,49,0.1940816326530612,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,35,0.2708571428571428,38,0.4526315789473685,37,0.4143243243243242,19,0.718421052631579,NFL-NW112,0.7894736842105263,,0.5661764705882353,True,0.5810039499670836,-0.3869223173140224,0.1940816326530612,STRONG_STABLE,0.3277183979245838
NFL-T002,TRAVEL,LONG,DOG35_44,AWAY,128,0.338984375,47,0.5559574468085106,39,0.1794871794871795,42,0.2442857142857143,4,11.5,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,34,0.2529411764705883,22,0.3909090909090909,36,0.5319444444444444,36,0.1955555555555555,NFL-T002,0.6842105263157895,,0.1148936170212766,True,0.36772231314784504,-0.12343659886213074,0.1794871794871795,STRONG_STABLE,0.31451203042460774
NFL-C005,COACHING,LONG,DOG35_49,AWAY,176,0.2267045454545454,66,0.281060606060606,65,0.2098461538461538,45,0.1713333333333333,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,37,0.2291891891891892,52,0.3807692307692307,55,0.0979999999999999,32,0.1946874999999999,NFL-C005,0.7777777777777778,,0.3368421052631579,True,0.2454533799533799,-0.07412004662004659,0.1713333333333333,STRONG_STABLE,0.28915711427314394
NFL-C007,COACHING,LONG,DOG35_49,AWAY,205,0.2716585365853658,110,0.3093636363636363,38,0.3078947368421052,57,0.1747368421052631,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,60,0.1733333333333333,48,0.3595833333333333,50,0.314,47,0.2623404255319148,NFL-C007,0.7,,0.4913793103448275,True,0.30862918660287075,-0.13389234449760765,0.1747368421052631,STRONG_STABLE,0.285708028557327
NFL-NW123,NEXT_WAVE,MODERN,DOG35_44,AWAY,130,0.3449230769230769,32,0.3121875,21,0.4447619047619047,32,0.148125,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,19,0.32,41,0.4078048780487806,36,0.3733333333333333,34,0.2529411764705883,NFL-NW123,0.7368421052631579,,0.3231707317073171,True,0.3784747023809524,-0.23034970238095237,0.148125,STRONG_STABLE,0.27894340097711806
NFL-NW150,NEXT_WAVE,MODERN,DOG35_44,ANY,107,0.2302803738317757,27,0.2859259259259259,19,0.3052631578947368,26,0.1646153846153846,4,11.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,23,0.2717391304347826,26,0.6565384615384617,30,0.0509999999999999,28,-0.0074999999999999,NFL-NW150,0.7647058823529411,,0.1570680628272251,True,0.29559454191033135,-0.13097915729494675,0.1646153846153846,STRONG_STABLE,0.27540885665049075
NFL-C009,COACHING,LONG,DOG35_49,AWAY,140,0.3132142857142856,70,0.365,27,0.4281481481481481,43,0.1567441860465115,4,10.5,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,35,0.2957142857142857,35,0.2988571428571429,39,0.4543589743589744,31,0.1716129032258064,NFL-C009,0.7222222222222222,,0.4849785407725321,True,0.3965740740740741,-0.23982988802756258,0.1567441860465115,STRONG_STABLE,0.2752668821113744
NFL-NW138,NEXT_WAVE,LONG,DOG35_49,ANY,237,0.2438396624472573,86,0.2859302325581395,63,0.3379365079365079,88,0.1353409090909091,4,11.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,40,0.531,64,0.506875,69,-0.0537681159420289,64,0.1221875,NFL-NW138,0.8,,0.2009456264775413,True,0.3119333702473237,-0.1765924611564146,0.1353409090909091,STRONG_STABLE,0.26992641160804953
NFL-C012,COACHING,LONG,DOG35_44,ANY,325,0.2454153846153846,130,0.3244615384615384,81,0.2806172839506172,114,0.1302631578947368,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,70,0.1672857142857142,95,0.2990526315789474,88,0.2422727272727272,72,0.2544444444444445,NFL-C012,0.7,,0.341860465116279,True,0.3025394112060778,-0.172276253311341,0.1302631578947368,STRONG_STABLE,0.25648601229879975
NFL-C014,COACHING,MODERN,DOG35_44,HOME,232,0.1542672413793103,60,0.2905,39,0.2753846153846154,67,0.1232835820895522,4,12.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,41,0.0251219512195122,55,0.1561818181818182,84,0.1595238095238095,52,0.245576923076923,NFL-C014,0.8571428571428571,,0.445578231292517,True,0.28294230769230766,-0.15965872560275546,0.1232835820895522,STRONG_STABLE,0.25442931589560885
NFL-NW157,NEXT_WAVE,LONG,DOG35_49,ANY,101,0.2296039603960395,30,0.3333333333333333,31,0.26,40,0.1282499999999999,4,11.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,18,0.2244444444444444,28,0.3735714285714286,33,0.2660606060606061,22,-0.004090909090909,NFL-NW157,0.7647058823529411,,0.1904761904761904,True,0.29666666666666663,-0.16841666666666674,0.1282499999999999,STRONG_STABLE,0.2514127097509391
NFL-C010,COACHING,MODERN,DOG35_44,HOME,190,0.1555263157894736,49,0.4155102040816326,30,0.199,58,0.1182758620689655,4,11.0,18,7,START_WEEK7_EARLY_EVIDENCE_WEAK_OR_SPARSE,True,37,0.331081081081081,55,0.1947272727272727,62,0.0975806451612903,36,0.015,NFL-C010,0.8461538461538461,,0.6192468619246861,True,0.3072551020408163,-0.1889792399718508,0.1182758620689655,STRONG_STABLE,0.24625801719936236
NFL-T007,TRAVEL,LONG,DOG35_44,ANY,276,0.1963768115942029,95,0.3189473684210526,76,0.1576315789473684,105,0.1135238095238095,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,31,-0.036774193548387,93,0.1118279569892473,91,0.2836263736263736,61,0.3136065573770492,NFL-T007,0.7,,0.525,True,0.2382894736842105,-0.124765664160401,0.1135238095238095,STRONG_STABLE,0.2396856241606462
NFL-C011,COACHING,LONG,DOG35_49,ANY,197,0.2495939086294416,90,0.3083333333333333,44,0.3131818181818182,63,0.1212698412698412,4,10.0,18,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,47,0.2734042553191489,55,0.5458181818181819,56,0.0375,39,0.1076923076923077,NFL-C011,0.65,,0.1555555555555555,True,0.31075757575757573,-0.18948773448773454,0.1212698412698412,STRONG_STABLE,0.23956019860121253
NFL-T009,TRAVEL,LONG,DOG35_44,AWAY,367,0.1434877384196185,134,0.1985820895522388,112,0.1024107142857143,121,0.120495867768595,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,52,0.255576923076923,108,0.1453703703703703,121,0.1570247933884297,86,0.0543023255813953,NFL-T009,0.65,,0.5246252676659529,True,0.15049640191897656,-0.030000534150381564,0.1024107142857143,STRONG_STABLE,0.23100466921214158
NFL-T004,TRAVEL,MODERN,DOG35_44,AWAY,267,0.137940074906367,77,0.0754545454545454,30,0.259,84,0.1286904761904762,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,37,0.1408108108108108,84,-0.0072619047619047,76,0.2130263157894737,70,0.2291428571428571,NFL-T004,0.7142857142857143,,0.6731301939058172,True,0.1672272727272727,-0.03853679653679651,0.0754545454545454,STRONG_STABLE,0.23019590254622724
NFL-T005,TRAVEL,LONG,DOG35_49,AWAY,188,0.1132978723404255,63,0.1088888888888889,62,0.0748387096774193,63,0.1555555555555555,4,5.0,16,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES,True,170,0.1137647058823529,15,0.0106666666666666,2,1.4,1,-1.0,NFL-T005,0.65,,0.2029520295202952,True,0.09186379928315411,0.0636917562724014,0.0748387096774193,STRONG_STABLE,0.22874846622038378
NFL-T011,TRAVEL,LONG,DOG35_49,AWAY,375,0.1235733333333333,133,0.1827067669172932,115,0.0782608695652174,127,0.1026771653543307,5,11.0,18,5,START_AT_HISTORICAL_MIN_WEEK,True,49,0.090204081632653,113,0.0217699115044247,125,0.2178399999999999,88,0.1389772727272727,NFL-T011,0.7,,0.467065868263473,True,0.1304838182412553,-0.02780665288692459,0.0782608695652174,STRONG_STABLE,0.22263340956774055
