family,rule,n,wins,losses,win_rate,roi,pre_n,pre_roi,recent_n,recent_roi,removed_n,removed_wins,removed_losses,removed_roi,loss_capture_rate,winner_removal_rate,roi_change_pp,win_change_pp,sample_retained,promotion_screen
POWER TWO-FACTOR,veto oppKD15>=0.300 AND favKDabs15>=0.050,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER TWO-FACTOR,veto oppKD15>=0.300 AND favKDabs15>=0.100,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER TWO-FACTOR,veto oppKD15>=0.300 AND favKDabs15>=0.125,37,37,0,1.0,0.23369572523285137,19,0.2337452363867755,18,0.23364346345926482,17,14,3,0.05157026477214653,1.0,0.27450980392156865,5.733579310799969,5.555555555555558,0.6851851851851852,True
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.13,43,42,1,0.9767441860465116,0.20975626322067656,23,0.24118566563285476,20,0.17361245044667173,11,9,2,0.04581063784117272,0.6666666666666666,0.17647058823529413,3.3396331095824876,3.2299741602067167,0.7962962962962963,True
POWER RISK PRODUCT,veto opponent KD/15 * favorite KDabs/15 >= 0.14,43,42,1,0.9767441860465116,0.20975626322067656,23,0.24118566563285476,20,0.17361245044667173,11,9,2,0.04581063784117272,0.6666666666666666,0.17647058823529413,3.3396331095824876,3.2299741602067167,0.7962962962962963,True
POWER TWO-FACTOR,veto oppKD15>=0.350 AND favKDabs15>=0.250,42,41,1,0.9761904761904762,0.2060273979622755,22,0.18258942178421042,20,0.23180917175814714,12,10,2,0.07252380169386852,0.6666666666666666,0.19607843137254902,2.966746583742383,3.1746031746031744,0.7777777777777778,True
POWER TWO-FACTOR,veto oppKD15>=0.400 AND favKDabs15>=0.150,40,39,1,0.975,0.20487746602818097,20,0.23614248160969026,20,0.17361245044667173,14,12,2,0.09488126382962528,0.6666666666666666,0.23529411764705882,2.851753390332928,3.055555555555556,0.7407407407407407,True
POWER TWO-FACTOR,veto oppKD15>=0.150 AND favKDabs15>=0.250,41,40,1,0.975609756097561,0.2041819652090366,21,0.17787033992416945,20,0.23180917175814714,13,11,2,0.08861352009011482,0.6666666666666666,0.21568627450980393,2.7822033084184907,3.1165311653116534,0.7592592592592593,True
POWER TWO-FACTOR,veto oppKD15>=0.200 AND favKDabs15>=0.250,41,40,1,0.975609756097561,0.2041819652090366,21,0.17787033992416945,20,0.23180917175814714,13,11,2,0.08861352009011482,0.6666666666666666,0.21568627450980393,2.7822033084184907,3.1165311653116534,0.7592592592592593,True
POWER TWO-FACTOR,veto oppKD15>=0.250 AND favKDabs15>=0.250,41,40,1,0.975609756097561,0.2041819652090366,21,0.17787033992416945,20,0.23180917175814714,13,11,2,0.08861352009011482,0.6666666666666666,0.21568627450980393,2.7822033084184907,3.1165311653116534,0.7592592592592593,True
