candidate_id,bucket,week_lo,week_hi,n,wins,losses,roi,units,trainval_n,trainval_roi,holdout_n,holdout_roi
NFL-NW130,W15_18,15,18,18,11,7,0.4744444444444445,8.540000000000001,13,0.48538461538461536,5,0.4459999999999999
NFL-NW144,W4_6,4,6,21,11,10,0.32095238095238093,6.739999999999999,18,0.24944444444444447,3,0.75
NFL-NW144,W7_10,7,10,22,11,11,0.2877272727272727,6.33,14,0.46142857142857147,8,-0.016250000000000014
NFL-NW144,W11_14,11,14,29,15,14,0.28068965517241373,8.139999999999999,18,0.5383333333333333,11,-0.1409090909090909
NFL-NW144,W15_18,15,18,17,13,4,0.95,16.15,10,1.062,7,0.7899999999999999
NFL-NW152,W4_6,4,6,17,7,10,0.027058823529411764,0.45999999999999996,10,-0.045,7,0.13000000000000003
NFL-NW152,W7_10,7,10,28,14,14,0.2553571428571429,7.15,22,0.2736363636363637,6,0.18833333333333332
NFL-NW152,W11_14,11,14,39,21,18,0.34102564102564104,13.3,26,0.46615384615384614,13,0.09076923076923078
NFL-NW152,W15_18,15,18,27,20,7,0.8648148148148147,23.349999999999998,18,1.0927777777777778,9,0.40888888888888886
NFL-NW155,W4_6,4,6,28,17,11,0.43,12.04,17,0.2905882352941176,11,0.6454545454545454
NFL-NW155,W7_10,7,10,39,23,16,0.4492307692307692,17.52,29,0.7182758620689655,10,-0.331
NFL-NW155,W11_14,11,14,37,17,20,0.10621621621621621,3.9299999999999997,25,0.07840000000000004,12,0.16416666666666666
NFL-NW155,W15_18,15,18,35,19,16,0.3211428571428571,11.239999999999998,22,0.43681818181818194,13,0.12538461538461537
NFL-NW158,W4_6,4,6,18,14,4,0.11036923763345034,1.986646277402106,9,0.12003689172355791,6,0.18975951747043215
NFL-NW158,W7_10,7,10,30,23,7,0.10674806276516788,3.2024418829550365,14,0.1306870495077447,7,0.025929253168107576
NFL-NW158,W11_14,11,14,15,13,2,0.2477364819241637,3.7160472288624553,5,0.4532697406839283,2,0.5208333333333334
NFL-NW158,W15_18,15,18,33,30,3,0.29764098379612874,9.822152465272248,16,0.42565308084363296,9,0.11947750561622729
NFL-NW132,W4_6,4,6,16,6,10,-0.04062500000000001,-0.6500000000000001,11,-0.04090909090909092,5,-0.039999999999999994
NFL-NW132,W7_10,7,10,23,15,8,0.6591304347826088,15.160000000000002,19,0.8663157894736843,4,-0.325
NFL-NW132,W11_14,11,14,17,9,8,0.30058823529411766,5.11,13,-0.07846153846153844,4,1.5325
NFL-NW132,W15_18,15,18,11,8,3,0.8418181818181818,9.26,9,1.251111111111111,2,-1.0
