candidate_id,source,deployment_status,track,full_n,full_roi,trainval_n,trainval_roi,holdout_n,holdout_roi,min_week,median_week,max_week,min_prior_games,median_prior_games,W4_6_n,W4_6_share,W4_6_roi,W4_6_trainval_n,W4_6_trainval_roi,W4_6_holdout_n,W4_6_holdout_roi,W7_10_n,W7_10_share,W7_10_roi,W7_10_trainval_n,W7_10_trainval_roi,W7_10_holdout_n,W7_10_holdout_roi,W11_14_n,W11_14_share,W11_14_roi,W11_14_trainval_n,W11_14_trainval_roi,W11_14_holdout_n,W11_14_holdout_roi,W15_18_n,W15_18_share,W15_18_roi,W15_18_trainval_n,W15_18_trainval_roi,W15_18_holdout_n,W15_18_holdout_roi,recommended_start_week,timing_decision
NFL-NW097,NEXT_WAVE,RESEARCH_ONLY,LONG,80,0.458125,59,0.5416949152542373,21,0.2233333333333333,4,11.0,17,3,9.0,15,0.1875,0.1153333333333333,10,0.21399999999999997,5,-0.08200000000000003,23,0.2875,0.7999999999999999,20,0.8299999999999998,3,0.6,27,0.3375,0.2488888888888889,20,0.354,7,-0.051428571428571414,15,0.1875,0.6533333333333334,9,0.6822222222222222,6,0.61,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-NW102,NEXT_WAVE,WATCHLIST,MODERN,85,0.24787471961758045,50,0.3049439756537889,20,0.23777455716586146,4,9.0,17,3,7.0,28,0.32941176470588235,0.5312628131029024,13,0.5820453796246873,11,0.3245059288537549,26,0.3058823529411765,0.024515893995399517,18,0.2459674024377993,4,-0.4975,15,0.17647058823529413,0.36552715121136176,11,0.28662793347003873,2,0.025000000000000022,16,0.18823529411764706,0.004604493035141488,8,0.012536041939711695,3,1.0419753086419754,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW029,NEXT_WAVE,RESEARCH_ONLY,LONG,78,0.47871794871794876,52,0.5107692307692308,26,0.4146153846153846,5,11.0,18,3,9.0,12,0.15384615384615385,0.5083333333333333,7,0.5200000000000001,5,0.492,22,0.28205128205128205,0.2804545454545455,16,0.448125,6,-0.16666666666666663,23,0.2948717948717949,0.5878260869565217,15,0.47600000000000003,8,0.7975,21,0.2692307692307692,0.55,14,0.6150000000000001,7,0.42,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW091,NEXT_WAVE,WATCHLIST,LONG,129,0.2637984496124031,79,0.3151898734177215,50,0.1826,5,11.0,18,3,9.0,14,0.10852713178294573,0.325,6,0.15000000000000002,8,0.45625,37,0.2868217054263566,0.2140540540540541,26,0.43269230769230776,11,-0.3027272727272728,45,0.3488372093023256,0.23311111111111116,30,0.2426666666666667,15,0.214,33,0.2558139534883721,0.33545454545454545,17,0.32176470588235295,16,0.35,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW099,NEXT_WAVE,RESEARCH_ONLY,LONG,94,0.3388297872340425,73,0.3558904109589041,21,0.2795238095238095,4,10.0,17,3,8.5,15,0.1595744680851064,0.18999999999999997,12,-0.13749999999999996,3,1.5,34,0.3617021276595745,0.26529411764705885,27,0.5014814814814815,7,-0.6457142857142857,26,0.2765957446808511,0.42653846153846153,20,0.39300000000000007,6,0.5383333333333334,19,0.20212765957446807,0.4678947368421053,14,0.44499999999999995,5,0.532,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW095,NEXT_WAVE,WATCHLIST,LONG,80,0.480625,55,0.5745454545454546,25,0.27399999999999997,5,12.0,18,4,10.0,7,0.0875,0.07857142857142858,4,-0.355,3,0.6566666666666666,24,0.3,0.31666666666666665,16,0.5,8,-0.04999999999999999,24,0.3,0.41958333333333336,15,0.4766666666666667,9,0.3244444444444444,25,0.3125,0.8092,20,0.8935000000000001,5,0.4720000000000001,5,START_AT_HISTORICAL_MIN_WEEK
NFL-NW104,NEXT_WAVE,WATCHLIST,LONG,80,0.4327500000000001,54,0.5162962962962964,26,0.2592307692307692,4,10.0,18,3,8.0,19,0.2375,0.5005263157894738,11,0.37999999999999995,8,0.66625,26,0.325,0.34461538461538466,22,0.4663636363636364,4,-0.325,17,0.2125,0.21882352941176475,9,0.03444444444444447,8,0.42625,18,0.225,0.6905555555555556,12,1.0941666666666665,6,-0.1166666666666667,7,EARLY_WINDOW_WEAK_START_WEEK7
NFL-NW074,NEXT_WAVE,WATCHLIST,LONG,118,0.3564406779661016,80,0.39325,38,0.2789473684210526,4,11.0,18,3,9.0,25,0.211864406779661,0.43920000000000003,16,0.27437500000000004,9,0.7322222222222222,29,0.2457627118644068,0.713448275862069,25,0.8883999999999999,4,-0.38,32,0.2711864406779661,0.03218750000000001,21,-0.09238095238095238,11,0.26999999999999996,32,0.2711864406779661,0.29250000000000004,18,0.3777777777777777,14,0.18285714285714288,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-H040,H_SERIES,WATCHLIST,MODERN,102,0.2205882352941176,42,0.4090476190476191,38,0.20526315789473687,4,11.0,18,3,9.0,26,0.2549019607843137,0.33499999999999996,11,0.5954545454545455,10,0.01499999999999999,21,0.20588235294117646,0.5523809523809524,11,0.5563636363636364,9,0.44,34,0.3333333333333333,0.15794117647058822,13,0.5061538461538461,7,0.39999999999999997,21,0.20588235294117646,-0.15142857142857147,7,-0.29571428571428576,12,0.07416666666666667,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-H029,H_SERIES,LIVE_READY,LONG,184,0.18929347826086956,129,0.1832558139534884,55,0.20345454545454547,4,10.5,18,3,9.0,41,0.22282608695652173,0.5063414634146342,28,0.522142857142857,13,0.47230769230769226,51,0.27717391304347827,0.05392156862745098,37,0.01297297297297299,14,0.16214285714285712,54,0.29347826086956524,-0.077037037037037,40,0.020250000000000025,14,-0.355,38,0.20652173913043478,0.4073684210526315,24,0.32208333333333333,14,0.5535714285714286,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-C006,COACHING,WATCHLIST,LONG,167,0.3032335329341317,118,0.3261016949152542,49,0.24816326530612248,4,10.0,18,3,8.0,37,0.2215568862275449,0.62,25,0.6384000000000001,12,0.5816666666666667,54,0.32335329341317365,0.41574074074074074,35,0.49857142857142855,19,0.2631578947368421,46,0.2754491017964072,-0.18434782608695657,33,-0.21515151515151518,13,-0.10615384615384617,30,0.17964071856287425,0.45766666666666667,25,0.4868,5,0.31199999999999994,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-H022,H_SERIES,WATCHLIST,LONG,99,0.397070707070707,69,0.4668115942028986,30,0.23666666666666672,4,11.0,18,3,9.0,22,0.2222222222222222,0.760909090909091,15,0.72,7,0.8485714285714285,27,0.2727272727272727,0.21703703703703706,18,0.5499999999999999,9,-0.4488888888888889,32,0.32323232323232326,0.10312500000000002,24,-0.023749999999999983,8,0.48375,18,0.18181818181818182,0.745,12,1.0066666666666666,6,0.22166666666666668,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW087,NEXT_WAVE,WATCHLIST,LONG,72,0.4048611111111111,53,0.4650943396226416,19,0.23684210526315788,4,12.0,18,3,10.0,12,0.16666666666666666,0.6216666666666667,9,0.4722222222222222,3,1.07,20,0.2777777777777778,0.641,17,0.7847058823529413,3,-0.17333333333333334,19,0.2638888888888889,-0.12052631578947369,13,-0.2876923076923077,6,0.24166666666666667,21,0.2916666666666667,0.5314285714285715,14,0.7714285714285715,7,0.05142857142857144,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW088,NEXT_WAVE,RESEARCH_ONLY,LONG,72,0.4048611111111111,53,0.4650943396226416,19,0.23684210526315788,4,12.0,18,3,10.0,12,0.16666666666666666,0.6216666666666667,9,0.4722222222222222,3,1.07,20,0.2777777777777778,0.641,17,0.7847058823529413,3,-0.17333333333333334,19,0.2638888888888889,-0.12052631578947369,13,-0.2876923076923077,6,0.24166666666666667,21,0.2916666666666667,0.5314285714285715,14,0.7714285714285715,7,0.05142857142857144,7,INSUFFICIENT_EARLY_EVIDENCE_START_WEEK7
NFL-NW109,NEXT_WAVE,WATCHLIST,LONG,103,0.3531067961165049,68,0.42882352941176477,35,0.20600000000000002,4,11.0,18,3,9.0,22,0.21359223300970873,0.42363636363636364,14,0.4178571428571428,8,0.43374999999999997,28,0.27184466019417475,0.5842857142857143,21,0.7938095238095237,7,-0.044285714285714296,25,0.24271844660194175,0.1812,15,0.17399999999999996,10,0.19199999999999998,28,0.27184466019417475,0.22,18,0.22388888888888886,10,0.213,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
NFL-NW103,NEXT_WAVE,WATCHLIST,MODERN,96,0.21666666666666665,57,0.33456140350877195,20,0.17449999999999996,4,6.0,15,3,4.0,76,0.7916666666666666,0.1711842105263158,45,0.22577777777777777,16,0.20187499999999997,18,0.1875,0.5438888888888889,11,0.9009090909090909,3,0.42,1,0.010416666666666666,-1.0,1,-1.0,0,,1,0.010416666666666666,-1.0,0,,1,-1.0,4,WEEK4_OK_AFTER_3_COMPLETED_GAMES
