event_date,year,player1,player2,player1_url,player2_url,favorite,underdog,favorite_age,underdog_age,younger_advantage,market_prob,favorite_decimal_odds,won,profit,date_offset_days,snapshot_mode,fight_url,source,region
2024-02-17,2024,Amanda Lemos,Mackenzie Dern,http://ufcstats.com/fighter-details/3df5493bb279226f,http://ufcstats.com/fighter-details/7447e9f28508106a,Amanda Lemos,Mackenzie Dern,36.74271203378577,30.902756387879286,-5.839955645906485,0.593369754159424,1.617283950617284,True,30.864197530864203,0,historical_import_fallback,http://ufcstats.com/fight-details/2aeb3ec2d8c05dc8,zewnetrzne,us
2024-02-17,2024,Geoff Neal,Ian Machado Garry,http://ufcstats.com/fighter-details/b997be68943010fc,http://ufcstats.com/fighter-details/442c9011034ae1fd,Ian Machado Garry,Geoff Neal,26.25105238300581,33.473651067441494,7.222598684435685,0.690792883054068,1.3875968992248062,True,19.379844961240313,0,historical_import_fallback,http://ufcstats.com/fight-details/8fb0092430448368,zewnetrzne,us
2024-02-17,2024,Merab Dvalishvili,Henry Cejudo,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,http://ufcstats.com/fighter-details/056c493bbd76a918,Merab Dvalishvili,Henry Cejudo,33.10403362149805,37.0219785484986,3.917944927000555,0.7179705215419501,1.3355704697986577,True,16.778523489932883,0,historical_import_fallback,http://ufcstats.com/fight-details/9785420602b452f7,zewnetrzne,us
2024-02-17,2024,Alexander Volkanovski,Ilia Topuria,http://ufcstats.com/fighter-details/e1248941344b3288,http://ufcstats.com/fighter-details/54f64b5e283b0ce7,Alexander Volkanovski,Ilia Topuria,35.38471015831947,27.072424485102363,-8.312285673217108,0.5634920634920635,1.704225352112676,False,-50.0,0,historical_import_fallback,http://ufcstats.com/fight-details/bec3154a11df3299,zewnetrzne,us
2024-02-17,2024,Robert Whittaker,Paulo Costa,http://ufcstats.com/fighter-details/e1147d3d2dabe1ce,http://ufcstats.com/fighter-details/2e5c2aa8e4ab9d82,Robert Whittaker,Paulo Costa,33.1615296686448,32.827505013792205,-0.33402465485259825,0.644729178800233,1.4878048780487805,True,24.390243902439025,0,historical_import_fallback,http://ufcstats.com/fight-details/01432891260084a4,zewnetrzne,us
2024-02-17,2024,Rinya Nakamura,Carlos Vera,http://ufcstats.com/fighter-details/d8c811df0386d5e8,http://ufcstats.com/fighter-details/07f959e6596307bb,Rinya Nakamura,Carlos Vera,28.906822179784662,36.28548156361869,7.378659383834027,0.898858075040783,1.0689655172413792,True,3.4482758620689613,0,historical_import_fallback,http://ufcstats.com/fight-details/e92fb5c609e20b49,zewnetrzne,us
2024-02-17,2024,Zhang Mingyang,Brendson Ribeiro,http://ufcstats.com/fighter-details/8a65fd9ba31fd3f7,http://ufcstats.com/fighter-details/49edd0d90f60fb7d,Zhang Mingyang,Brendson Ribeiro,25.50634167710494,27.44204193104581,1.9357002539408725,0.5,1.9090909090909087,True,45.45454545454544,0,historical_import_fallback,http://ufcstats.com/fight-details/aeb3e4d9710207a4,zewnetrzne,us
2024-02-17,2024,Anthony Hernandez,Roman Kopylov,http://ufcstats.com/fighter-details/093e1f5bb73850be,http://ufcstats.com/fighter-details/9d83f6da776ff7d6,Anthony Hernandez,Roman Kopylov,30.333271730425675,32.791912222701356,2.4586404922756806,0.6574752261956054,1.4587155963302751,True,22.935779816513758,0,historical_import_fallback,http://ufcstats.com/fight-details/f87a3fa07f0009c9,zewnetrzne,us
2024-02-17,2024,Marcos Rogerio de Lima,Junior Tafa,http://ufcstats.com/fighter-details/ab943cd2c3c17825,http://ufcstats.com/fighter-details/c15fa95b9a12fde4,Marcos Rogerio de Lima,Junior Tafa,38.64829531064977,27.40644913995496,-11.24184617069481,0.6690070210631895,1.434782608695652,True,21.739130434782606,0,historical_import_fallback,http://ufcstats.com/fight-details/1456a3f96ac7e35b,zewnetrzne,us
2024-02-17,2024,Josh Quinlan,Danny Barlow,http://ufcstats.com/fighter-details/876f478f796495f7,http://ufcstats.com/fighter-details/b7c5eb7cdbac6a63,Danny Barlow,Josh Quinlan,28.54541845486218,31.028700110200756,2.483281655338576,0.6369041816941222,1.5050505050505052,True,25.25252525252526,0,historical_import_fallback,http://ufcstats.com/fight-details/ef13ed466e0b42d8,zewnetrzne,us
2024-02-17,2024,Oban Elliott,Val Woodburn,http://ufcstats.com/fighter-details/6b56e94a59b7b134,http://ufcstats.com/fighter-details/7a47e068f8017019,Oban Elliott,Val Woodburn,26.163439358782178,30.52218731390788,4.358747955125704,0.76,1.263157894736842,True,13.157894736842103,0,historical_import_fallback,http://ufcstats.com/fight-details/9ddaa62cc806958d,zewnetrzne,us
