track,price_band,venue,concept,conditions,full_n,full_wins,full_win_pct,full_roi,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,positive_season_ratio,recent_delta,weather_research_only,preferred,score
LONG,DOG35_44,ANY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.46278341636016573], [""rank_edge_def_allowed_explosive_rate"", "">="", 7.0]]",75,40,0.5333333333333333,0.3489333333333333,36,0.40166666666666667,14,0.06357142857142858,25,0.4328,0.6,0.2001809523809524,False,False,0.44481519825145915
LONG,FAV65_75,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", ""<="", 0.39317810457516345], [""rank_edge_fg_accuracy"", ""<="", 10.125]]",93,78,0.8387096774193549,0.211093759673878,31,0.07822692198302228,25,0.21991092690543101,37,0.3164570782584105,0.75,0.16738815381418387,False,False,0.43456901513368773
LONG,DOG35_49,ANY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.462580750311148], [""rank_edge_def_allowed_early_down_epa"", ""<="", -10.0]]",96,59,0.6145833333333334,0.46937499999999993,37,0.6786486486486486,25,0.35479999999999995,34,0.32588235294117646,0.7894736842105263,-0.1908419713831478,False,False,0.42552128749209805
MODERN,PK_55,AWAY,RUN_HEAVY,"[[""opp_recent3_run_rate"", "">="", 0.4041328103110115], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -7.0]]",88,53,0.6022727272727273,0.2316851202907591,23,0.4360510196694854,17,0.06177095194853242,23,0.35651988583713257,0.7894736842105263,0.10760890002812365,False,False,0.42501262990824706
MODERN,PK_55,AWAY,ROAD_STREAK,"[[""road_games_prev3"", "">="", 2.0], [""recent_edge_def_allowed_off_epa_per_play"", ""<="", 0.0331033173168197]]",96,58,0.6041666666666666,0.2198533912223889,29,0.38670490811640706,13,0.06982003503742636,27,0.4228600696600019,0.6,0.1945975980830852,False,False,0.42238885417204475
MODERN,FAV65_75,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", ""<="", 0.4], [""rank_edge_def_allowed_explosive_rate"", "">="", 5.0]]",70,57,0.8142857142857143,0.17232003524465048,20,0.09160776690736983,15,0.1310330847059549,18,0.3606568319497373,0.65,0.24933640614307495,False,False,0.42066347976767215
LONG,FAV65_75,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", ""<="", 0.48411676837020085], [""recent_edge_penalty_yards"", ""<="", -17.75]]",76,62,0.8157894736842105,0.16958141289877995,33,0.09389447108057258,21,0.14716307026099087,22,0.3045111526894351,0.75,0.1839823820186534,False,False,0.41985790112280097
LONG,FAV65_75,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", ""<="", 0.48411676837020085], [""rank_edge_fg_accuracy"", ""<="", -8.0]]",85,72,0.8470588235294118,0.22723168326525048,33,0.14611068395478397,26,0.280032966887671,26,0.2773916679984223,0.8,0.06431984257719481,False,False,0.4197978026002595
MODERN,PK_55,AWAY,RUN_HEAVY,"[[""opp_recent3_run_rate"", "">="", 0.4041328103110115], [""recent_edge_punt_return_average"", "">="", 4.055555555555556]]",80,53,0.6625,0.32685864155434957,26,0.2463880540348661,15,0.6000886696006621,16,0.37556211103754944,0.7,-0.047676250780214646,False,False,0.4172533465109881
LONG,DOG35_49,ANY,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.462580750311148], [""rank_edge_punt_return_average"", "">="", 10.0]]",115,63,0.5478260869565217,0.31313043478260866,52,0.42192307692307696,28,0.0782142857142857,35,0.33942857142857147,0.7,0.08935989010989015,False,False,0.41642130530172133
