method_id,week,n,wins,losses,win_pct,roi,units
US005,6,22,12,10,0.5454545454545454,0.2331818181818182,5.130000000000001
US005,7,9,4,5,0.4444444444444444,0.05000000000000002,0.4500000000000002
US005,8,17,10,7,0.5882352941176471,0.4158823529411765,7.07
US005,9,21,12,9,0.5714285714285714,0.3976190476190476,8.35
US005,10,14,10,4,0.7142857142857143,0.6971428571428573,9.760000000000002
US005,11,14,7,7,0.5,0.14357142857142854,2.01
US005,12,15,6,9,0.4,-0.011333333333333329,-0.16999999999999993
US005,13,10,3,7,0.3,-0.30300000000000005,-3.0300000000000002
US005,14,25,12,13,0.48,0.0964,2.41
US005,15,14,7,7,0.5,0.16571428571428573,2.3200000000000003
US005,16,18,12,6,0.6666666666666666,0.6383333333333332,11.489999999999998
US005,17,17,8,9,0.47058823529411764,0.09764705882352942,1.6600000000000001
US005,18,1,1,0,1.0,1.2,1.2
US006,4,8,5,3,0.625,0.5625,4.5
US006,5,4,1,3,0.25,-0.3725,-1.49
US006,6,3,0,3,0.0,-1.0,-3.0
US006,7,5,4,1,0.8,0.9520000000000002,4.760000000000001
US006,8,6,4,2,0.6666666666666666,0.56,3.3600000000000003
US006,9,11,6,5,0.5454545454545454,0.37363636363636366,4.11
US006,10,5,3,2,0.6,0.5820000000000001,2.91
US006,11,9,2,7,0.2222222222222222,-0.44555555555555554,-4.01
US006,12,11,6,5,0.5454545454545454,0.43545454545454537,4.789999999999999
US006,13,6,5,1,0.8333333333333334,1.2333333333333334,7.4
US006,14,8,2,6,0.25,-0.36125,-2.89
US006,15,3,2,1,0.6666666666666666,0.5466666666666666,1.64
US006,16,6,2,4,0.3333333333333333,-0.19333333333333333,-1.16
US006,17,3,2,1,0.6666666666666666,0.8033333333333333,2.41
US006,18,2,1,1,0.5,0.19999999999999996,0.3999999999999999
US007,4,16,12,4,0.75,0.08245420418681962,1.319267266989114
US007,5,23,19,4,0.8260869565217391,0.19665354984145536,4.523031646353473
US007,6,17,15,2,0.8823529411764706,0.2748726108313551,4.672834384133037
US007,7,19,16,3,0.8421052631578947,0.20645132223657728,3.9225751224949685
US007,8,11,10,1,0.9090909090909091,0.3362441578096798,3.6986857359064778
US007,9,22,14,8,0.6363636363636364,-0.08739128356467299,-1.9226082384228058
US007,10,11,8,3,0.7272727272727273,0.03641400813679338,0.40055408950472715
US007,11,17,16,1,0.9411764705882353,0.3492037329992648,5.936463460987502
US007,12,17,11,6,0.6470588235294118,-0.09379716614893908,-1.5945518245319645
US007,13,19,15,4,0.7894736842105263,0.12474288649274964,2.370114843362243
US007,14,11,9,2,0.8181818181818182,0.21150171474123364,2.32651886215357
US007,15,19,14,5,0.7368421052631579,0.05877965481130762,1.1168134414148447
US007,16,18,12,6,0.6666666666666666,-0.03170700721956177,-0.5707261299521118
US007,17,20,17,3,0.85,0.21018437290089498,4.2036874580179
US007,18,2,2,0,1.0,0.44482581765100404,0.8896516353020081
US008,4,22,12,10,0.5454545454545454,0.25909090909090915,5.700000000000001
US008,5,15,6,9,0.4,-0.05133333333333335,-0.7700000000000002
US008,6,19,11,8,0.5789473684210527,0.3431578947368421,6.5200000000000005
US008,7,12,8,4,0.6666666666666666,0.565,6.779999999999999
US008,8,16,9,7,0.5625,0.391875,6.27
US008,9,28,17,11,0.6071428571428571,0.4775,13.37
US008,10,15,11,4,0.7333333333333333,0.6839999999999999,10.26
US008,11,12,2,10,0.16666666666666666,-0.6391666666666667,-7.67
US008,12,26,9,17,0.34615384615384615,-0.1569230769230769,-4.079999999999999
US008,13,24,9,15,0.375,-0.10625,-2.55
US008,14,27,11,16,0.4074074074074074,-0.05444444444444443,-1.4699999999999995
US008,15,25,17,8,0.68,0.6888,17.22
US008,16,15,8,7,0.5333333333333333,0.34333333333333343,5.150000000000001
US008,17,16,7,9,0.4375,0.046875,0.75
US008,18,4,3,1,0.75,0.8875,3.55
US009,4,18,12,6,0.6666666666666666,0.5611111111111112,10.100000000000001
US009,5,19,8,11,0.42105263157894735,0.02526315789473684,0.48
US009,6,20,16,4,0.8,0.836,16.72
US009,7,20,9,11,0.45,0.020999999999999984,0.4199999999999997
US009,8,19,6,13,0.3157894736842105,-0.19842105263157894,-3.77
US009,9,18,10,8,0.5555555555555556,0.37166666666666676,6.690000000000001
US009,10,24,12,12,0.5,0.19125,4.59
US009,11,19,9,10,0.47368421052631576,0.1573684210526316,2.99
US009,12,16,10,6,0.625,0.48875,7.82
US009,13,20,13,7,0.65,0.543,10.860000000000001
US009,14,28,7,21,0.25,-0.4096428571428571,-11.469999999999999
US009,15,19,8,11,0.42105263157894735,0.012631578947368409,0.23999999999999977
US009,16,18,8,10,0.4444444444444444,0.07222222222222219,1.2999999999999994
US009,17,14,5,9,0.35714285714285715,-0.20928571428571427,-2.9299999999999997
US009,18,5,4,1,0.8,0.908,4.54
US010,4,17,11,6,0.6470588235294118,0.05047870032748029,0.8581379055671648
US010,5,9,7,2,0.7777777777777778,0.27402502042454574,2.4662251838209115
US010,6,10,7,3,0.7,0.13594404789183906,1.3594404789183905
US010,7,5,3,2,0.6,0.0005798639944981421,0.0028993199724907104
US010,8,7,6,1,0.8571428571428571,0.4516343661483466,3.1614405630384264
US010,9,7,4,3,0.5714285714285714,-0.04973786046529064,-0.34816502325703447
US010,10,15,9,6,0.6,-0.006150593264109109,-0.09225889896163664
