method_id,depth,features,pre_roi,pre_improvement,pre_retained,score
US005,1,FEATURE:rank_edge_pass_epa_per_dropback <= -7.0,0.42378713878713886,0.17368198206317526,0.7468354430379747,0.43872384764789835
US005,1,FEATURE:recent_edge_def_allowed_giveaway_rate >= 0.004976366302523145,0.39930000000000004,0.14919484327603644,0.6645569620253164,0.4125911392405064
US005,1,FEATURE:prior_road_miles_last4 <= 560.8951840204854,0.3910869565217391,0.14098179979777548,0.7721518987341772,0.40652999449642263
US005,1,FEATURE:rank_edge_punt_return_average <= -8.399999999999999,0.3754415760869565,0.1253364193629929,0.7848101265822784,0.39113777861860205
US005,1,FEATURE:recent_edge_def_allowed_early_down_epa >= 0.03214186733363575,0.3608309523809524,0.11072579565698881,0.6518987341772152,0.3738689270644967
US005,1,FEATURE:opp_prior_road_miles_last2 <= 236.61916746283418,0.3489610389610389,0.09885588223707531,0.7848101265822784,0.36465724149268447
US005,1,FEATURE:rank_edge_punt_net_average <= -12.0,0.3283611111111111,0.0782559543871475,0.7974683544303798,0.3443104781997187
US005,1,FEATURE:recent_edge_def_allowed_explosive_rate >= 0.028924340560330143,0.3247700668896321,0.07466491016566851,0.8291139240506329,0.3413523453706448
US005,1,FEATURE:adv_altitude_change_ft >= 562.0,0.3142053466509988,0.0641001899270352,0.8164556962025317,0.3305344605750494
US005,2,FEATURE:rank_edge_pass_epa_per_dropback <= -7.0 | FEATURE:rank_edge_punt_return_average <= -8.399999999999999,0.4975297619047619,0.24742460518079828,0.5886075949367089,0.4843019138034961
US005,2,FEATURE:rank_edge_pass_epa_per_dropback <= -7.0 | FEATURE:opp_prior_road_miles_last2 <= 236.61916746283418,0.4820217391304348,0.23191658240647117,0.5886075949367089,0.4687938910291689
US005,2,FEATURE:rank_edge_pass_epa_per_dropback <= -7.0 | FEATURE:rank_edge_punt_net_average <= -12.0,0.4890520547945205,0.2389468980705569,0.620253164556962,0.4764571180856597
US005,2,FEATURE:rank_edge_pass_epa_per_dropback <= -7.0 | FEATURE:recent_edge_def_allowed_explosive_rate >= 0.028924340560330143,0.4801515151515152,0.2300463584275516,0.6392405063291139,0.4679363252780975
