method_id,season,week,game_id,team,opponent,moneyline
US004,2017,10,2017_10_DAL_ATL,DAL,ATL,166.0
US004,2018,5,2018_05_DAL_HOU,DAL,HOU,156.0
US004,2025,8,2025_08_DAL_DEN,DAL,DEN,160.0
US004,2007,9,2007_09_DEN_DET,DEN,DET,136.0
US004,2008,7,2008_07_DEN_NE,DEN,NE,130.0
US004,2024,17,2024_17_DEN_CIN,DEN,CIN,145.0
US004,2006,7,2006_07_DET_NYJ,DET,NYJ,185.0
US004,2006,11,2006_11_DET_ARI,DET,ARI,123.0
US004,2007,10,2007_10_DET_ARI,DET,ARI,124.0
US004,2013,14,2013_14_DET_PHI,DET,PHI,126.0
US004,2018,15,2018_15_DET_BUF,DET,BUF,132.0
US004,2006,9,2006_09_GB_BUF,GB,BUF,168.0
US004,2009,15,2009_15_GB_PIT,GB,PIT,128.0
US004,2013,11,2013_11_GB_NYG,GB,NYG,160.0
US004,2016,8,2016_08_GB_ATL,GB,ATL,139.0
US004,2017,15,2017_15_GB_CAR,GB,CAR,136.0
US004,2018,11,2018_11_GB_SEA,GB,SEA,146.0
US004,2023,10,2023_10_GB_PIT,GB,PIT,140.0
US004,2006,8,2006_08_HOU_TEN,HOU,TEN,143.0
US004,2024,16,2024_16_HOU_KC,HOU,KC,150.0
US004,2011,17,2011_17_IND_JAX,IND,JAX,150.0
US004,2013,12,2013_12_IND_ARI,IND,ARI,166.0
US004,2016,6,2016_06_IND_HOU,IND,HOU,144.0
US004,2022,7,2022_07_IND_TEN,IND,TEN,129.0
US004,2023,14,2023_14_IND_CIN,IND,CIN,124.0
US004,2024,5,2024_05_IND_JAX,IND,JAX,154.0
US004,2025,12,2025_12_IND_KC,IND,KC,180.0
US004,2015,13,2015_13_JAX_TEN,JAX,TEN,126.0
US004,2021,8,2021_08_JAX_SEA,JAX,SEA,171.0
US004,2010,7,2010_07_STL_TB,LA,TB,149.0
US004,2013,14,2013_14_STL_ARI,LA,ARI,179.0
US004,2019,7,2019_07_LAC_TEN,LAC,TEN,141.0
US004,2007,11,2007_11_SD_JAX,LAC,JAX,154.0
US004,2014,9,2014_09_SD_MIA,LAC,MIA,130.0
US004,2014,17,2014_17_SD_KC,LAC,KC,137.0
US004,2022,16,2022_16_LV_PIT,LV,PIT,127.0
US004,2010,14,2010_14_OAK_JAX,LV,JAX,171.0
US004,2013,14,2013_14_OAK_NYJ,LV,NYJ,140.0
US004,2016,14,2016_14_OAK_KC,LV,KC,179.0
US004,2017,4,2017_04_OAK_DEN,LV,DEN,166.0
US004,2008,6,2008_06_MIA_HOU,MIA,HOU,143.0
US004,2022,4,2022_04_MIA_CIN,MIA,CIN,169.0
US004,2023,7,2023_07_MIA_PHI,MIA,PHI,130.0
US004,2023,17,2023_17_MIA_BAL,MIA,BAL,150.0
US004,2024,15,2024_15_MIA_HOU,MIA,HOU,130.0
US004,2025,7,2025_07_MIA_CLE,MIA,CLE,124.0
US004,2018,11,2018_11_MIN_CHI,MIN,CHI,124.0
US004,2018,14,2018_14_MIN_SEA,MIN,SEA,151.0
US004,2019,13,2019_13_MIN_SEA,MIN,SEA,138.0
US004,2025,8,2025_08_MIN_LAC,MIN,LAC,142.0
US004,2023,6,2023_06_NE_LV,NE,LV,124.0
US004,2008,13,2008_13_NO_TB,NO,TB,177.0
US004,2013,6,2013_06_NO_NE,NO,NE,130.0
US004,2015,12,2015_12_NO_HOU,NO,HOU,178.0
US004,2016,11,2016_11_NO_CAR,NO,CAR,166.0
US004,2017,12,2017_12_NO_LA,NO,LA,131.0
US004,2021,10,2021_10_NO_TEN,NO,TEN,133.0
US004,2025,18,2025_18_NO_ATL,NO,ATL,170.0
US004,2008,15,2008_15_NYG_DAL,NYG,DAL,141.0
US004,2015,6,2015_06_NYG_PHI,NYG,PHI,181.0
US004,2022,8,2022_08_NYG_SEA,NYG,SEA,147.0
US004,2010,16,2010_16_NYJ_CHI,NYJ,CHI,127.0
US004,2011,15,2011_15_NYJ_PHI,NYJ,PHI,147.0
US004,2018,9,2018_09_NYJ_MIA,NYJ,MIA,140.0
US004,2009,17,2009_17_PHI_DAL,PHI,DAL,140.0
US004,2010,7,2010_07_PHI_TEN,PHI,TEN,129.0
US004,2019,7,2019_07_PHI_DAL,PHI,DAL,148.0
US004,2022,16,2022_16_PHI_DAL,PHI,DAL,178.0
US004,2011,4,2011_04_PIT_HOU,PIT,HOU,180.0
US004,2013,13,2013_13_PIT_BAL,PIT,BAL,144.0
US004,2025,12,2025_12_PIT_CHI,PIT,CHI,130.0
US004,2010,14,2010_14_SEA_SF,SEA,SF,182.0
US004,2023,6,2023_06_SEA_CIN,SEA,CIN,130.0
US004,2025,11,2025_11_SEA_LA,SEA,LA,145.0
US004,2011,12,2011_12_SF_BAL,SF,BAL,159.0
US004,2013,11,2013_11_SF_NO,SF,NO,159.0
US004,2017,7,2017_07_TB_BUF,TB,BUF,150.0
US004,2017,13,2017_13_TB_GB,TB,GB,146.0
US004,2013,13,2013_13_TEN_IND,TEN,IND,166.0
US004,2014,16,2014_16_TEN_JAX,TEN,JAX,176.0
US004,2006,11,2006_11_WAS_TB,WAS,TB,155.0
US004,2019,4,2019_04_WAS_NYG,WAS,NYG,146.0
US004,2023,16,2023_16_WAS_NYJ,WAS,NYJ,140.0
US005,2006,15,2006_15_DEN_ARI,ARI,DEN,142.0
US005,2010,15,2010_15_ARI_CAR,ARI,CAR,116.0
US005,2013,13,2013_13_ARI_PHI,ARI,PHI,166.0
US005,2018,4,2018_04_SEA_ARI,ARI,SEA,173.0
US005,2022,14,2022_14_NE_ARI,ARI,NE,113.0
US005,2007,13,2007_13_ATL_STL,ATL,LA,153.0
US005,2023,17,2023_17_ATL_CHI,ATL,CHI,130.0
US005,2006,13,2006_13_BAL_CIN,BAL,CIN,150.0
US005,2007,16,2007_16_NYG_BUF,BUF,NYG,109.0
US005,2010,9,2010_09_CHI_BUF,BUF,CHI,135.0
US005,2011,6,2011_06_BUF_NYG,BUF,NYG,166.0
US005,2011,11,2011_11_BUF_MIA,BUF,MIA,141.0
US005,2013,10,2013_10_BUF_PIT,BUF,PIT,129.0
US005,2013,14,2013_14_BUF_TB,BUF,TB,160.0
US005,2023,9,2023_09_BUF_CIN,BUF,CIN,105.0
US005,2023,12,2023_12_BUF_PHI,BUF,PHI,124.0
US005,2006,7,2006_07_CAR_CIN,CAR,CIN,143.0
US005,2006,15,2006_15_PIT_CAR,CAR,PIT,138.0
US005,2011,12,2011_12_CHI_OAK,CHI,LV,127.0
US005,2015,8,2015_08_MIN_CHI,CHI,MIN,106.0
US005,2025,8,2025_08_CHI_BAL,CHI,BAL,124.0
US005,2006,16,2006_16_CIN_DEN,CIN,DEN,150.0
US005,2007,8,2007_08_PIT_CIN,CIN,PIT,181.0
US005,2013,10,2013_10_CIN_BAL,CIN,BAL,105.0
US005,2025,15,2025_15_BAL_CIN,CIN,BAL,136.0
US005,2012,9,2012_09_BAL_CLE,CLE,BAL,159.0
US005,2013,16,2013_16_CLE_NYJ,CLE,NYJ,113.0
US005,2008,14,2008_14_DAL_PIT,DAL,PIT,178.0
US005,2010,6,2010_06_DAL_MIN,DAL,MIN,112.0
US005,2018,5,2018_05_DAL_HOU,DAL,HOU,156.0
US005,2025,14,2025_14_DAL_DET,DAL,DET,160.0
US005,2006,12,2006_12_DEN_KC,DEN,KC,109.0
US005,2007,9,2007_09_DEN_DET,DEN,DET,136.0
US005,2009,9,2009_09_PIT_DEN,DEN,PIT,137.0
US005,2013,12,2013_12_DEN_NE,DEN,NE,105.0
US005,2022,10,2022_10_DEN_TEN,DEN,TEN,122.0
US005,2006,7,2006_07_DET_NYJ,DET,NYJ,185.0
US005,2012,17,2012_17_CHI_DET,DET,CHI,147.0
US005,2019,7,2019_07_MIN_DET,DET,MIN,124.0
US005,2021,4,2021_04_DET_CHI,DET,CHI,134.0
US005,2022,5,2022_05_DET_NE,DET,NE,133.0
