method_id,kind,feature,op,threshold,pre_score,w1,w2
US008,FEATURE,prior_road_miles_last4,>=,1908.7180148498057,0.12681315109108687,,
US008,FEATURE,rank_edge_def_allowed_explosive_rate,>=,-6.0,0.11885837151223516,,
US009,FEATURE,coachq_staff_upgrade_count,<=,1.0,0.1972336330886666,,
US009,FEATURE,coachq_staff_upgrade_count,<=,1.0,0.1972336330886666,,
US009,FEATURE,rank_edge_punt_return_average,<=,3.299999999999997,0.1468082107643055,,
US009,FEATURE,rank_edge_passing_cpoe,<=,-7.799999999999997,0.12224459573723034,,
US009,FEATURE,rank_edge_off_epa_per_play,<=,-7.0,0.10889831699524621,,
US009,FEATURE,adv_prior_road_streak,<=,-1.0,0.10659048283614136,,
US009,FEATURE,adv_prev_road_game,<=,-1.0,0.10017858156536907,,
US009,FEATURE,rank_edge_punt_return_average,<=,-1.0,0.09217157156909866,,
US009,FEATURE,rank_edge_early_down_epa,<=,-11.0,0.09161924265656785,,
US009,FEATURE,recent_edge_rush_epa_per_carry,<=,-0.10225688187359452,0.08937457374523228,,
US009,FEATURE,recent_edge_points_for,<=,-4.533333333333331,0.08708842771041603,,
US009,FEATURE,rank_edge_success_rate,<=,-7.399999999999999,0.08094880005084154,,
US009,FEATURE,coachq_oc_changed_quality,>=,0.4000000000000057,0.07867492796676057,,
US009,FEATURE,adv_road_games_last4_including_current,>=,1.0,0.07850877287943137,,
US009,FEATURE,rank_edge_fg_accuracy,>=,11.400000000000006,0.07792854636835378,,
US009,FEATURE,recent_edge_early_down_epa,<=,-0.11369618419606109,0.07457317426861376,,
US009,FEATURE,recent_edge_def_allowed_rush_epa_per_carry,<=,-0.2299275268271291,0.06974419945360372,,
US009,FEATURE,rank_edge_punt_net_average,>=,9.800000000000011,0.06556907191845382,,
US010,FEATURE,recent_edge_off_epa_per_play,>=,-0.05666976464604056,0.24951264265000136,,
US010,FEATURE,rank_edge_def_allowed_rush_epa_per_carry,<=,3.0,0.22479375693461814,,
US010,FEATURE,adv_prior_road_miles_last4,>=,102.69820954946883,0.18725383274546972,,
US010,FEATURE,rank_edge_def_allowed_off_epa_per_play,<=,6.0,0.18271220626308024,,
US010,FEATURE,rank_edge_penalty_yards,<=,-6.150000000000002,0.16505740916792241,,
US010,FEATURE,recent_edge_def_allowed_rush_epa_per_carry,<=,-0.02320076994093285,0.15703008793154435,,
US010,FEATURE,rank_edge_yards_per_play,>=,5.299999999999997,0.15258247876859274,,
US010,FEATURE,recent_edge_giveaway_rate,>=,1.5090132650800005e-05,0.1520396324143177,,
US010,FEATURE,rank_edge_def_allowed_explosive_rate,<=,-11.599999999999998,0.12912058820347225,,
US010,FEATURE,recent_edge_points_for,>=,2.716666666666666,0.11509701466549191,,
US010,FEATURE,recent_edge_giveaway_rate,>=,0.013831758218272306,0.10964271049161026,,
US010,FEATURE,opp_coachq_dc_changed_quality,>=,1.0,0.10824254563726385,,
US010,FEATURE,opp_coachq_dc_changed_quality,>=,1.0,0.10824254563726385,,
US010,FEATURE,recent_edge_def_allowed_rush_epa_per_carry,<=,-0.08026559282346028,0.1022160996378513,,
US010,FEATURE,recent_edge_giveaway_rate,>=,0.003452779142792492,0.099870933227302,,
US010,FEATURE,rank_edge_giveaway_rate,>=,5.5,0.0992251862307765,,
US010,FEATURE,adv_road_miles_last5_including_current,>=,756.6670300694763,0.09532588988760723,,
US010,FEATURE,adv_prior_tz_hours_last4,>=,1.0,0.08916843844979624,,
US011,FEATURE,adv_road_games_last4_including_current,<=,-1.0,0.3617701511844127,,
US011,FEATURE,adv_road_games_last4_including_current,<=,-1.0,0.3617701511844127,,
US011,FEATURE,adv_road_games_last4_including_current,<=,-1.0,0.3617701511844127,,
US011,FEATURE,adv_prior_road_games_last3,<=,0.0,0.3439856561630755,,
US011,FEATURE,adv_prior_road_games_last3,<=,0.0,0.3439856561630755,,
US011,FEATURE,adv_prior_road_games_last3,<=,0.0,0.3439856561630755,,
US011,FEATURE,recent_edge_def_allowed_off_epa_per_play,>=,-0.0740193043938795,0.278837968950171,,
US011,FEATURE,adv_prev_travel_miles,<=,0.0,0.27692824991962284,,
US011,FEATURE,adv_prev_travel_miles,<=,0.0,0.27692824991962284,,
US011,FEATURE,recent_edge_def_allowed_early_down_epa,>=,-0.0620145398553121,0.19664864088692977,,
US011,FEATURE,adv_prior_road_miles_last4,<=,-132.39674298637522,0.17825480030721966,,
US011,FEATURE,recent_edge_def_allowed_giveaway_rate,>=,0.007002027701132881,0.15921313364055298,,
US011,TIMING,W11_14,IN,11-14,0.1509855507945491,11.0,14.0
US011,FEATURE,recent_edge_def_allowed_early_down_epa,>=,0.017147307411876922,0.15066105030721963,,
US011,FEATURE,adv_back_to_back_road,<=,-1.0,0.13358164013405951,,
US011,FEATURE,adv_back_to_back_road,<=,-1.0,0.13358164013405951,,
US011,FEATURE,recent_edge_def_allowed_pass_epa_per_dropback,>=,0.13189842799448293,0.12589685307427248,,
US011,FEATURE,adv_prev_travel_miles,<=,-338.3332296939723,0.12062229279971218,,
