method_id,feature,op,threshold,pre_score,confirmed_holdout,base_train_roi,train_risk_n,train_risk_win_pct,train_risk_roi,train_safe_roi,train_loss_lift,base_validation_roi,validation_risk_n,validation_risk_win_pct,validation_risk_roi,validation_safe_roi,validation_loss_lift,base_holdout_roi,holdout_risk_n,holdout_risk_win_pct,holdout_risk_roi,holdout_safe_roi,holdout_loss_lift,holdout_retained_share
RS001,opp_road_miles4_per_rest_day,<=,154.57442123849526,0.9527018705338377,True,0.2615,14,0.21428571428571427,-0.4649999999999999,0.6526923076923077,0.2857142857142857,0.30619047619047624,5,0.4,-0.07000000000000002,0.42375,0.12380952380952381,0.6759999999999999,5,0.4,-0.06200000000000001,0.8605,0.28,0.8
RS001,opp_road_miles4_per_rest_day,<=,215.2697490024839,1.1429374587161472,True,0.2615,20,0.3,-0.24099999999999996,0.764,0.19999999999999996,0.30619047619047624,8,0.375,-0.12375,0.5707692307692307,0.14880952380952384,0.6759999999999999,11,0.5454545454545454,0.3854545454545455,0.9042857142857142,0.13454545454545463,0.56
RS001,opp_road_miles4_per_rest_day,<=,269.499463680691,1.685392069678955,True,0.2615,26,0.34615384615384615,-0.13538461538461533,0.9985714285714288,0.15384615384615385,0.30619047619047624,10,0.3,-0.29900000000000004,0.8563636363636362,0.2238095238095238,0.6759999999999999,13,0.46153846153846156,0.17230769230769233,1.2216666666666667,0.21846153846153848,0.48
RS002,rank_edge_off_epa_per_play,>=,3.0,0.7722495003331111,True,0.5151666666666667,22,0.5,0.18363636363636363,0.7071052631578947,0.1166666666666667,0.47894736842105273,8,0.5,0.065,0.7800000000000001,0.13157894736842102,0.49459459459459454,11,0.5454545454545454,0.27181818181818185,0.5888461538461539,0.07616707616707619,0.7027027027027027
RS002,rank_edge_rush_epa_per_carry,>=,6.350000000000001,1.067500425290898,False,0.5151666666666667,21,0.47619047619047616,0.18,0.6956410256410256,0.14047619047619053,0.47894736842105273,8,0.375,-0.15125,0.9372727272727271,0.256578947368421,0.49459459459459454,14,0.7142857142857143,0.6778571428571428,0.3830434782608695,-0.0926640926640927,0.6216216216216216
RS002,rank_edge_rush_epa_per_carry,>=,12.0,0.880798561305167,False,0.5151666666666667,13,0.38461538461538464,-0.02846153846153847,0.6655319148936171,0.23205128205128212,0.47894736842105273,5,0.4,-0.16,0.7071428571428573,0.231578947368421,0.49459459459459454,7,0.8571428571428571,1.02,0.372,-0.2355212355212355,0.8108108108108109
RS002,recent_edge_rush_epa_per_carry,>=,0.1310529616982348,1.652790786301196,False,0.5151666666666667,12,0.3333333333333333,-0.1183333333333333,0.6735416666666666,0.28333333333333344,0.47894736842105273,7,0.14285714285714285,-0.6942857142857143,1.1633333333333333,0.4887218045112782,0.49459459459459454,8,0.875,1.165,0.30965517241379303,-0.2533783783783784,0.7837837837837838
RS002,recent_edge_points_against,<=,-5.0,0.4771594637391497,False,0.5151666666666667,14,0.5,0.16714285714285712,0.6210869565217392,0.1166666666666667,0.47894736842105273,4,0.5,0.1625000000000001,0.5633333333333334,0.13157894736842102,0.49459459459459454,11,0.6363636363636364,0.5990909090909091,0.45038461538461544,-0.014742014742014753,0.7027027027027027
RS002,rank_edge_off_epa,>=,2.3500000000000014,0.8080482108386837,True,0.5151666666666667,21,0.47619047619047616,0.13761904761904764,0.7184615384615384,0.14047619047619053,0.47894736842105273,8,0.5,0.065,0.7800000000000001,0.13157894736842102,0.49459459459459454,11,0.5454545454545454,0.31363636363636366,0.5711538461538462,0.07616707616707619,0.7027027027027027
RS002,recent_edge_off_epa,>=,3.945358999541113,0.6365301692810854,True,0.5151666666666667,12,0.5,0.14833333333333334,0.606875,0.1166666666666667,0.47894736842105273,8,0.5,0.12250000000000005,0.7381818181818183,0.13157894736842102,0.49459459459459454,12,0.5,0.13416666666666666,0.6675999999999999,0.1216216216216216,0.6756756756756757
RS002,rank_edge_success_rate,>=,5.400000000000006,1.0150949431148466,False,0.5151666666666667,12,0.4166666666666667,0.0033333333333332993,0.6431250000000001,0.19999999999999996,0.47894736842105273,6,0.3333333333333333,-0.27999999999999997,0.8292307692307693,0.29824561403508776,0.49459459459459454,14,0.7857142857142857,0.8150000000000002,0.2995652173913043,-0.1640926640926641,0.6216216216216216
RS002,recent_edge_success_rate,>=,0.02746829468996937,0.8263128918327951,False,0.5151666666666667,12,0.3333333333333333,-0.2333333333333333,0.7022916666666666,0.28333333333333344,0.47894736842105273,6,0.5,0.07666666666666666,0.6646153846153846,0.13157894736842102,0.49459459459459454,11,0.7272727272727273,0.7272727272727272,0.39615384615384613,-0.10565110565110569,0.7027027027027027
