method_id,p_lo,p_hi,odds_range,train_n,train_roi,validation_n,validation_roi,pre_n,pre_score,holdout_n,holdout_roi,full_n,full_roi
RS002,0.38,0.5,-100 to +163,44,0.31522727272727274,16,0.413125,60,0.38696094649021867,28,0.19535714285714292,88,0.2948863636363636
RS002,0.37,0.5,-100 to +170,46,0.3747826086956522,17,0.33,63,0.37631535498073754,34,0.3779411764705882,97,0.3680412371134021
RS002,0.39,0.49,+104 to +156,41,0.2990243902439025,12,0.28166666666666673,53,0.3104721107337656,25,0.2572,78,0.2829487179487179
RS002,0.39,0.5,-100 to +156,42,0.3164285714285714,14,0.24428571428571436,56,0.301622965641953,26,0.2873076923076923,82,0.29487804878048773
RS002,0.4,0.5,-100 to +150,36,0.2538888888888889,14,0.24428571428571436,50,0.2680746433594535,22,0.4063636363636363,72,0.2986111111111111
RS003,0.38,0.47,+113 to +163,47,0.42297872340425524,25,0.7564,72,0.6079944464478904,42,0.23833333333333334,114,0.4280701754385965
RS003,0.38,0.48,+108 to +163,50,0.33759999999999996,26,0.6888461538461539,76,0.532545110821382,47,0.2853191489361702,123,0.39186991869918697
RS003,0.37,0.47,+113 to +170,54,0.4366666666666666,29,0.5141379310344828,83,0.496503993765829,47,0.2768085106382978,130,0.39615384615384613
RS003,0.36,0.47,+113 to +178,64,0.4684375,30,0.46366666666666667,94,0.48995038841807914,48,0.2502083333333333,142,0.39366197183098584
RS003,0.35,0.47,+113 to +186,71,0.48140845070422533,31,0.4164516129032258,102,0.4748622351935561,54,0.31907407407407407,156,0.41230769230769226
RS003,0.38,0.5,-100 to +163,55,0.2905454545454546,33,0.5793939393939395,88,0.4573425783256292,52,0.31923076923076926,140,0.36928571428571433
RS003,0.37,0.45,+122 to +170,48,0.47854166666666664,24,0.3775,72,0.446325918079096,39,0.26153846153846155,111,0.3804504504504504
RS003,0.37,0.46,+117 to +170,54,0.4366666666666666,25,0.41120000000000007,79,0.4440180790960452,42,0.22380952380952382,121,0.3575206611570248
RS003,0.38,0.49,+104 to +163,54,0.27685185185185196,32,0.5650000000000001,86,0.44279033270558704,50,0.2908,136,0.3497794117647059
RS003,0.36,0.46,+117 to +178,64,0.4684375,26,0.35692307692307695,90,0.43556164439374184,43,0.1953488372093023,133,0.3583458646616542
RS003,0.36,0.45,+122 to +178,58,0.5063793103448276,25,0.3224,83,0.43549135008766804,40,0.22999999999999998,123,0.3791056910569106
RS003,0.39,0.5,-100 to +156,50,0.2642,30,0.5650000000000001,80,0.4349389830508475,49,0.3469387755102041,129,0.36558139534883716
RS003,0.36,0.48,+108 to +178,67,0.4026865671641791,31,0.41645161290322574,98,0.4344843442709906,53,0.29075471698113203,151,0.3662251655629139
RS003,0.37,0.48,+108 to +170,57,0.3610526315789474,30,0.4636666666666666,87,0.4344782931906036,52,0.31557692307692303,139,0.3661870503597122
RS003,0.35,0.48,+108 to +186,74,0.4213513513513514,32,0.3721875,106,0.4237185782180486,59,0.3496610169491525,165,0.3861818181818182
RS003,0.35,0.46,+117 to +186,71,0.48140845070422533,27,0.3066666666666667,98,0.4189528129227341,49,0.2779591836734694,147,0.3814965986394558
RS003,0.39,0.49,+104 to +156,49,0.24857142857142855,29,0.5486206896551723,78,0.4184265675878767,47,0.3178723404255319,125,0.34424
RS003,0.4,0.5,-100 to +150,43,0.2332558139534884,30,0.5650000000000001,73,0.41768722901064254,45,0.35466666666666663,118,0.36389830508474574
RS003,0.35,0.45,+122 to +186,65,0.5164615384615383,26,0.27153846153846156,91,0.4171355932203389,46,0.3134782608695652,137,0.40182481751824817
RS003,0.4,0.49,+104 to +150,42,0.21428571428571433,29,0.5486206896551723,71,0.39950404942807044,43,0.3232558139534884,114,0.3404385964912281
RS003,0.36,0.5,-100 to +178,72,0.3622222222222222,38,0.371578947368421,110,0.3948666864902369,58,0.3206896551724138,168,0.35
RS003,0.35,0.5,-100 to +186,79,0.3832911392405063,39,0.3364102564102564,118,0.3898506978253814,64,0.3721875,182,0.36934065934065935
RS003,0.37,0.5,-100 to +170,62,0.3174193548387096,37,0.4086486486486486,99,0.3882034932691028,57,0.34385964912280703,156,0.34871794871794876
RS003,0.36,0.49,+104 to +178,71,0.35281690140845073,37,0.3535135135135135,108,0.3806228345796262,56,0.29535714285714276,164,0.3333536585365853
RS003,0.35,0.49,+104 to +186,78,0.37499999999999994,38,0.31789473684210523,116,0.3759388938447814,62,0.35096774193548386,178,0.354438202247191
RS003,0.37,0.49,+104 to +170,61,0.3057377049180327,36,0.39111111111111113,97,0.37308542496372443,55,0.3189090909090909,152,0.3307236842105263
RS003,0.35,0.44,+127 to +186,58,0.5439655172413793,20,0.08950000000000005,78,0.33656326709526596,38,0.4131578947368421,116,0.4227586206896551
